Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA2705-00032-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 11:44:22 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.732
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 13
UserCustomField,ID, 13
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.9001642,0.9001642,0.2090289,0,0,False,False
13,Al,PercentWeight,0.04459057,0.04459057,0.0251548,0,0,False,False
14,Si,PercentWeight,0.1323237,0.1323237,0.01184196,0,0,False,False
15,P,PercentWeight,0.1012068,0.0487068,0.004808862,0,0,False,False
16,S,PercentWeight,0.2204238,0.1789238,0.003628625,0,0,False,False
17,Cl,PercentWeight,0.0310341,0.0310341,0.01234412,0,0,False,False
19,K,PercentWeight,0.7799929,0.6924929,0.003972188,0,0,False,False
20,Ca,PercentWeight,1.268459,1.268459,0.00371035,0,0,False,False
22,Ti,PercentWeight,0.001159404,0.001159404,0.000217171,0,0,False,False
23,V,PercentWeight,0,0,3.203474E-05,0,0,False,False
24,Cr,PercentWeight,0.002040746,0.002040746,0.0002037715,0,0,False,False
25,Mn,PercentWeight,0.09192194,0.09192194,0.0008974215,0,0,False,False
26,Fe,PercentWeight,0.03125943,0.03125943,0.0006683982,0,0,False,False
28,Ni,PercentWeight,0,0,8.117791E-05,0,0,False,False
29,Cu,PercentWeight,0.02268296,0.02268296,0.0001911192,0,0,False,False
30,Zn,PercentWeight,0.002380573,0.002380573,0.0001036381,0,0,False,False
33,As,PercentWeight,0,0,8.478635E-05,0,0,False,False
34,Se,PercentWeight,0.0001817036,0.0001817036,5.564938E-05,0,0,False,False
35,Br,PercentWeight,0.001067027,0.001067027,0.0001001443,0,0,False,False
37,Rb,PercentWeight,0.00133299,0.00133299,0.0001278784,0,0,False,False
38,Sr,PercentWeight,0.0113394,0.0113394,0.0001451792,0,0,False,False
42,Mo,PercentWeight,5.891081E-05,5.891081E-05,6.702697E-05,0,0,False,False
48,Cd,PercentWeight,0.0008625353,0.0008625353,0.0002179493,0,0,False,False
56,Ba,PercentWeight,0.003025038,0.003025038,0.003346093,0,0,False,False
80,Hg,PercentWeight,0,0,9.202984E-06,0,0,False,False
82,Pb,PercentWeight,0.0001031252,0.0001031252,0.0002658329,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1882486,,447409,
ValidCounts,1630841,,403371,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0006710849,,0.0006710849,
ZeroOffsetInKeV,-0.0006710849,,-0.0006710849,
StartingChannel,0.03352122,,0.03352122,
NumberOfChannels,2048,,2048,
CountsPerSecond,44634.05,,49241.58,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 11:44:22 AM,,02/08/2023 11:44:22 AM,
LiveTimeInSeconds,37.657,,8.075001,
DeadTimeInSeconds,4.519,,1.011,
ResetTimeInSeconds,4.677001,,0.28,
DetectorTempInC,-27,,-27,
AmbientTempInF,96,,96,
NosePressureInMilliBars,787.6742,,787.6742,
NoseTemperatureInC,32,,32,
ActiveTimeInSeconds,42.17601,,9.085999,
PacketTimeInSeconds,46.85301,,9.365999,
CommunicationTimeInSeconds,3.146988,,0.6340008,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0006710849,0,0.0006710849,0
2,0.02069079,0,0.02069079,0
3,0.04071049,0,0.04071049,0
4,0.06073019,0,0.06073019,0
5,0.08074989,0,0.08074989,0
6,0.1007696,0,0.1007696,0
7,0.1207893,0,0.1207893,0
8,0.140809,0,0.140809,0
9,0.1608287,0,0.1608287,0
10,0.1808484,0,0.1808484,0
11,0.2008681,0,0.2008681,0
12,0.2208878,0,0.2208878,0
13,0.2409075,0,0.2409075,0
14,0.2609272,0,0.2609272,0
15,0.2809469,0,0.2809469,0
16,0.3009666,7,0.3009666,2
17,0.3209863,104,0.3209863,20
18,0.341006,1262,0.341006,246
19,0.3610257,5599,0.3610257,1211
20,0.3810454,12331,0.3810454,2591
21,0.4010651,11672,0.4010651,2473
22,0.4210848,5240,0.4210848,1180
23,0.4411045,1084,0.4411045,231
24,0.4611242,138,0.4611242,22
25,0.4811439,5,0.4811439,1
26,0.5011636,4,0.5011636,1
27,0.5211833,3,0.5211833,0
28,0.541203,4,0.541203,0
29,0.5612227,0,0.5612227,1
30,0.5812424,2,0.5812424,1
31,0.6012621,1,0.6012621,0
32,0.6212818,2,0.6212818,0
33,0.6413015,1,0.6413015,0
34,0.6613212,1,0.6613212,1
35,0.6813409,750,0.6813409,14
36,0.7013606,785,0.7013606,12
37,0.7213803,719,0.7213803,18
38,0.7414,718,0.7414,14
39,0.7614197,745,0.7614197,11
40,0.7814394,749,0.7814394,14
41,0.8014591,743,0.8014591,14
42,0.8214788,721,0.8214788,26
43,0.8414986,743,0.8414986,20
44,0.8615182,663,0.8615182,13
45,0.8815379,700,0.8815379,32
46,0.9015576,685,0.9015576,45
47,0.9215773,678,0.9215773,64
48,0.941597,692,0.941597,78
49,0.9616168,645,0.9616168,67
50,0.9816364,630,0.9816364,40
51,1.001656,639,1.001656,24
52,1.021676,675,1.021676,31
53,1.041696,663,1.041696,42
54,1.061715,635,1.061715,43
55,1.081735,683,1.081735,48
56,1.101755,626,1.101755,43
57,1.121774,596,1.121774,39
58,1.141794,655,1.141794,28
59,1.161814,605,1.161814,40
60,1.181833,645,1.181833,38
61,1.201853,599,1.201853,48
62,1.221873,634,1.221873,44
63,1.241893,613,1.241893,58
64,1.261912,645,1.261912,42
65,1.281932,576,1.281932,32
66,1.301952,626,1.301952,27
67,1.321971,634,1.321971,21
68,1.341991,610,1.341991,15
69,1.362011,539,1.362011,11
70,1.38203,592,1.38203,17
71,1.40205,569,1.40205,23
72,1.42207,617,1.42207,33
73,1.44209,585,1.44209,46
74,1.462109,541,1.462109,53
75,1.482129,571,1.482129,68
76,1.502149,595,1.502149,60
77,1.522168,569,1.522168,81
78,1.542188,563,1.542188,123
79,1.562208,552,1.562208,130
80,1.582227,551,1.582227,104
81,1.602247,505,1.602247,78
82,1.622267,529,1.622267,48
83,1.642287,526,1.642287,34
84,1.662306,510,1.662306,30
85,1.682326,489,1.682326,70
86,1.702346,521,1.702346,103
87,1.722365,533,1.722365,126
88,1.742385,515,1.742385,141
89,1.762405,522,1.762405,138
90,1.782424,504,1.782424,128
91,1.802444,470,1.802444,70
92,1.822464,516,1.822464,60
93,1.842484,529,1.842484,59
94,1.862503,513,1.862503,70
95,1.882523,573,1.882523,83
96,1.902543,536,1.902543,142
97,1.922562,550,1.922562,201
98,1.942582,521,1.942582,272
99,1.962602,559,1.962602,288
100,1.982621,545,1.982621,362
101,2.002641,508,2.002641,374
102,2.022661,490,2.022661,297
103,2.042681,494,2.042681,240
104,2.0627,497,2.0627,139
105,2.08272,456,2.08272,97
106,2.10274,450,2.10274,66
107,2.122759,493,2.122759,82
108,2.142779,479,2.142779,75
109,2.162799,481,2.162799,96
110,2.182818,473,2.182818,83
111,2.202838,491,2.202838,126
112,2.222858,443,2.222858,200
113,2.242877,474,2.242877,423
114,2.262897,454,2.262897,757
115,2.282917,501,2.282917,1130
116,2.302937,548,2.302937,1309
117,2.322956,507,2.322956,1290
118,2.342976,456,2.342976,963
119,2.362996,439,2.362996,602
120,2.383015,395,2.383015,341
121,2.403035,434,2.403035,244
122,2.423055,412,2.423055,207
123,2.443075,421,2.443075,212
124,2.463094,411,2.463094,209
125,2.483114,441,2.483114,181
126,2.503134,389,2.503134,194
127,2.523153,423,2.523153,202
128,2.543173,429,2.543173,215
129,2.563193,436,2.563193,260
130,2.583213,442,2.583213,399
131,2.603232,487,2.603232,703
132,2.623252,483,2.623252,1122
133,2.643272,466,2.643272,1791
134,2.663291,437,2.663291,2521
135,2.683311,429,2.683311,3088
136,2.703331,359,2.703331,3202
137,2.723351,417,2.723351,2791
138,2.74337,378,2.74337,1985
139,2.76339,361,2.76339,1502
140,2.78341,410,2.78341,1356
141,2.803429,326,2.803429,1592
142,2.823449,354,2.823449,1851
143,2.843469,405,2.843469,1807
144,2.863488,387,2.863488,1776
145,2.883508,390,2.883508,1555
146,2.903528,417,2.903528,1516
147,2.923548,482,2.923548,1520
148,2.943567,528,2.943567,1701
149,2.963587,502,2.963587,1667
150,2.983607,477,2.983607,1500
151,3.003626,439,3.003626,1126
152,3.023646,390,3.023646,775
153,3.043666,381,3.043666,536
154,3.063685,362,3.063685,357
155,3.083705,362,3.083705,290
156,3.103725,361,3.103725,302
157,3.123744,359,3.123744,327
158,3.143764,363,3.143764,339
159,3.163784,361,3.163784,394
160,3.183804,434,3.183804,491
161,3.203823,521,3.203823,680
162,3.223843,654,3.223843,1169
163,3.243863,1013,3.243863,2337
164,3.263882,1444,3.263882,3994
165,3.283902,2028,3.283902,5894
166,3.303922,2242,3.303922,7489
167,3.323941,2280,3.323941,7628
168,3.343961,1952,3.343961,6350
169,3.363981,1317,3.363981,4386
170,3.384001,886,3.384001,2570
