Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA2712-00002-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 3:34:43 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.916
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 15
UserCustomField,ID,CT006PA0024 15
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,1.030565,1.030565,0.2136115,0,0,False,False
13,Al,PercentWeight,0.04233634,0.04233634,0.02644194,0,0,False,False
14,Si,PercentWeight,0.08786533,0.08786533,0.01134982,0,0,False,False
15,P,PercentWeight,0.1488931,0.09639314,0.005320539,0,0,False,False
16,S,PercentWeight,0.246792,0.205292,0.003829413,0,0,False,False
17,Cl,PercentWeight,0.02228008,0.02228008,0.01279659,0,0,False,False
19,K,PercentWeight,1.322899,1.235399,0.005152026,0,0,False,False
20,Ca,PercentWeight,0.863998,0.863998,0.003222036,0,0,False,False
22,Ti,PercentWeight,0.001113667,0.001113667,0.0002254824,0,0,False,False
23,V,PercentWeight,0,0,3.384539E-05,0,0,False,False
24,Cr,PercentWeight,0.0023671,0.0023671,0.0002193786,0,0,False,False
25,Mn,PercentWeight,0.06752293,0.06752293,0.0007308267,0,0,False,False
26,Fe,PercentWeight,0.03027073,0.03027073,0.0006223271,0,0,False,False
28,Ni,PercentWeight,0,0,8.298123E-05,0,0,False,False
29,Cu,PercentWeight,0.03786584,0.03786584,0.0002312564,0,0,False,False
30,Zn,PercentWeight,0.001457481,0.001457481,9.901537E-05,0,0,False,False
33,As,PercentWeight,0,0,8.083138E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.907635E-05,0,0,False,False
35,Br,PercentWeight,0.001361596,0.001361596,9.702777E-05,0,0,False,False
37,Rb,PercentWeight,0.002209771,0.002209771,0.0001254002,0,0,False,False
38,Sr,PercentWeight,0.009853844,0.009853844,0.0001365873,0,0,False,False
42,Mo,PercentWeight,0,0,7.113309E-05,0,0,False,False
48,Cd,PercentWeight,0.0005431703,0.0005431703,0.000229413,0,0,False,False
56,Ba,PercentWeight,0.002322732,0.002322732,0.00310426,0,0,False,False
80,Hg,PercentWeight,0,0,9.767025E-06,0,0,False,False
82,Pb,PercentWeight,0.0002397145,0.0002397145,0.000255228,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2022355,,477341,
ValidCounts,1737028,,426886,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007991484,,0.0007991484,
ZeroOffsetInKeV,-0.0007991484,,-0.0007991484,
StartingChannel,0.0399181,,0.0399181,
NumberOfChannels,2048,,2048,
CountsPerSecond,48400.23,,52727.38,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 3:34:43 PM,,01/08/2023 3:34:43 PM,
LiveTimeInSeconds,36.939,,7.977,
DeadTimeInSeconds,4.845002,,1.076,
ResetTimeInSeconds,5.042999,,0.3,
DetectorTempInC,-27,,-27,
AmbientTempInF,95.6,,95.6,
NosePressureInMilliBars,784.149,,784.149,
NoseTemperatureInC,32,,32,
ActiveTimeInSeconds,41.784,,9.053,
PacketTimeInSeconds,46.827,,9.353001,
CommunicationTimeInSeconds,3.173004,,0.6469994,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007991484,0,0.0007991484,0
2,0.02081885,0,0.02081885,0
3,0.04083855,0,0.04083855,0
4,0.06085825,0,0.06085825,0
5,0.08087795,0,0.08087795,0
6,0.1008977,0,0.1008977,0
7,0.1209174,0,0.1209174,0
8,0.1409371,0,0.1409371,0
9,0.1609568,0,0.1609568,0
10,0.1809765,0,0.1809765,0
11,0.2009962,0,0.2009962,0
12,0.2210159,0,0.2210159,0
13,0.2410356,0,0.2410356,0
14,0.2610553,0,0.2610553,0
15,0.281075,0,0.281075,0
16,0.3010947,4,0.3010947,3
17,0.3211144,112,0.3211144,24
18,0.3411341,1148,0.3411341,268
19,0.3611538,5765,0.3611538,1205
20,0.3811735,11839,0.3811735,2616
21,0.4011932,11495,0.4011932,2475
22,0.4212129,5048,0.4212129,1064
23,0.4412326,1090,0.4412326,233
24,0.4612523,118,0.4612523,22
25,0.481272,13,0.481272,4
26,0.5012917,3,0.5012917,1
27,0.5213114,1,0.5213114,0
28,0.5413311,2,0.5413311,0
29,0.5613508,2,0.5613508,0
30,0.5813705,5,0.5813705,0
31,0.6013902,2,0.6013902,1
32,0.6214099,4,0.6214099,0
33,0.6414296,3,0.6414296,0
34,0.6614493,1,0.6614493,0
35,0.681469,810,0.681469,13
36,0.7014887,758,0.7014887,15
37,0.7215084,779,0.7215084,17
38,0.7415281,768,0.7415281,14
39,0.7615478,788,0.7615478,11
40,0.7815675,707,0.7815675,21
41,0.8015872,754,0.8015872,10
42,0.8216069,746,0.8216069,14
43,0.8416266,769,0.8416266,20
44,0.8616463,745,0.8616463,26
45,0.881666,693,0.881666,30
46,0.9016857,711,0.9016857,50
47,0.9217054,758,0.9217054,49
48,0.9417251,685,0.9417251,91
49,0.9617448,689,0.9617448,78
50,0.9817645,717,0.9817645,43
51,1.001784,694,1.001784,27
52,1.021804,680,1.021804,25
53,1.041824,648,1.041824,33
54,1.061843,684,1.061843,30
55,1.081863,680,1.081863,58
56,1.101883,726,1.101883,44
57,1.121902,644,1.121902,33
58,1.141922,686,1.141922,24
59,1.161942,666,1.161942,35
60,1.181962,677,1.181962,44
61,1.201981,635,1.201981,51
62,1.222001,686,1.222001,53
63,1.242021,649,1.242021,57
64,1.26204,632,1.26204,37
65,1.28206,640,1.28206,39
66,1.30208,616,1.30208,25
67,1.322099,598,1.322099,12
68,1.342119,606,1.342119,13
69,1.362139,611,1.362139,20
70,1.382159,597,1.382159,17
71,1.402178,547,1.402178,24
72,1.422198,614,1.422198,38
73,1.442218,639,1.442218,45
74,1.462237,594,1.462237,54
75,1.482257,610,1.482257,70
76,1.502277,556,1.502277,102
77,1.522296,595,1.522296,125
78,1.542316,646,1.542316,185
79,1.562336,560,1.562336,195
80,1.582355,595,1.582355,197
81,1.602375,559,1.602375,116
82,1.622395,573,1.622395,66
83,1.642415,564,1.642415,37
84,1.662434,507,1.662434,32
85,1.682454,512,1.682454,47
86,1.702474,531,1.702474,106
87,1.722493,561,1.722493,131
88,1.742513,528,1.742513,112
89,1.762533,562,1.762533,106
90,1.782552,495,1.782552,83
91,1.802572,503,1.802572,67
92,1.822592,522,1.822592,76
93,1.842612,512,1.842612,74
94,1.862631,552,1.862631,78
95,1.882651,518,1.882651,87
96,1.902671,525,1.902671,108
97,1.92269,567,1.92269,188
98,1.94271,571,1.94271,237
99,1.96273,547,1.96273,308
100,1.98275,532,1.98275,406
101,2.002769,521,2.002769,449
102,2.022789,490,2.022789,400
103,2.042809,521,2.042809,314
104,2.062828,494,2.062828,207
105,2.082848,553,2.082848,115
106,2.102868,474,2.102868,87
107,2.122887,496,2.122887,75
108,2.142907,476,2.142907,82
109,2.162927,479,2.162927,82
110,2.182946,535,2.182946,92
111,2.202966,515,2.202966,117
112,2.222986,519,2.222986,244
113,2.243006,522,2.243006,422
114,2.263025,532,2.263025,831
115,2.283045,483,2.283045,1263
116,2.303065,516,2.303065,1471
117,2.323084,490,2.323084,1401
118,2.343104,456,2.343104,1067
119,2.363124,477,2.363124,635
120,2.383144,439,2.383144,381
121,2.403163,465,2.403163,248
122,2.423183,458,2.423183,236
123,2.443203,451,2.443203,243
124,2.463222,445,2.463222,224
125,2.483242,470,2.483242,225
126,2.503262,454,2.503262,223
127,2.523282,445,2.523282,200
128,2.543301,448,2.543301,233
129,2.563321,440,2.563321,277
130,2.583341,455,2.583341,442
131,2.60336,438,2.60336,667
132,2.62338,483,2.62338,1159
133,2.6434,475,2.6434,1877
134,2.663419,451,2.663419,2700
135,2.683439,407,2.683439,3252
136,2.703459,415,2.703459,3414
137,2.723479,441,2.723479,2927
138,2.743498,383,2.743498,2174
139,2.763518,407,2.763518,1583
140,2.783538,390,2.783538,1491
141,2.803557,390,2.803557,1589
142,2.823577,397,2.823577,1875
143,2.843597,379,2.843597,1976
144,2.863616,412,2.863616,1830
145,2.883636,443,2.883636,1635
146,2.903656,425,2.903656,1466
147,2.923676,467,2.923676,1509
148,2.943695,500,2.943695,1645
149,2.963715,484,2.963715,1576
150,2.983735,472,2.983735,1456
151,3.003754,437,3.003754,1135
152,3.023774,397,3.023774,814
153,3.043794,387,3.043794,545
154,3.063813,325,3.063813,416
155,3.083833,345,3.083833,318
156,3.103853,353,3.103853,307
157,3.123873,353,3.123873,325
158,3.143892,363,3.143892,391
159,3.163912,416,3.163912,470
160,3.183932,417,3.183932,584
161,3.203951,536,3.203951,935
162,3.223971,839,3.223971,1835
163,3.243991,1351,3.243991,3662
164,3.26401,2168,3.26401,6598
165,3.28403,2873,3.28403,9799
166,3.30405,3420,3.30405,12456
167,3.324069,3265,3.324069,12401
168,3.344089,2746,3.344089,10376
169,3.364109,1876,3.364109,7174
170,3.384129,1240,3.384129,4021
171,3.404148,736,3.404148,1995
