Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA2932-00003-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 3:38:34 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.29501
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 16
UserCustomField,ID,CT006PA0024 16
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.351521,0.351521,0.2147281,0,0,False,False
13,Al,PercentWeight,0,0,0.02560538,0,0,False,False
14,Si,PercentWeight,0.1282389,0.1282389,0.01188318,0,0,False,False
15,P,PercentWeight,0.1407397,0.08823967,0.005126268,0,0,False,False
16,S,PercentWeight,0.2394185,0.1979185,0.003762331,0,0,False,False
17,Cl,PercentWeight,0.05073618,0.05073618,0.01292823,0,0,False,False
19,K,PercentWeight,1.096624,1.009124,0.004672215,0,0,False,False
20,Ca,PercentWeight,0.7527065,0.7527065,0.003030788,0,0,False,False
22,Ti,PercentWeight,0.0009168308,0.0009168308,0.0002236736,0,0,False,False
23,V,PercentWeight,0,0,3.408544E-05,0,0,False,False
24,Cr,PercentWeight,0.001889852,0.001889852,0.0002197928,0,0,False,False
25,Mn,PercentWeight,0.04907891,0.04907891,0.0006415947,0,0,False,False
26,Fe,PercentWeight,0.5116752,0.5116752,0.001741911,0,0,False,False
28,Ni,PercentWeight,0,0,8.754937E-05,0,0,False,False
29,Cu,PercentWeight,0.01486712,0.01486712,0.0001502063,0,0,False,False
30,Zn,PercentWeight,0.03434632,0.03434632,0.0002316471,0,0,False,False
33,As,PercentWeight,0,0,7.838067E-05,0,0,False,False
34,Se,PercentWeight,6.592087E-05,6.592087E-05,6.023449E-05,0,0,False,False
35,Br,PercentWeight,0.0006143313,0.0006143313,9.313461E-05,0,0,False,False
37,Rb,PercentWeight,0.001568396,0.001568396,0.0001219221,0,0,False,False
38,Sr,PercentWeight,0.01319028,0.01319028,0.0001415297,0,0,False,False
42,Mo,PercentWeight,7.37856E-05,7.37856E-05,7.244513E-05,0,0,False,False
48,Cd,PercentWeight,0.0006757202,0.0006757202,0.0002334461,0,0,False,False
56,Ba,PercentWeight,0.002790647,0.002790647,0.003056123,0,0,False,False
80,Hg,PercentWeight,0,0,9.973925E-06,0,0,False,False
82,Pb,PercentWeight,0.0001021411,0.0001021411,0.0002515914,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2184004,,477818,
ValidCounts,1863339,,427343,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0008647265,,0.0008647265,
ZeroOffsetInKeV,-0.0008647265,,-0.0008647265,
StartingChannel,0.04319378,,0.04319378,
NumberOfChannels,2048,,2048,
CountsPerSecond,52589.84,,52809.24,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 3:38:34 PM,,01/08/2023 3:38:34 PM,
LiveTimeInSeconds,36.326,,7.969,
DeadTimeInSeconds,5.203002,,1.079,
ResetTimeInSeconds,5.281999,,0.31,
DetectorTempInC,-27,,-27,
AmbientTempInF,95.8,,95.8,
NosePressureInMilliBars,784.3382,,784.3382,
NoseTemperatureInC,32,,32,
ActiveTimeInSeconds,41.52901,,9.047999,
PacketTimeInSeconds,46.81101,,9.358,
CommunicationTimeInSeconds,3.188988,,0.6420002,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0008647265,0,0.0008647265,0
2,0.02088443,0,0.02088443,0
3,0.04090413,0,0.04090413,0
4,0.06092383,0,0.06092383,0
5,0.08094353,0,0.08094353,0
6,0.1009632,0,0.1009632,0
7,0.1209829,0,0.1209829,0
8,0.1410026,0,0.1410026,0
9,0.1610223,0,0.1610223,0
10,0.181042,0,0.181042,0
11,0.2010617,0,0.2010617,0
12,0.2210814,0,0.2210814,0
13,0.2411011,0,0.2411011,0
14,0.2611208,0,0.2611208,0
15,0.2811405,0,0.2811405,0
16,0.3011602,3,0.3011602,0
17,0.32118,107,0.32118,18
18,0.3411996,1208,0.3411996,212
19,0.3612193,5651,0.3612193,1139
20,0.3812391,11663,0.3812391,2615
21,0.4012587,11248,0.4012587,2577
22,0.4212784,4971,0.4212784,1086
23,0.4412982,1088,0.4412982,216
24,0.4613178,101,0.4613178,25
25,0.4813375,11,0.4813375,3
26,0.5013573,4,0.5013573,0
27,0.521377,5,0.521377,0
28,0.5413967,1,0.5413967,0
29,0.5614163,2,0.5614163,0
30,0.581436,2,0.581436,1
31,0.6014557,3,0.6014557,0
32,0.6214755,2,0.6214755,0
33,0.6414952,2,0.6414952,0
34,0.6615149,0,0.6615149,0
35,0.6815346,777,0.6815346,13
36,0.7015542,791,0.7015542,14
37,0.7215739,774,0.7215739,18
38,0.7415937,768,0.7415937,14
39,0.7616134,798,0.7616134,20
40,0.7816331,751,0.7816331,17
41,0.8016528,753,0.8016528,18
42,0.8216724,739,0.8216724,16
43,0.8416921,720,0.8416921,25
44,0.8617119,723,0.8617119,26
45,0.8817316,699,0.8817316,22
46,0.9017513,726,0.9017513,45
47,0.921771,783,0.921771,60
48,0.9417907,724,0.9417907,62
49,0.9618104,701,0.9618104,72
50,0.9818301,746,0.9818301,41
51,1.00185,714,1.00185,35
52,1.021869,728,1.021869,30
53,1.041889,710,1.041889,25
54,1.061909,716,1.061909,38
55,1.081929,680,1.081929,38
56,1.101948,644,1.101948,61
57,1.121968,685,1.121968,54
58,1.141988,718,1.141988,29
59,1.162007,677,1.162007,34
60,1.182027,626,1.182027,33
61,1.202047,606,1.202047,35
62,1.222067,625,1.222067,53
63,1.242086,612,1.242086,53
64,1.262106,646,1.262106,38
65,1.282126,688,1.282126,28
66,1.302145,608,1.302145,29
67,1.322165,608,1.322165,24
68,1.342185,636,1.342185,23
69,1.362204,595,1.362204,13
70,1.382224,613,1.382224,25
71,1.402244,592,1.402244,25
72,1.422264,584,1.422264,27
73,1.442283,606,1.442283,35
74,1.462303,675,1.462303,56
75,1.482323,632,1.482323,58
76,1.502342,640,1.502342,80
77,1.522362,628,1.522362,97
78,1.542382,571,1.542382,133
79,1.562401,626,1.562401,166
80,1.582421,599,1.582421,162
81,1.602441,561,1.602441,109
82,1.62246,534,1.62246,55
83,1.64248,551,1.64248,33
84,1.6625,528,1.6625,32
85,1.68252,542,1.68252,74
86,1.702539,555,1.702539,91
87,1.722559,508,1.722559,135
88,1.742579,521,1.742579,136
89,1.762598,560,1.762598,139
90,1.782618,515,1.782618,111
91,1.802638,570,1.802638,78
92,1.822657,537,1.822657,62
93,1.842677,501,1.842677,59
94,1.862697,541,1.862697,71
95,1.882717,532,1.882717,78
96,1.902736,556,1.902736,101
97,1.922756,533,1.922756,157
98,1.942776,586,1.942776,193
99,1.962795,554,1.962795,316
100,1.982815,569,1.982815,367
101,2.002835,549,2.002835,422
102,2.022855,491,2.022855,366
103,2.042874,464,2.042874,303
104,2.062894,527,2.062894,174
105,2.082914,541,2.082914,130
106,2.102933,476,2.102933,56
107,2.122953,475,2.122953,87
108,2.142973,485,2.142973,76
109,2.162992,498,2.162992,65
110,2.183012,478,2.183012,86
111,2.203032,470,2.203032,142
112,2.223052,501,2.223052,219
113,2.243071,488,2.243071,421
114,2.263091,475,2.263091,806
115,2.283111,508,2.283111,1190
116,2.30313,509,2.30313,1457
117,2.32315,483,2.32315,1373
118,2.34317,439,2.34317,978
119,2.363189,526,2.363189,635
120,2.383209,472,2.383209,357
121,2.403229,449,2.403229,256
122,2.423249,447,2.423249,231
123,2.443268,482,2.443268,229
124,2.463288,464,2.463288,231
125,2.483308,450,2.483308,225
126,2.503327,423,2.503327,244
127,2.523347,423,2.523347,211
128,2.543367,467,2.543367,230
129,2.563386,467,2.563386,293
130,2.583406,512,2.583406,472
131,2.603426,472,2.603426,724
132,2.623446,483,2.623446,1289
133,2.643465,461,2.643465,1897
134,2.663485,494,2.663485,2667
135,2.683505,430,2.683505,3328
136,2.703524,413,2.703524,3342
137,2.723544,386,2.723544,2855
138,2.743564,411,2.743564,2083
139,2.763583,382,2.763583,1526
140,2.783603,420,2.783603,1452
141,2.803623,438,2.803623,1553
142,2.823642,401,2.823642,1946
143,2.843662,402,2.843662,1892
144,2.863682,393,2.863682,1747
145,2.883702,362,2.883702,1608
146,2.903721,413,2.903721,1497
147,2.923741,484,2.923741,1558
148,2.943761,461,2.943761,1581
149,2.96378,483,2.96378,1544
150,2.9838,517,2.9838,1413
151,3.00382,449,3.00382,1115
152,3.023839,406,3.023839,758
153,3.043859,396,3.043859,547
154,3.063879,357,3.063879,398
155,3.083899,337,3.083899,301
156,3.103918,406,3.103918,318
157,3.123938,344,3.123938,326
158,3.143958,404,3.143958,375
159,3.163977,362,3.163977,412
160,3.183997,449,3.183997,548
161,3.204017,523,3.204017,817
162,3.224037,778,3.224037,1590
163,3.244056,1208,3.244056,3146
164,3.264076,1878,3.264076,5476
165,3.284096,2429,3.284096,8205
166,3.304115,2925,3.304115,10295
167,3.324135,2764,3.324135,10336
168,3.344155,2361,3.344155,8485
169,3.364175,1698,3.364175,6021
