Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA2948-00015-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 4:59:09 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.63202
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 28
UserCustomField,ID,CT006PA0024 28
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.6799526,0.6799526,0.2000963,0,0,False,False
13,Al,PercentWeight,0.0005060299,0.0005060299,0.0240058,0,0,False,False
14,Si,PercentWeight,0.03935654,0.03935654,0.009884602,0,0,False,False
15,P,PercentWeight,0.126047,0.07354705,0.004841433,0,0,False,False
16,S,PercentWeight,0.1931925,0.1516925,0.003418772,0,0,False,False
17,Cl,PercentWeight,0.006797108,0.006797108,0.01196483,0,0,False,False
19,K,PercentWeight,1.122388,1.034888,0.004710354,0,0,False,False
20,Ca,PercentWeight,0.5858691,0.5858691,0.002695274,0,0,False,False
22,Ti,PercentWeight,0.000911578,0.000911578,0.0002146462,0,0,False,False
23,V,PercentWeight,0,0,3.260152E-05,0,0,False,False
24,Cr,PercentWeight,0.002044092,0.002044092,0.0002105089,0,0,False,False
25,Mn,PercentWeight,0.05553191,0.05553191,0.0007257014,0,0,False,False
26,Fe,PercentWeight,0.02256308,0.02256308,0.0006388098,0,0,False,False
28,Ni,PercentWeight,0,0,8.028512E-05,0,0,False,False
29,Cu,PercentWeight,0.0201984,0.0201984,0.0001904651,0,0,False,False
30,Zn,PercentWeight,0.002074127,0.002074127,0.0001065065,0,0,False,False
33,As,PercentWeight,0,0,9.392626E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.49018E-05,0,0,False,False
35,Br,PercentWeight,0.000728146,0.000728146,0.000108387,0,0,False,False
37,Rb,PercentWeight,0.003568919,0.003568919,0.0001450497,0,0,False,False
38,Sr,PercentWeight,0.005916175,0.005916175,0.000143606,0,0,False,False
42,Mo,PercentWeight,0,0,6.297695E-05,0,0,False,False
48,Cd,PercentWeight,0.0002613063,0.0002613063,0.0002043069,0,0,False,False
56,Ba,PercentWeight,0.0002583505,0.0002583505,0.003490484,0,0,False,False
80,Hg,PercentWeight,0,0,9.142824E-06,0,0,False,False
82,Pb,PercentWeight,0.0002915006,0.0002915006,0.0002915455,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1712081,,414206,
ValidCounts,1497270,,376299,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0005625857,,0.0005625857,
ZeroOffsetInKeV,-0.0005625857,,-0.0005625857,
StartingChannel,0.0281016,,0.0281016,
NumberOfChannels,2048,,2048,
CountsPerSecond,40189.68,,45507.14,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 4:59:09 PM,,01/08/2023 4:59:09 PM,
LiveTimeInSeconds,38.47202,,8.16,
DeadTimeInSeconds,4.127999,,0.942,
ResetTimeInSeconds,4.225002,,0.261,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.5,,98.5,
NosePressureInMilliBars,785.2881,,785.2881,
NoseTemperatureInC,34,,34,
ActiveTimeInSeconds,42.60001,,9.102,
PacketTimeInSeconds,46.82502,,9.363,
CommunicationTimeInSeconds,3.174984,,0.6370001,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0005625857,0,0.0005625857,0
2,0.02058229,0,0.02058229,0
3,0.04060199,0,0.04060199,0
4,0.06062169,0,0.06062169,0
5,0.08064139,0,0.08064139,0
6,0.1006611,0,0.1006611,0
7,0.1206808,0,0.1206808,0
8,0.1407005,0,0.1407005,0
9,0.1607202,0,0.1607202,0
10,0.1807399,0,0.1807399,0
11,0.2007596,0,0.2007596,0
12,0.2207793,0,0.2207793,0
13,0.240799,0,0.240799,0
14,0.2608187,0,0.2608187,0
15,0.2808384,0,0.2808384,0
16,0.3008581,9,0.3008581,0
17,0.3208778,123,0.3208778,24
18,0.3408975,1245,0.3408975,244
19,0.3609172,5714,0.3609172,1196
20,0.3809369,12421,0.3809369,2729
21,0.4009566,11975,0.4009566,2622
22,0.4209763,5309,0.4209763,1106
23,0.440996,1151,0.440996,221
24,0.4610157,120,0.4610157,18
25,0.4810354,11,0.4810354,5
26,0.5010551,3,0.5010551,0
27,0.5210748,6,0.5210748,0
28,0.5410945,5,0.5410945,1
29,0.5611142,3,0.5611142,0
30,0.5811339,0,0.5811339,0
31,0.6011536,1,0.6011536,1
32,0.6211733,3,0.6211733,0
33,0.641193,2,0.641193,0
34,0.6612127,1,0.6612127,0
35,0.6812324,716,0.6812324,15
36,0.7012521,721,0.7012521,14
37,0.7212718,673,0.7212718,21
38,0.7412915,703,0.7412915,13
39,0.7613112,706,0.7613112,14
40,0.7813309,685,0.7813309,11
41,0.8013507,679,0.8013507,13
42,0.8213703,671,0.8213703,20
43,0.84139,634,0.84139,23
44,0.8614097,619,0.8614097,25
45,0.8814294,647,0.8814294,29
46,0.9014491,639,0.9014491,39
47,0.9214689,651,0.9214689,66
48,0.9414885,598,0.9414885,53
49,0.9615082,642,0.9615082,77
50,0.9815279,661,0.9815279,47
51,1.001548,667,1.001548,29
52,1.021567,632,1.021567,21
53,1.041587,615,1.041587,26
54,1.061607,649,1.061607,37
55,1.081626,597,1.081626,49
56,1.101646,604,1.101646,37
57,1.121666,599,1.121666,35
58,1.141685,610,1.141685,20
59,1.161705,599,1.161705,29
60,1.181725,604,1.181725,36
61,1.201745,547,1.201745,47
62,1.221764,575,1.221764,55
63,1.241784,557,1.241784,41
64,1.261804,552,1.261804,42
65,1.281823,588,1.281823,27
66,1.301843,576,1.301843,24
67,1.321863,537,1.321863,18
68,1.341883,484,1.341883,7
69,1.361902,542,1.361902,17
70,1.381922,566,1.381922,21
71,1.401942,513,1.401942,21
72,1.421961,534,1.421961,24
73,1.441981,548,1.441981,33
74,1.462001,512,1.462001,58
75,1.48202,547,1.48202,58
76,1.50204,548,1.50204,77
77,1.52206,535,1.52206,110
78,1.54208,549,1.54208,133
79,1.562099,522,1.562099,175
80,1.582119,533,1.582119,154
81,1.602139,537,1.602139,111
82,1.622158,502,1.622158,62
83,1.642178,510,1.642178,31
84,1.662198,492,1.662198,31
85,1.682217,457,1.682217,46
86,1.702237,499,1.702237,72
87,1.722257,481,1.722257,83
88,1.742277,486,1.742277,100
89,1.762296,492,1.762296,71
90,1.782316,478,1.782316,56
91,1.802336,489,1.802336,63
92,1.822355,475,1.822355,40
93,1.842375,463,1.842375,59
94,1.862395,479,1.862395,51
95,1.882414,473,1.882414,70
96,1.902434,493,1.902434,86
97,1.922454,471,1.922454,134
98,1.942474,525,1.942474,200
99,1.962493,530,1.962493,274
100,1.982513,468,1.982513,360
101,2.002533,459,2.002533,381
102,2.022552,503,2.022552,354
103,2.042572,460,2.042572,263
104,2.062592,453,2.062592,160
105,2.082612,432,2.082612,119
106,2.102631,419,2.102631,78
107,2.122651,445,2.122651,80
108,2.142671,450,2.142671,72
109,2.16269,464,2.16269,56
110,2.18271,444,2.18271,82
111,2.20273,428,2.20273,105
112,2.222749,415,2.222749,229
113,2.242769,459,2.242769,394
114,2.262789,459,2.262789,662
115,2.282809,468,2.282809,985
116,2.302828,541,2.302828,1243
117,2.322848,450,2.322848,1134
118,2.342868,427,2.342868,816
119,2.362887,402,2.362887,585
120,2.382907,416,2.382907,323
121,2.402927,400,2.402927,227
122,2.422946,438,2.422946,207
123,2.442966,375,2.442966,186
124,2.462986,407,2.462986,210
125,2.483006,387,2.483006,212
126,2.503025,414,2.503025,194
127,2.523045,417,2.523045,176
128,2.543065,404,2.543065,181
129,2.563084,395,2.563084,209
130,2.583104,419,2.583104,334
131,2.603124,419,2.603124,553
132,2.623143,432,2.623143,1031
133,2.643163,434,2.643163,1717
134,2.663183,418,2.663183,2443
135,2.683203,389,2.683203,3173
136,2.703222,344,2.703222,3100
137,2.723242,325,2.723242,2778
138,2.743262,336,2.743262,2047
139,2.763281,380,2.763281,1543
140,2.783301,353,2.783301,1464
141,2.803321,318,2.803321,1582
142,2.82334,361,2.82334,1814
143,2.84336,352,2.84336,1873
144,2.86338,368,2.86338,1705
145,2.883399,372,2.883399,1503
146,2.903419,409,2.903419,1446
147,2.923439,451,2.923439,1570
148,2.943459,438,2.943459,1532
149,2.963478,480,2.963478,1591
150,2.983498,442,2.983498,1473
151,3.003518,437,3.003518,1133
152,3.023537,349,3.023537,718
153,3.043557,354,3.043557,504
154,3.063577,329,3.063577,370
155,3.083596,334,3.083596,288
156,3.103616,352,3.103616,324
157,3.123636,316,3.123636,339
158,3.143656,363,3.143656,372
159,3.163675,392,3.163675,439
160,3.183695,428,3.183695,521
161,3.203715,495,3.203715,844
162,3.223734,766,3.223734,1682
163,3.243754,1277,3.243754,3382
164,3.263774,1871,3.263774,5884
165,3.283793,2658,3.283793,8836
166,3.303813,3166,3.303813,11281
167,3.323833,3160,3.323833,11311
168,3.343853,2623,3.343853,9423
169,3.363872,1862,3.363872,6543
170,3.383892,1136,3.383892,3792
