Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA2951-00013-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 4:47:23 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.03799
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 26
UserCustomField,ID,CT006PA0024 26
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.5093753,0.5093753,0.208642,0,0,False,False
13,Al,PercentWeight,0.01928503,0.01928503,0.02595754,0,0,False,False
14,Si,PercentWeight,0.1179993,0.1179993,0.01173154,0,0,False,False
15,P,PercentWeight,0.1490221,0.09652212,0.00524713,0,0,False,False
16,S,PercentWeight,0.2199582,0.1784582,0.003618254,0,0,False,False
17,Cl,PercentWeight,0.02643228,0.02643228,0.01226049,0,0,False,False
19,K,PercentWeight,0.9715731,0.8840731,0.004408592,0,0,False,False
20,Ca,PercentWeight,0.9491962,0.9491962,0.003302026,0,0,False,False
22,Ti,PercentWeight,0.000633139,0.000633139,0.0002139351,0,0,False,False
23,V,PercentWeight,0,0,3.213491E-05,0,0,False,False
24,Cr,PercentWeight,0.002508274,0.002508274,0.0002106261,0,0,False,False
25,Mn,PercentWeight,0.06366115,0.06366115,0.0007559137,0,0,False,False
26,Fe,PercentWeight,0.0224528,0.0224528,0.0006204322,0,0,False,False
28,Ni,PercentWeight,0,0,8.108025E-05,0,0,False,False
29,Cu,PercentWeight,0.01312258,0.01312258,0.0001523415,0,0,False,False
30,Zn,PercentWeight,0.002784599,0.002784599,0.0001021317,0,0,False,False
33,As,PercentWeight,0,0,8.648584E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.573373E-05,0,0,False,False
35,Br,PercentWeight,0.000493562,0.000493562,0.0001018541,0,0,False,False
37,Rb,PercentWeight,0.00197831,0.00197831,0.0001353704,0,0,False,False
38,Sr,PercentWeight,0.008064217,0.008064217,0.0001433997,0,0,False,False
42,Mo,PercentWeight,0,0,6.601117E-05,0,0,False,False
48,Cd,PercentWeight,0.0007948814,0.0007948814,0.00021425,0,0,False,False
56,Ba,PercentWeight,0.004227033,0.004227033,0.003345148,0,0,False,False
80,Hg,PercentWeight,0,0,9.255871E-06,0,0,False,False
82,Pb,PercentWeight,8.223336E-05,8.223336E-05,0.0002775979,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1818539,,435202,
ValidCounts,1578846,,393029,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007722063,,0.0007722063,
ZeroOffsetInKeV,-0.0007722063,,-0.0007722063,
StartingChannel,0.03857232,,0.03857232,
NumberOfChannels,2048,,2048,
CountsPerSecond,42980.29,,47892.82,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 4:47:23 PM,,01/08/2023 4:47:23 PM,
LiveTimeInSeconds,37.936,,8.101999,
DeadTimeInSeconds,4.375,,0.9850001,
ResetTimeInSeconds,4.523001,,0.27,
DetectorTempInC,-27,,-27,
AmbientTempInF,99.4,,99.4,
NosePressureInMilliBars,786.3044,,786.3044,
NoseTemperatureInC,34,,34,
ActiveTimeInSeconds,42.311,,9.087,
PacketTimeInSeconds,46.83401,,9.357,
CommunicationTimeInSeconds,3.165993,,0.6429996,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007722063,0,0.0007722063,0
2,0.02079191,0,0.02079191,0
3,0.04081161,0,0.04081161,0
4,0.06083131,0,0.06083131,0
5,0.08085101,0,0.08085101,0
6,0.1008707,0,0.1008707,0
7,0.1208904,0,0.1208904,0
8,0.1409101,0,0.1409101,0
9,0.1609298,0,0.1609298,0
10,0.1809495,0,0.1809495,0
11,0.2009692,0,0.2009692,0
12,0.2209889,0,0.2209889,0
13,0.2410086,0,0.2410086,0
14,0.2610283,0,0.2610283,0
15,0.281048,1,0.281048,0
16,0.3010677,6,0.3010677,1
17,0.3210874,115,0.3210874,23
18,0.3411071,1204,0.3411071,233
19,0.3611268,5817,0.3611268,1157
20,0.3811465,12334,0.3811465,2584
21,0.4011662,11876,0.4011662,2605
22,0.4211859,5201,0.4211859,1160
23,0.4412056,1086,0.4412056,239
24,0.4612253,132,0.4612253,23
25,0.481245,13,0.481245,2
26,0.5012648,3,0.5012648,0
27,0.5212845,5,0.5212845,0
28,0.5413041,3,0.5413041,0
29,0.5613238,1,0.5613238,0
30,0.5813435,2,0.5813435,0
31,0.6013632,3,0.6013632,0
32,0.621383,3,0.621383,0
33,0.6414027,3,0.6414027,0
34,0.6614223,1,0.6614223,0
35,0.681442,711,0.681442,14
36,0.7014617,745,0.7014617,18
37,0.7214814,677,0.7214814,23
38,0.7415012,674,0.7415012,14
39,0.7615209,712,0.7615209,20
40,0.7815406,726,0.7815406,20
41,0.8015602,706,0.8015602,13
42,0.8215799,723,0.8215799,20
43,0.8415996,722,0.8415996,21
44,0.8616194,678,0.8616194,16
45,0.8816391,669,0.8816391,28
46,0.9016588,656,0.9016588,34
47,0.9216784,670,0.9216784,47
48,0.9416981,661,0.9416981,59
49,0.9617178,665,0.9617178,52
50,0.9817376,685,0.9817376,39
51,1.001757,636,1.001757,20
52,1.021777,699,1.021777,30
53,1.041797,620,1.041797,27
54,1.061816,692,1.061816,38
55,1.081836,620,1.081836,38
56,1.101856,642,1.101856,43
57,1.121875,644,1.121875,35
58,1.141895,585,1.141895,28
59,1.161915,627,1.161915,34
60,1.181935,602,1.181935,37
61,1.201954,595,1.201954,41
62,1.221974,590,1.221974,53
63,1.241994,610,1.241994,49
64,1.262013,627,1.262013,38
65,1.282033,608,1.282033,30
66,1.302053,604,1.302053,25
67,1.322073,582,1.322073,22
68,1.342092,594,1.342092,16
69,1.362112,605,1.362112,19
70,1.382132,561,1.382132,16
71,1.402151,575,1.402151,32
72,1.422171,557,1.422171,30
73,1.442191,561,1.442191,24
74,1.46221,569,1.46221,63
75,1.48223,574,1.48223,75
76,1.50225,572,1.50225,83
77,1.522269,581,1.522269,108
78,1.542289,568,1.542289,133
79,1.562309,578,1.562309,164
80,1.582329,504,1.582329,136
81,1.602348,505,1.602348,107
82,1.622368,519,1.622368,47
83,1.642388,492,1.642388,34
84,1.662407,473,1.662407,49
85,1.682427,518,1.682427,65
86,1.702447,466,1.702447,95
87,1.722466,495,1.722466,142
88,1.742486,462,1.742486,158
89,1.762506,489,1.762506,133
90,1.782526,498,1.782526,83
91,1.802545,535,1.802545,50
92,1.822565,503,1.822565,66
93,1.842585,520,1.842585,67
94,1.862604,527,1.862604,66
95,1.882624,512,1.882624,89
96,1.902644,524,1.902644,118
97,1.922663,532,1.922663,172
98,1.942683,519,1.942683,237
99,1.962703,508,1.962703,337
100,1.982723,516,1.982723,409
101,2.002742,503,2.002742,493
102,2.022762,524,2.022762,386
103,2.042782,477,2.042782,298
104,2.062801,503,2.062801,204
105,2.082821,452,2.082821,119
106,2.102841,489,2.102841,77
107,2.12286,453,2.12286,77
108,2.14288,496,2.14288,84
109,2.1629,463,2.1629,69
110,2.18292,464,2.18292,91
111,2.202939,469,2.202939,109
112,2.222959,452,2.222959,207
113,2.242979,472,2.242979,433
114,2.262998,451,2.262998,759
115,2.283018,447,2.283018,1155
116,2.303038,483,2.303038,1338
117,2.323057,481,2.323057,1268
118,2.343077,453,2.343077,925
119,2.363097,421,2.363097,588
120,2.383117,430,2.383117,371
121,2.403136,431,2.403136,243
122,2.423156,424,2.423156,204
123,2.443176,384,2.443176,215
124,2.463195,450,2.463195,213
125,2.483215,413,2.483215,244
126,2.503235,396,2.503235,190
127,2.523255,430,2.523255,185
128,2.543274,405,2.543274,204
129,2.563294,426,2.563294,263
130,2.583314,443,2.583314,369
131,2.603333,454,2.603333,603
132,2.623353,460,2.623353,988
133,2.643373,455,2.643373,1694
134,2.663393,420,2.663393,2544
135,2.683412,419,2.683412,3169
136,2.703432,398,2.703432,3298
137,2.723452,371,2.723452,2740
138,2.743471,374,2.743471,2027
139,2.763491,370,2.763491,1515
140,2.783511,374,2.783511,1370
141,2.80353,367,2.80353,1576
142,2.82355,357,2.82355,1792
143,2.84357,358,2.84357,1833
144,2.86359,392,2.86359,1702
145,2.883609,404,2.883609,1622
146,2.903629,406,2.903629,1457
147,2.923649,468,2.923649,1489
148,2.943668,511,2.943668,1661
149,2.963688,529,2.963688,1598
150,2.983708,494,2.983708,1411
151,3.003727,438,3.003727,1103
152,3.023747,385,3.023747,833
153,3.043767,345,3.043767,525
154,3.063787,356,3.063787,376
155,3.083806,349,3.083806,331
156,3.103826,337,3.103826,302
157,3.123846,364,3.123846,357
158,3.143865,373,3.143865,394
159,3.163885,403,3.163885,433
160,3.183905,370,3.183905,488
161,3.203924,504,3.203924,867
162,3.223944,736,3.223944,1449
163,3.243964,1168,3.243964,2937
164,3.263983,1741,3.263983,5103
165,3.284003,2313,3.284003,7578
166,3.304023,2747,3.304023,9456
167,3.324043,2774,3.324043,9557
168,3.344062,2235,3.344062,8188
169,3.364082,1628,3.364082,5466
170,3.384102,1100,3.384102,3108
