Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA3004-00079-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 12:57:04 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.112
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,60
UserCustomField,ID,60
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.3149736,0.3149736,0.2170858,0,0,False,False
13,Al,PercentWeight,0.04397322,0.04397322,0.02623483,0,0,False,False
14,Si,PercentWeight,0.6079552,0.6079552,0.01772053,0,0,False,False
15,P,PercentWeight,0.06305941,0.01055941,0.004303837,0,0,False,False
16,S,PercentWeight,0.1941853,0.1526853,0.003434109,0,0,False,False
17,Cl,PercentWeight,0.06723424,0.06723424,0.01275161,0,0,False,False
19,K,PercentWeight,0.6888602,0.6013603,0.003731555,0,0,False,False
20,Ca,PercentWeight,2.154429,2.154429,0.004594009,0,0,False,False
22,Ti,PercentWeight,0.001371472,0.001371472,0.0002164203,0,0,False,False
23,V,PercentWeight,0,0,3.138315E-05,0,0,False,False
24,Cr,PercentWeight,0.002041102,0.002041102,0.0002023268,0,0,False,False
25,Mn,PercentWeight,0.1466349,0.1466349,0.001183635,0,0,False,False
26,Fe,PercentWeight,0.04670753,0.04670753,0.0008004239,0,0,False,False
28,Ni,PercentWeight,0,0,8.155767E-05,0,0,False,False
29,Cu,PercentWeight,0.01570487,0.01570487,0.0001691774,0,0,False,False
30,Zn,PercentWeight,0.01307333,0.01307333,0.0001713179,0,0,False,False
33,As,PercentWeight,0,0,8.988886E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.350052E-05,0,0,False,False
35,Br,PercentWeight,0.003381087,0.003381087,0.0001153477,0,0,False,False
37,Rb,PercentWeight,0.000673938,0.000673938,0.0001341966,0,0,False,False
38,Sr,PercentWeight,0.01632875,0.01632875,0.0001635247,0,0,False,False
42,Mo,PercentWeight,0,0,6.39237E-05,0,0,False,False
48,Cd,PercentWeight,0.0003896918,0.0003896918,0.0002086692,0,0,False,False
56,Ba,PercentWeight,0.006199028,0.006199028,0.003490871,0,0,False,False
80,Hg,PercentWeight,0,0,8.807831E-06,0,0,False,False
82,Pb,PercentWeight,0.0001973252,0.0001973252,0.0002805624,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1817419,,497435,
ValidCounts,1583114,,443228,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007105689,,0.0007105689,
ZeroOffsetInKeV,-0.0007105689,,-0.0007105689,
StartingChannel,0.03549348,,0.03549348,
NumberOfChannels,2048,,2048,
CountsPerSecond,42748.72,,54765.5,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 12:57:04 PM,,03/08/2023 12:57:04 PM,
LiveTimeInSeconds,38.149,,7.963001,
DeadTimeInSeconds,4.364999,,1.12,
ResetTimeInSeconds,4.411001,,0.294,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.1,,98.1,
NosePressureInMilliBars,788.4982,,788.4982,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.514,,9.083,
PacketTimeInSeconds,46.925,,9.377,
CommunicationTimeInSeconds,3.075005,,0.6230001,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007105689,0,0.0007105689,0
2,0.02073027,0,0.02073027,0
3,0.04074997,0,0.04074997,0
4,0.06076967,0,0.06076967,0
5,0.08078937,0,0.08078937,0
6,0.1008091,0,0.1008091,0
7,0.1208288,0,0.1208288,0
8,0.1408485,0,0.1408485,0
9,0.1608682,0,0.1608682,0
10,0.1808879,0,0.1808879,0
11,0.2009076,0,0.2009076,0
12,0.2209273,0,0.2209273,0
13,0.240947,0,0.240947,0
14,0.2609667,0,0.2609667,0
15,0.2809864,0,0.2809864,0
16,0.3010061,2,0.3010061,3
17,0.3210258,135,0.3210258,17
18,0.3410455,1226,0.3410455,264
19,0.3610652,5892,0.3610652,1150
20,0.3810849,12216,0.3810849,2528
21,0.4011046,11811,0.4011046,2499
22,0.4211243,5273,0.4211243,1145
23,0.441144,1169,0.441144,237
24,0.4611637,129,0.4611637,36
25,0.4811834,14,0.4811834,3
26,0.5012031,7,0.5012031,0
27,0.5212228,1,0.5212228,0
28,0.5412425,4,0.5412425,0
29,0.5612622,4,0.5612622,0
30,0.5812819,1,0.5812819,0
31,0.6013016,0,0.6013016,0
32,0.6213213,0,0.6213213,0
33,0.641341,3,0.641341,0
34,0.6613607,2,0.6613607,0
35,0.6813804,716,0.6813804,18
36,0.7014001,732,0.7014001,13
37,0.7214198,710,0.7214198,15
38,0.7414395,705,0.7414395,9
39,0.7614592,698,0.7614592,12
40,0.7814789,711,0.7814789,22
41,0.8014986,658,0.8014986,19
42,0.8215183,667,0.8215183,14
43,0.841538,689,0.841538,21
44,0.8615577,667,0.8615577,21
45,0.8815774,706,0.8815774,30
46,0.9015971,678,0.9015971,46
47,0.9216168,590,0.9216168,66
48,0.9416365,679,0.9416365,65
49,0.9616562,656,0.9616562,51
50,0.9816759,662,0.9816759,52
51,1.001696,627,1.001696,36
52,1.021715,619,1.021715,28
53,1.041735,640,1.041735,21
54,1.061755,622,1.061755,40
55,1.081774,658,1.081774,40
56,1.101794,585,1.101794,52
57,1.121814,609,1.121814,29
58,1.141834,626,1.141834,23
59,1.161853,617,1.161853,28
60,1.181873,620,1.181873,32
61,1.201893,574,1.201893,43
62,1.221912,562,1.221912,37
63,1.241932,615,1.241932,57
64,1.261952,570,1.261952,49
65,1.281971,591,1.281971,29
66,1.301991,574,1.301991,24
67,1.322011,585,1.322011,19
68,1.342031,605,1.342031,19
69,1.36205,550,1.36205,22
70,1.38207,538,1.38207,30
71,1.40209,563,1.40209,25
72,1.422109,554,1.422109,30
73,1.442129,512,1.442129,41
74,1.462149,520,1.462149,60
75,1.482168,546,1.482168,64
76,1.502188,548,1.502188,80
77,1.522208,546,1.522208,83
78,1.542228,558,1.542228,82
79,1.562247,538,1.562247,118
80,1.582267,499,1.582267,108
81,1.602287,523,1.602287,72
82,1.622306,512,1.622306,60
83,1.642326,500,1.642326,37
84,1.662346,503,1.662346,58
85,1.682365,475,1.682365,167
86,1.702385,479,1.702385,310
87,1.722405,463,1.722405,442
88,1.742425,484,1.742425,426
89,1.762444,497,1.762444,359
90,1.782464,501,1.782464,225
91,1.802484,483,1.802484,130
92,1.822503,503,1.822503,96
93,1.842523,500,1.842523,94
94,1.862543,507,1.862543,96
95,1.882563,509,1.882563,135
96,1.902582,512,1.902582,199
97,1.922602,575,1.922602,286
98,1.942622,539,1.942622,320
99,1.962641,556,1.962641,330
100,1.982661,562,1.982661,286
101,2.002681,510,2.002681,265
102,2.0227,455,2.0227,234
103,2.04272,490,2.04272,132
104,2.06274,452,2.06274,116
105,2.082759,463,2.082759,87
106,2.102779,439,2.102779,55
107,2.122799,436,2.122799,43
108,2.142819,438,2.142819,56
109,2.162838,464,2.162838,54
110,2.182858,429,2.182858,93
111,2.202878,427,2.202878,121
112,2.222897,439,2.222897,216
113,2.242917,468,2.242917,404
114,2.262937,483,2.262937,643
115,2.282957,453,2.282957,1015
116,2.302976,471,2.302976,1166
117,2.322996,479,2.322996,1128
118,2.343016,403,2.343016,766
119,2.363035,481,2.363035,540
120,2.383055,414,2.383055,299
121,2.403075,408,2.403075,223
122,2.423094,409,2.423094,181
123,2.443114,391,2.443114,191
124,2.463134,454,2.463134,204
125,2.483154,389,2.483154,161
126,2.503173,392,2.503173,189
127,2.523193,393,2.523193,205
128,2.543213,428,2.543213,238
129,2.563232,451,2.563232,338
130,2.583252,449,2.583252,465
131,2.603272,463,2.603272,819
132,2.623291,462,2.623291,1132
133,2.643311,471,2.643311,1916
134,2.663331,445,2.663331,2656
135,2.683351,458,2.683351,3204
136,2.70337,385,2.70337,3191
137,2.72339,363,2.72339,2693
138,2.74341,377,2.74341,2005
139,2.763429,377,2.763429,1464
140,2.783449,379,2.783449,1370
141,2.803469,360,2.803469,1614
142,2.823488,389,2.823488,1794
143,2.843508,397,2.843508,1872
144,2.863528,380,2.863528,1695
145,2.883548,399,2.883548,1470
146,2.903567,406,2.903567,1487
147,2.923587,458,2.923587,1554
148,2.943607,514,2.943607,1682
149,2.963626,490,2.963626,1619
150,2.983646,457,2.983646,1448
151,3.003666,436,3.003666,1058
152,3.023685,395,3.023685,837
153,3.043705,353,3.043705,508
154,3.063725,355,3.063725,381
155,3.083745,341,3.083745,319
156,3.103764,365,3.103764,272
157,3.123784,333,3.123784,315
158,3.143804,350,3.143804,364
159,3.163823,360,3.163823,436
160,3.183843,449,3.183843,456
161,3.203863,457,3.203863,600
162,3.223882,568,3.223882,1059
163,3.243902,949,3.243902,2049
164,3.263922,1412,3.263922,3381
165,3.283942,1805,3.283942,5102
166,3.303961,2079,3.303961,6217
167,3.323981,1971,3.323981,6144
168,3.344001,1659,3.344001,5288
169,3.36402,1282,3.36402,3733
170,3.38404,837,3.38404,2241
171,3.40406,579,3.40406,1168
