Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA3067-00046-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 2:12:05 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,43.64001
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 27
UserCustomField,ID, 27
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.196533,0.196533,0.1863232,0,0,False,False
13,Al,PercentWeight,0.05092564,0.05092564,0.02449444,0,0,False,False
14,Si,PercentWeight,0.04110123,0.04110123,0.009698441,0,0,False,False
15,P,PercentWeight,0.0746673,0.02216731,0.004211565,0,0,False,False
16,S,PercentWeight,0.1926293,0.1511293,0.00346182,0,0,False,False
17,Cl,PercentWeight,0.003324661,0.003324661,0.01240534,0,0,False,False
19,K,PercentWeight,0.6181094,0.5306094,0.003582868,0,0,False,False
20,Ca,PercentWeight,0.6207614,0.6207614,0.002801333,0,0,False,False
22,Ti,PercentWeight,0.0009719813,0.0009719813,0.0002424531,0,0,False,False
23,V,PercentWeight,7.089219E-05,7.089219E-05,3.529695E-05,0,0,False,False
24,Cr,PercentWeight,0.002851801,0.002851801,0.000225983,0,0,False,False
25,Mn,PercentWeight,0.4616463,0.4616463,0.001639622,0,0,False,False
26,Fe,PercentWeight,0.01539267,0.01539267,0.0007498082,0,0,False,False
28,Ni,PercentWeight,0,0,8.792682E-05,0,0,False,False
29,Cu,PercentWeight,0.0005936435,0.0005936435,5.568864E-05,0,0,False,False
30,Zn,PercentWeight,0.001140445,0.001140445,6.650532E-05,0,0,False,False
33,As,PercentWeight,0,0,7.453617E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.326685E-05,0,0,False,False
35,Br,PercentWeight,0.006687783,0.006687783,0.0001087063,0,0,False,False
37,Rb,PercentWeight,0.001679108,0.001679108,0.000119585,0,0,False,False
38,Sr,PercentWeight,0.004763206,0.004763206,0.0001193418,0,0,False,False
42,Mo,PercentWeight,0,0,7.792124E-05,0,0,False,False
48,Cd,PercentWeight,0.0004861151,0.0004861151,0.0002490306,0,0,False,False
56,Ba,PercentWeight,0.007484826,0.007484826,0.002946376,0,0,False,False
80,Hg,PercentWeight,0,0,1.049412E-05,0,0,False,False
82,Pb,PercentWeight,0.0001424009,0.0001424009,0.0002407692,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2275579,,495242,
ValidCounts,1926380,,440138,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.000810363,,0.000810363,
ZeroOffsetInKeV,-0.000810363,,-0.000810363,
StartingChannel,0.04047827,,0.04047827,
NumberOfChannels,2048,,2048,
CountsPerSecond,55283.48,,54923.14,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 2:12:05 PM,,02/08/2023 2:12:05 PM,
LiveTimeInSeconds,35.741,,7.899,
DeadTimeInSeconds,5.420999,,1.118,
ResetTimeInSeconds,5.701999,,0.338,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.9,,96.9,
NosePressureInMilliBars,787.1804,,787.1804,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,41.16201,,9.017,
PacketTimeInSeconds,46.86401,,9.355,
CommunicationTimeInSeconds,3.13599,,0.6449995,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.000810363,0,0.000810363,0
2,0.02083006,0,0.02083006,0
3,0.04084976,0,0.04084976,0
4,0.06086947,0,0.06086947,0
5,0.08088917,0,0.08088917,0
6,0.1009089,0,0.1009089,0
7,0.1209286,0,0.1209286,0
8,0.1409483,0,0.1409483,0
9,0.160968,0,0.160968,0
10,0.1809877,0,0.1809877,0
11,0.2010074,0,0.2010074,0
12,0.2210271,0,0.2210271,0
13,0.2410468,0,0.2410468,0
14,0.2610665,0,0.2610665,0
15,0.2810862,1,0.2810862,0
16,0.3011059,5,0.3011059,1
17,0.3211256,110,0.3211256,26
18,0.3411453,1146,0.3411453,243
19,0.361165,5373,0.361165,1204
20,0.3811847,11742,0.3811847,2582
21,0.4012044,10960,0.4012044,2447
22,0.4212241,4864,0.4212241,1108
23,0.4412438,1044,0.4412438,212
24,0.4612635,111,0.4612635,19
25,0.4812832,8,0.4812832,1
26,0.5013029,3,0.5013029,0
27,0.5213226,7,0.5213226,0
28,0.5413423,1,0.5413423,0
29,0.561362,1,0.561362,0
30,0.5813817,3,0.5813817,0
31,0.6014014,4,0.6014014,0
32,0.6214211,3,0.6214211,0
33,0.6414408,3,0.6414408,0
34,0.6614605,2,0.6614605,0
35,0.6814802,830,0.6814802,17
36,0.7014999,826,0.7014999,16
37,0.7215196,849,0.7215196,20
38,0.7415393,779,0.7415393,15
39,0.761559,776,0.761559,19
40,0.7815787,823,0.7815787,20
41,0.8015984,813,0.8015984,11
42,0.8216181,778,0.8216181,13
43,0.8416378,790,0.8416378,17
44,0.8616575,823,0.8616575,14
45,0.8816772,759,0.8816772,29
46,0.9016969,797,0.9016969,36
47,0.9217166,807,0.9217166,64
48,0.9417363,791,0.9417363,71
49,0.961756,773,0.961756,61
50,0.9817757,780,0.9817757,47
51,1.001795,747,1.001795,39
52,1.021815,751,1.021815,27
53,1.041835,764,1.041835,28
54,1.061854,746,1.061854,44
55,1.081874,711,1.081874,40
56,1.101894,723,1.101894,38
57,1.121914,734,1.121914,35
58,1.141933,714,1.141933,25
59,1.161953,768,1.161953,30
60,1.181973,700,1.181973,32
61,1.201992,746,1.201992,40
62,1.222012,663,1.222012,36
63,1.242032,665,1.242032,36
64,1.262052,678,1.262052,34
65,1.282071,696,1.282071,16
66,1.302091,709,1.302091,14
67,1.322111,669,1.322111,11
68,1.34213,691,1.34213,21
69,1.36215,682,1.36215,15
70,1.38217,681,1.38217,13
71,1.402189,630,1.402189,26
72,1.422209,594,1.422209,37
73,1.442229,619,1.442229,43
74,1.462249,663,1.462249,49
75,1.482268,662,1.482268,48
76,1.502288,631,1.502288,67
77,1.522308,634,1.522308,78
78,1.542327,610,1.542327,83
79,1.562347,609,1.562347,110
80,1.582367,592,1.582367,104
81,1.602386,614,1.602386,62
82,1.622406,581,1.622406,35
83,1.642426,562,1.642426,29
84,1.662446,581,1.662446,31
85,1.682465,563,1.682465,42
86,1.702485,561,1.702485,54
87,1.722505,552,1.722505,90
88,1.742524,548,1.742524,93
89,1.762544,537,1.762544,70
90,1.782564,567,1.782564,45
91,1.802583,537,1.802583,41
92,1.822603,567,1.822603,42
93,1.842623,560,1.842623,44
94,1.862643,599,1.862643,67
95,1.882662,611,1.882662,54
96,1.902682,593,1.902682,92
97,1.922702,550,1.922702,108
98,1.942721,568,1.942721,163
99,1.962741,592,1.962741,208
100,1.982761,548,1.982761,248
101,2.00278,592,2.00278,253
102,2.0228,546,2.0228,216
103,2.04282,520,2.04282,172
104,2.06284,587,2.06284,116
105,2.082859,528,2.082859,79
106,2.102879,507,2.102879,61
107,2.122899,525,2.122899,56
108,2.142918,512,2.142918,52
109,2.162938,483,2.162938,63
110,2.182958,478,2.182958,83
111,2.202977,506,2.202977,108
112,2.222997,504,2.222997,196
113,2.243017,527,2.243017,356
114,2.263036,503,2.263036,669
115,2.283056,527,2.283056,1009
116,2.303076,529,2.303076,1193
117,2.323096,511,2.323096,1145
118,2.343115,530,2.343115,755
119,2.363135,469,2.363135,480
120,2.383155,515,2.383155,324
121,2.403174,479,2.403174,234
122,2.423194,465,2.423194,191
123,2.443214,461,2.443214,237
124,2.463233,486,2.463233,195
125,2.483253,472,2.483253,203
126,2.503273,519,2.503273,178
127,2.523293,476,2.523293,191
128,2.543312,506,2.543312,173
129,2.563332,455,2.563332,214
130,2.583352,509,2.583352,347
131,2.603371,515,2.603371,562
132,2.623391,471,2.623391,992
133,2.643411,506,2.643411,1603
134,2.663431,487,2.663431,2526
135,2.68345,494,2.68345,3209
136,2.70347,433,2.70347,3302
137,2.72349,410,2.72349,2755
138,2.743509,440,2.743509,2155
139,2.763529,444,2.763529,1513
140,2.783549,421,2.783549,1371
141,2.803569,436,2.803569,1536
142,2.823588,427,2.823588,1825
143,2.843608,387,2.843608,1932
144,2.863628,438,2.863628,1720
145,2.883647,422,2.883647,1472
146,2.903667,483,2.903667,1475
147,2.923687,511,2.923687,1521
148,2.943707,503,2.943707,1561
149,2.963726,520,2.963726,1572
150,2.983746,495,2.983746,1392
151,3.003766,447,3.003766,1065
152,3.023785,440,3.023785,759
153,3.043805,386,3.043805,496
154,3.063825,397,3.063825,401
155,3.083844,356,3.083844,315
156,3.103864,404,3.103864,317
157,3.123884,411,3.123884,319
158,3.143903,370,3.143903,402
159,3.163923,385,3.163923,421
160,3.183943,416,3.183943,466
161,3.203963,556,3.203963,621
162,3.223982,684,3.223982,997
163,3.244002,965,3.244002,1895
164,3.264022,1275,3.264022,3277
165,3.284041,1667,3.284041,4870
166,3.304061,1954,3.304061,5967
167,3.324081,1920,3.324081,6124
168,3.3441,1547,3.3441,5111
169,3.36412,1211,3.36412,3432
170,3.38414,833,3.38414,2029
171,3.40416,615,3.40416,1107
