Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK002PA3315-00047-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 2:15:52 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,43.314
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 28
UserCustomField,ID, 28
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.08327305,0.08327305,0.1837039,0,0,False,False
13,Al,PercentWeight,0,0,0.02160276,0,0,False,False
14,Si,PercentWeight,0.0254315,0.0254315,0.009335896,0,0,False,False
15,P,PercentWeight,0.09029288,0.03779288,0.004368277,0,0,False,False
16,S,PercentWeight,0.1280339,0.08653386,0.003027672,0,0,False,False
17,Cl,PercentWeight,0.0049215,0.0049215,0.01238558,0,0,False,False
19,K,PercentWeight,0.5941792,0.5066792,0.003460329,0,0,False,False
20,Ca,PercentWeight,0.4646597,0.4646597,0.002458178,0,0,False,False
22,Ti,PercentWeight,0.001152704,0.001152704,0.0002372212,0,0,False,False
23,V,PercentWeight,0,0,3.555509E-05,0,0,False,False
24,Cr,PercentWeight,0.002730645,0.002730645,0.000233218,0,0,False,False
25,Mn,PercentWeight,0.09125447,0.09125447,0.0007102458,0,0,False,False
26,Fe,PercentWeight,0.01108585,0.01108585,0.0004902278,0,0,False,False
28,Ni,PercentWeight,0,0,9.169243E-05,0,0,False,False
29,Cu,PercentWeight,0.0005842756,0.0005842756,5.089833E-05,0,0,False,False
30,Zn,PercentWeight,0.0008369534,0.0008369534,5.88076E-05,0,0,False,False
33,As,PercentWeight,0,0,7.190976E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.862589E-05,0,0,False,False
35,Br,PercentWeight,0.0122938,0.0122938,0.000119878,0,0,False,False
37,Rb,PercentWeight,0.002922498,0.002922498,0.0001184983,0,0,False,False
38,Sr,PercentWeight,0.003404506,0.003404506,0.0001103267,0,0,False,False
42,Mo,PercentWeight,7.463407E-05,7.463407E-05,8.167644E-05,0,0,False,False
48,Cd,PercentWeight,0.0004175747,0.0004175747,0.0002600253,0,0,False,False
56,Ba,PercentWeight,0.001046321,0.001046321,0.002688742,0,0,False,False
80,Hg,PercentWeight,0,0,1.120093E-05,0,0,False,False
82,Pb,PercentWeight,0.0002511407,0.0002511407,0.0002312208,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2331815,,435160,
ValidCounts,1961403,,392442,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.000856202,,0.000856202,
ZeroOffsetInKeV,-0.000856202,,-0.000856202,
StartingChannel,0.04276797,,0.04276797,
NumberOfChannels,2048,,2048,
CountsPerSecond,57128.51,,48105.24,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 2:15:52 PM,,02/08/2023 2:15:52 PM,
LiveTimeInSeconds,35.257,,8.057001,
DeadTimeInSeconds,5.560002,,0.989,
ResetTimeInSeconds,6.032999,,0.31,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.1,,98.1,
NosePressureInMilliBars,787.0511,,787.0511,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,40.81701,,9.046,
PacketTimeInSeconds,46.85001,,9.356001,
CommunicationTimeInSeconds,3.14999,,0.6439991,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.000856202,0,0.000856202,0
2,0.0208759,0,0.0208759,0
3,0.0408956,0,0.0408956,0
4,0.06091531,0,0.06091531,0
5,0.08093501,0,0.08093501,0
6,0.1009547,0,0.1009547,0
7,0.1209744,0,0.1209744,0
8,0.1409941,0,0.1409941,0
9,0.1610138,0,0.1610138,0
10,0.1810335,0,0.1810335,0
11,0.2010532,0,0.2010532,0
12,0.2210729,0,0.2210729,0
13,0.2410926,0,0.2410926,0
14,0.2611123,0,0.2611123,0
15,0.281132,0,0.281132,0
16,0.3011517,9,0.3011517,1
17,0.3211714,129,0.3211714,23
18,0.3411911,1163,0.3411911,254
19,0.3612108,5405,0.3612108,1162
20,0.3812305,11477,0.3812305,2600
21,0.4012502,10794,0.4012502,2450
22,0.4212699,4833,0.4212699,1179
23,0.4412896,1061,0.4412896,235
24,0.4613093,104,0.4613093,25
25,0.481329,16,0.481329,2
26,0.5013487,6,0.5013487,0
27,0.5213684,7,0.5213684,0
28,0.5413882,2,0.5413882,0
29,0.5614078,5,0.5614078,0
30,0.5814275,3,0.5814275,0
31,0.6014472,1,0.6014472,0
32,0.6214669,1,0.6214669,0
33,0.6414866,2,0.6414866,0
34,0.6615064,2,0.6615064,0
35,0.6815261,867,0.6815261,12
36,0.7015457,882,0.7015457,21
37,0.7215654,867,0.7215654,13
38,0.7415851,913,0.7415851,12
39,0.7616048,855,0.7616048,15
40,0.7816246,879,0.7816246,9
41,0.8016443,887,0.8016443,10
42,0.8216639,758,0.8216639,16
43,0.8416836,902,0.8416836,17
44,0.8617033,779,0.8617033,27
45,0.881723,818,0.881723,25
46,0.9017428,845,0.9017428,45
47,0.9217625,764,0.9217625,66
48,0.9417822,819,0.9417822,64
49,0.9618018,820,0.9618018,67
50,0.9818215,792,0.9818215,49
51,1.001841,787,1.001841,34
52,1.021861,786,1.021861,27
53,1.041881,769,1.041881,23
54,1.0619,781,1.0619,41
55,1.08192,802,1.08192,40
56,1.10194,755,1.10194,56
57,1.121959,723,1.121959,36
58,1.141979,726,1.141979,35
59,1.161999,734,1.161999,23
60,1.182019,708,1.182019,35
61,1.202038,743,1.202038,29
62,1.222058,754,1.222058,36
63,1.242078,776,1.242078,35
64,1.262097,691,1.262097,29
65,1.282117,705,1.282117,22
66,1.302137,736,1.302137,17
67,1.322156,675,1.322156,22
68,1.342176,684,1.342176,9
69,1.362196,685,1.362196,27
70,1.382216,665,1.382216,10
71,1.402235,726,1.402235,23
72,1.422255,756,1.422255,14
73,1.442275,685,1.442275,14
74,1.462294,614,1.462294,34
75,1.482314,664,1.482314,58
76,1.502334,670,1.502334,57
77,1.522354,659,1.522354,67
78,1.542373,655,1.542373,78
79,1.562393,638,1.562393,100
80,1.582413,602,1.582413,101
81,1.602432,653,1.602432,63
82,1.622452,592,1.622452,41
83,1.642472,570,1.642472,30
84,1.662491,576,1.662491,20
85,1.682511,554,1.682511,37
86,1.702531,578,1.702531,56
87,1.722551,556,1.722551,68
88,1.74257,556,1.74257,80
89,1.76259,534,1.76259,80
90,1.78261,617,1.78261,40
91,1.802629,567,1.802629,50
92,1.822649,566,1.822649,54
93,1.842669,578,1.842669,36
94,1.862688,571,1.862688,51
95,1.882708,590,1.882708,69
96,1.902728,652,1.902728,88
97,1.922747,578,1.922747,109
98,1.942767,573,1.942767,143
99,1.962787,603,1.962787,206
100,1.982807,605,1.982807,253
101,2.002826,571,2.002826,261
102,2.022846,579,2.022846,285
103,2.042866,562,2.042866,234
104,2.062886,567,2.062886,135
105,2.082905,579,2.082905,82
106,2.102925,517,2.102925,56
107,2.122945,531,2.122945,70
108,2.142964,527,2.142964,60
109,2.162984,497,2.162984,78
110,2.183004,543,2.183004,73
111,2.203023,550,2.203023,91
112,2.223043,518,2.223043,141
113,2.243063,548,2.243063,311
114,2.263083,519,2.263083,510
115,2.283102,550,2.283102,745
116,2.303122,524,2.303122,849
117,2.323142,495,2.323142,820
118,2.343161,488,2.343161,583
119,2.363181,540,2.363181,441
120,2.383201,462,2.383201,310
121,2.40322,516,2.40322,197
122,2.42324,447,2.42324,194
123,2.44326,499,2.44326,184
124,2.463279,474,2.463279,177
125,2.483299,481,2.483299,182
126,2.503319,503,2.503319,194
127,2.523339,477,2.523339,180
128,2.543358,463,2.543358,197
129,2.563378,461,2.563378,235
130,2.583398,500,2.583398,290
131,2.603417,504,2.603417,532
132,2.623437,487,2.623437,974
133,2.643457,505,2.643457,1652
134,2.663476,499,2.663476,2640
135,2.683496,494,2.683496,3303
136,2.703516,452,2.703516,3495
137,2.723536,407,2.723536,2940
138,2.743555,433,2.743555,2136
139,2.763575,443,2.763575,1510
140,2.783595,479,2.783595,1466
141,2.803614,428,2.803614,1545
142,2.823634,415,2.823634,1874
143,2.843654,409,2.843654,1975
144,2.863673,421,2.863673,1789
145,2.883693,486,2.883693,1603
146,2.903713,470,2.903713,1515
147,2.923733,521,2.923733,1500
148,2.943752,533,2.943752,1636
149,2.963772,488,2.963772,1636
150,2.983792,518,2.983792,1382
151,3.003811,475,3.003811,1085
152,3.023831,394,3.023831,795
153,3.043851,399,3.043851,571
154,3.06387,395,3.06387,413
155,3.08389,423,3.08389,334
156,3.10391,416,3.10391,316
157,3.12393,410,3.12393,309
158,3.143949,407,3.143949,381
159,3.163969,430,3.163969,424
160,3.183989,454,3.183989,471
161,3.204008,518,3.204008,635
162,3.224028,679,3.224028,1008
163,3.244048,904,3.244048,1923
164,3.264067,1274,3.264067,3284
165,3.284087,1708,3.284087,4803
166,3.304107,1949,3.304107,5894
167,3.324126,1864,3.324126,5993
168,3.344146,1533,3.344146,5147
169,3.364166,1085,3.364166,3568
170,3.384186,803,3.384186,2083
171,3.404205,608,3.404205,1083
