Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CK025PA0448-00001-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 3:30:28 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.266
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 14
UserCustomField,ID,CT006PA0024 14
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.1000537,0.1000537,0.1933505,0,0,False,False
13,Al,PercentWeight,0.0376672,0.0376672,0.02476292,0,0,False,False
14,Si,PercentWeight,0.09490988,0.09490988,0.01106299,0,0,False,False
15,P,PercentWeight,0.09290582,0.04040582,0.004589139,0,0,False,False
16,S,PercentWeight,0.2436391,0.2021391,0.003803031,0,0,False,False
17,Cl,PercentWeight,0.0006332042,0.0006332042,0.01243408,0,0,False,False
19,K,PercentWeight,0.7130227,0.6255227,0.003871126,0,0,False,False
20,Ca,PercentWeight,0.8216625,0.8216625,0.003163609,0,0,False,False
22,Ti,PercentWeight,0.001786633,0.001786633,0.0002453852,0,0,False,False
23,V,PercentWeight,0,0,3.550995E-05,0,0,False,False
24,Cr,PercentWeight,0.002527481,0.002527481,0.0002285346,0,0,False,False
25,Mn,PercentWeight,0.5081683,0.5081683,0.001805223,0,0,False,False
26,Fe,PercentWeight,0.1065494,0.1065494,0.001068028,0,0,False,False
28,Ni,PercentWeight,0,0,8.690987E-05,0,0,False,False
29,Cu,PercentWeight,0.001226422,0.001226422,6.560538E-05,0,0,False,False
30,Zn,PercentWeight,0.001950401,0.001950401,7.905399E-05,0,0,False,False
33,As,PercentWeight,0,0,8.00637E-05,0,0,False,False
34,Se,PercentWeight,5.534102E-05,5.534102E-05,6.081467E-05,0,0,False,False
35,Br,PercentWeight,0.001402101,0.001402101,9.610376E-05,0,0,False,False
37,Rb,PercentWeight,0.002154467,0.002154467,0.0001237347,0,0,False,False
38,Sr,PercentWeight,0.005418987,0.005418987,0.0001252603,0,0,False,False
42,Mo,PercentWeight,7.777024E-05,7.777024E-05,7.293391E-05,0,0,False,False
48,Cd,PercentWeight,0.0007681311,0.0007681311,0.0002351181,0,0,False,False
56,Ba,PercentWeight,0.007228755,0.007228755,0.003066017,0,0,False,False
80,Hg,PercentWeight,0,0,9.972215E-06,0,0,False,False
82,Pb,PercentWeight,0.0003082223,0.0003082223,0.0002531681,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2145605,,523092,
ValidCounts,1832272,,462539,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0009509524,,0.0009509524,
ZeroOffsetInKeV,-0.0009509524,,-0.0009509524,
StartingChannel,0.04750083,,0.04750083,
NumberOfChannels,2048,,2048,
CountsPerSecond,51635.37,,58037.5,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 3:30:28 PM,,01/08/2023 3:30:28 PM,
LiveTimeInSeconds,36.432,,7.834,
DeadTimeInSeconds,5.121001,,1.179,
ResetTimeInSeconds,5.254,,0.347,
DetectorTempInC,-27,,-27,
AmbientTempInF,94.9,,94.9,
NosePressureInMilliBars,784.1904,,784.1904,
NoseTemperatureInC,31,,31,
ActiveTimeInSeconds,41.55301,,9.013,
PacketTimeInSeconds,46.80701,,9.360001,
CommunicationTimeInSeconds,3.192989,,0.6399994,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0009509524,0,0.0009509524,0
2,0.02097065,0,0.02097065,0
3,0.04099035,0,0.04099035,0
4,0.06101006,0,0.06101006,0
5,0.08102976,0,0.08102976,0
6,0.1010495,0,0.1010495,0
7,0.1210692,0,0.1210692,0
8,0.1410889,0,0.1410889,0
9,0.1611086,0,0.1611086,0
10,0.1811283,0,0.1811283,0
11,0.201148,0,0.201148,0
12,0.2211677,0,0.2211677,0
13,0.2411874,0,0.2411874,0
14,0.2612071,0,0.2612071,0
15,0.2812268,0,0.2812268,0
16,0.3012465,7,0.3012465,3
17,0.3212662,117,0.3212662,35
18,0.3412859,1229,0.3412859,260
19,0.3613056,5552,0.3613056,1174
20,0.3813253,11902,0.3813253,2560
21,0.401345,11051,0.401345,2533
22,0.4213647,5010,0.4213647,996
23,0.4413844,1026,0.4413844,211
24,0.4614041,94,0.4614041,25
25,0.4814238,11,0.4814238,1
26,0.5014435,5,0.5014435,0
27,0.5214632,4,0.5214632,0
28,0.5414829,3,0.5414829,0
29,0.5615026,1,0.5615026,1
30,0.5815223,1,0.5815223,0
31,0.601542,1,0.601542,0
32,0.6215617,2,0.6215617,0
33,0.6415814,3,0.6415814,0
34,0.6616011,2,0.6616011,0
35,0.6816208,821,0.6816208,18
36,0.7016405,806,0.7016405,13
37,0.7216602,806,0.7216602,11
38,0.7416799,802,0.7416799,9
39,0.7616996,761,0.7616996,11
40,0.7817193,792,0.7817193,18
41,0.801739,740,0.801739,15
42,0.8217587,814,0.8217587,15
43,0.8417784,743,0.8417784,14
44,0.8617981,743,0.8617981,23
45,0.8818178,746,0.8818178,23
46,0.9018375,764,0.9018375,39
47,0.9218572,723,0.9218572,61
48,0.9418769,709,0.9418769,73
49,0.9618966,664,0.9618966,77
50,0.9819163,718,0.9819163,48
51,1.001936,732,1.001936,31
52,1.021956,696,1.021956,37
53,1.041975,766,1.041975,21
54,1.061995,694,1.061995,40
55,1.082015,674,1.082015,44
56,1.102034,694,1.102034,38
57,1.122054,726,1.122054,37
58,1.142074,679,1.142074,22
59,1.162094,634,1.162094,34
60,1.182113,644,1.182113,40
61,1.202133,671,1.202133,37
62,1.222153,653,1.222153,30
63,1.242172,658,1.242172,32
64,1.262192,601,1.262192,25
65,1.282212,626,1.282212,22
66,1.302232,648,1.302232,21
67,1.322251,624,1.322251,17
68,1.342271,664,1.342271,17
69,1.362291,600,1.362291,18
70,1.38231,618,1.38231,14
71,1.40233,605,1.40233,21
72,1.42235,578,1.42235,19
73,1.442369,607,1.442369,39
74,1.462389,552,1.462389,55
75,1.482409,623,1.482409,61
76,1.502429,610,1.502429,71
77,1.522448,615,1.522448,68
78,1.542468,636,1.542468,102
79,1.562488,602,1.562488,121
80,1.582507,527,1.582507,101
81,1.602527,546,1.602527,58
82,1.622547,560,1.622547,49
83,1.642566,552,1.642566,26
84,1.662586,533,1.662586,29
85,1.682606,524,1.682606,53
86,1.702626,565,1.702626,77
87,1.722645,544,1.722645,121
88,1.742665,484,1.742665,130
89,1.762685,513,1.762685,103
90,1.782704,532,1.782704,72
91,1.802724,526,1.802724,54
92,1.822744,514,1.822744,49
93,1.842763,541,1.842763,40
94,1.862783,569,1.862783,74
95,1.882803,602,1.882803,65
96,1.902822,596,1.902822,112
97,1.922842,554,1.922842,158
98,1.942862,568,1.942862,209
99,1.962882,512,1.962882,239
100,1.982901,565,1.982901,292
101,2.002921,538,2.002921,294
102,2.022941,546,2.022941,279
103,2.04296,524,2.04296,218
104,2.06298,535,2.06298,119
105,2.083,523,2.083,94
106,2.103019,486,2.103019,72
107,2.123039,482,2.123039,66
108,2.143059,530,2.143059,73
109,2.163079,504,2.163079,68
110,2.183098,507,2.183098,65
111,2.203118,483,2.203118,122
112,2.223138,517,2.223138,215
113,2.243157,479,2.243157,461
114,2.263177,516,2.263177,818
115,2.283197,535,2.283197,1188
116,2.303216,478,2.303216,1436
117,2.323236,471,2.323236,1228
118,2.343256,489,2.343256,996
119,2.363276,447,2.363276,644
120,2.383295,450,2.383295,346
121,2.403315,427,2.403315,235
122,2.423335,462,2.423335,207
123,2.443354,472,2.443354,200
124,2.463374,424,2.463374,211
125,2.483394,449,2.483394,214
126,2.503414,458,2.503414,193
127,2.523433,440,2.523433,201
128,2.543453,498,2.543453,165
129,2.563473,485,2.563473,205
130,2.583492,470,2.583492,307
131,2.603512,504,2.603512,555
132,2.623532,487,2.623532,994
133,2.643552,471,2.643552,1658
134,2.663571,438,2.663571,2552
135,2.683591,463,2.683591,3032
136,2.703611,455,2.703611,3283
137,2.72363,417,2.72363,2779
138,2.74365,400,2.74365,2012
139,2.76367,431,2.76367,1533
140,2.783689,349,2.783689,1393
141,2.803709,429,2.803709,1635
142,2.823729,347,2.823729,1826
143,2.843749,398,2.843749,1888
144,2.863768,418,2.863768,1776
145,2.883788,396,2.883788,1416
146,2.903808,466,2.903808,1382
147,2.923827,480,2.923827,1444
148,2.943847,481,2.943847,1514
149,2.963867,529,2.963867,1589
150,2.983886,473,2.983886,1366
151,3.003906,373,3.003906,1030
152,3.023926,430,3.023926,804
153,3.043946,373,3.043946,535
154,3.063965,358,3.063965,395
155,3.083985,345,3.083985,321
156,3.104005,353,3.104005,304
157,3.124024,342,3.124024,324
158,3.144044,389,3.144044,376
159,3.164064,386,3.164064,403
160,3.184083,415,3.184083,456
161,3.204103,461,3.204103,656
162,3.224123,676,3.224123,1131
163,3.244143,1022,3.244143,2051
164,3.264162,1440,3.264162,3638
165,3.284182,1902,3.284182,5560
166,3.304202,2162,3.304202,6772
167,3.324221,2083,3.324221,6893
168,3.344241,1687,3.344241,5743
169,3.364261,1327,3.364261,4008
