Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CL160PA0005-00019-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 9:48:10 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,48.51599
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,
UserCustomField,ID,
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.5200633,0.5200633,0.1961429,0,0,False,False
13,Al,PercentWeight,0.01869467,0.01869467,0.02548388,0,0,False,False
14,Si,PercentWeight,0.6082798,0.6082798,0.01781772,0,0,False,False
15,P,PercentWeight,0.1679912,0.1154912,0.005367129,0,0,False,False
16,S,PercentWeight,0.2396069,0.1981069,0.003723017,0,0,False,False
17,Cl,PercentWeight,0.0134576,0.0134576,0.01221804,0,0,False,False
19,K,PercentWeight,1.265638,1.178138,0.0050252,0,0,False,False
20,Ca,PercentWeight,0.6813127,0.6813127,0.002886112,0,0,False,False
22,Ti,PercentWeight,0.0008343129,0.0008343129,0.0002155536,0,0,False,False
23,V,PercentWeight,0,0,3.191461E-05,0,0,False,False
24,Cr,PercentWeight,0.002079205,0.002079205,0.0002092109,0,0,False,False
25,Mn,PercentWeight,0.05636782,0.05636782,0.0009059287,0,0,False,False
26,Fe,PercentWeight,0.07597114,0.07597114,0.001039212,0,0,False,False
28,Ni,PercentWeight,0,0,6.906033E-05,0,0,False,False
29,Cu,PercentWeight,0.07935445,0.07935445,0.0004263473,0,0,False,False
30,Zn,PercentWeight,0.002508819,0.002508819,0.00017069,0,0,False,False
33,As,PercentWeight,0,0,0.000120292,0,0,False,False
34,Se,PercentWeight,0,0,4.780764E-05,0,0,False,False
35,Br,PercentWeight,0.0006436905,0.0006436905,0.0001337697,0,0,False,False
37,Rb,PercentWeight,0.001920259,0.001920259,0.0001714634,0,0,False,False
38,Sr,PercentWeight,0.004940059,0.004940059,0.0001710484,0,0,False,False
42,Mo,PercentWeight,0,0,5.127528E-05,0,0,False,False
48,Cd,PercentWeight,0.0004035953,0.0004035953,0.000167556,0,0,False,False
56,Ba,PercentWeight,0.003377027,0.003377027,0.004215619,0,0,False,False
80,Hg,PercentWeight,0,0,8.21053E-06,0,0,False,False
82,Pb,PercentWeight,0.001127828,0.001127828,0.0003620327,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1352666,,424436,
ValidCounts,1209808,,385145,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0006562633,,0.0006562633,
ZeroOffsetInKeV,-0.0006562633,,-0.0006562633,
StartingChannel,0.03278087,,0.03278087,
NumberOfChannels,2048,,2048,
CountsPerSecond,30991.04,,46636.19,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 9:48:10 AM,,02/08/2023 9:48:10 AM,
LiveTimeInSeconds,40.37699,,8.139001,
DeadTimeInSeconds,3.270001,,0.9620001,
ResetTimeInSeconds,3.185999,,0.259,
DetectorTempInC,-27,,-27,
AmbientTempInF,90.2,,90.2,
NosePressureInMilliBars,788.5316,,788.5316,
NoseTemperatureInC,28,,28,
ActiveTimeInSeconds,43.647,,9.101001,
PacketTimeInSeconds,46.83299,,9.360001,
CommunicationTimeInSeconds,3.167007,,0.6399994,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0006562633,0,0.0006562633,0
2,0.02067596,0,0.02067596,0
3,0.04069566,0,0.04069566,0
4,0.06071537,0,0.06071537,0
5,0.08073507,0,0.08073507,0
6,0.1007548,0,0.1007548,0
7,0.1207745,0,0.1207745,0
8,0.1407942,0,0.1407942,0
9,0.1608139,0,0.1608139,0
10,0.1808336,0,0.1808336,0
11,0.2008533,0,0.2008533,0
12,0.220873,0,0.220873,0
13,0.2408927,0,0.2408927,0
14,0.2609124,0,0.2609124,0
15,0.2809321,0,0.2809321,0
16,0.3009518,4,0.3009518,1
17,0.3209715,119,0.3209715,23
18,0.3409912,1178,0.3409912,267
19,0.3610109,6273,0.3610109,1209
20,0.3810306,13094,0.3810306,2622
21,0.4010503,12462,0.4010503,2565
22,0.42107,5621,0.42107,1111
23,0.4410897,1231,0.4410897,241
24,0.4611094,130,0.4611094,22
25,0.4811291,6,0.4811291,3
26,0.5011488,0,0.5011488,0
27,0.5211685,3,0.5211685,1
28,0.5411882,0,0.5411882,0
29,0.5612079,1,0.5612079,0
30,0.5812276,4,0.5812276,0
31,0.6012473,2,0.6012473,0
32,0.621267,2,0.621267,0
33,0.6412867,1,0.6412867,0
34,0.6613064,1,0.6613064,0
35,0.6813261,518,0.6813261,16
36,0.7013458,526,0.7013458,16
37,0.7213655,544,0.7213655,12
38,0.7413852,556,0.7413852,13
39,0.7614049,544,0.7614049,20
40,0.7814246,513,0.7814246,13
41,0.8014443,515,0.8014443,14
42,0.821464,518,0.821464,22
43,0.8414837,526,0.8414837,19
44,0.8615034,506,0.8615034,20
45,0.8815231,541,0.8815231,31
46,0.9015428,520,0.9015428,39
47,0.9215625,490,0.9215625,56
48,0.9415822,500,0.9415822,75
49,0.9616019,463,0.9616019,65
50,0.9816216,497,0.9816216,40
51,1.001641,504,1.001641,33
52,1.021661,508,1.021661,22
53,1.041681,496,1.041681,30
54,1.0617,488,1.0617,39
55,1.08172,489,1.08172,49
56,1.10174,484,1.10174,44
57,1.12176,483,1.12176,39
58,1.141779,467,1.141779,24
59,1.161799,497,1.161799,36
60,1.181819,472,1.181819,37
61,1.201838,491,1.201838,44
62,1.221858,474,1.221858,43
63,1.241878,466,1.241878,51
64,1.261897,438,1.261897,40
65,1.281917,456,1.281917,21
66,1.301937,442,1.301937,13
67,1.321957,443,1.321957,19
68,1.341976,428,1.341976,17
69,1.361996,425,1.361996,20
70,1.382016,448,1.382016,13
71,1.402035,431,1.402035,21
72,1.422055,414,1.422055,32
73,1.442075,459,1.442075,41
74,1.462094,397,1.462094,53
75,1.482114,446,1.482114,70
76,1.502134,417,1.502134,93
77,1.522153,422,1.522153,129
78,1.542173,473,1.542173,196
79,1.562193,442,1.562193,196
80,1.582213,437,1.582213,180
81,1.602232,452,1.602232,122
82,1.622252,433,1.622252,88
83,1.642272,397,1.642272,52
84,1.662291,363,1.662291,77
85,1.682311,374,1.682311,162
86,1.702331,373,1.702331,339
87,1.722351,427,1.722351,445
88,1.74237,372,1.74237,426
89,1.76239,392,1.76239,393
90,1.78241,402,1.78241,241
91,1.802429,384,1.802429,152
92,1.822449,386,1.822449,104
93,1.842469,399,1.842469,81
94,1.862489,402,1.862489,61
95,1.882508,395,1.882508,82
96,1.902528,418,1.902528,123
97,1.922548,447,1.922548,149
98,1.942567,433,1.942567,248
99,1.962587,411,1.962587,352
100,1.982607,432,1.982607,373
101,2.002626,394,2.002626,502
102,2.022646,404,2.022646,508
103,2.042666,394,2.042666,353
104,2.062685,363,2.062685,166
105,2.082705,395,2.082705,153
106,2.102725,362,2.102725,96
107,2.122745,338,2.122745,100
108,2.142764,380,2.142764,60
109,2.162784,373,2.162784,70
110,2.182804,353,2.182804,72
111,2.202823,366,2.202823,118
112,2.222843,377,2.222843,228
113,2.242863,372,2.242863,480
114,2.262882,344,2.262882,849
115,2.282902,413,2.282902,1223
116,2.302922,401,2.302922,1417
117,2.322942,405,2.322942,1334
118,2.342961,371,2.342961,1001
119,2.362981,340,2.362981,674
120,2.383001,317,2.383001,387
121,2.40302,347,2.40302,272
122,2.42304,357,2.42304,244
123,2.44306,346,2.44306,250
124,2.463079,325,2.463079,237
125,2.483099,323,2.483099,238
126,2.503119,324,2.503119,223
127,2.523139,333,2.523139,200
128,2.543158,324,2.543158,181
129,2.563178,315,2.563178,251
130,2.583198,369,2.583198,338
131,2.603217,336,2.603217,626
132,2.623237,386,2.623237,1036
133,2.643257,340,2.643257,1798
134,2.663276,309,2.663276,2532
135,2.683296,327,2.683296,3148
136,2.703316,333,2.703316,3291
137,2.723336,296,2.723336,2820
138,2.743355,302,2.743355,2054
139,2.763375,297,2.763375,1493
140,2.783395,296,2.783395,1446
141,2.803414,306,2.803414,1589
142,2.823434,303,2.823434,1770
143,2.843454,280,2.843454,1871
144,2.863473,311,2.863473,1723
145,2.883493,313,2.883493,1541
146,2.903513,331,2.903513,1350
147,2.923533,394,2.923533,1526
148,2.943552,390,2.943552,1553
149,2.963572,395,2.963572,1632
150,2.983592,397,2.983592,1438
151,3.003611,343,3.003611,1089
152,3.023631,339,3.023631,827
153,3.043651,277,3.043651,514
154,3.063671,257,3.063671,392
155,3.08369,273,3.08369,328
156,3.10371,286,3.10371,310
157,3.12373,276,3.12373,310
158,3.143749,285,3.143749,370
159,3.163769,318,3.163769,420
160,3.183789,355,3.183789,554
161,3.203808,522,3.203808,964
162,3.223828,748,3.223828,1867
163,3.243848,1245,3.243848,3648
164,3.263868,2114,3.263868,6645
165,3.283887,2906,3.283887,9828
166,3.303907,3497,3.303907,12087
167,3.323927,3519,3.323927,12533
168,3.343946,2842,3.343946,10233
169,3.363966,1980,3.363966,7062
170,3.383986,1163,3.383986,4107
171,3.404006,681,3.404006,1956
