Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CM034PA0082-00076-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 12:34:41 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.188
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,57
UserCustomField,ID,57
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.5396811,0.5396811,0.2110725,0,0,False,False
13,Al,PercentWeight,0,0,0.02458802,0,0,False,False
14,Si,PercentWeight,0.06794486,0.06794486,0.01081682,0,0,False,False
15,P,PercentWeight,0.1396955,0.0871955,0.00521091,0,0,False,False
16,S,PercentWeight,0.2441163,0.2026163,0.003773393,0,0,False,False
17,Cl,PercentWeight,0.01999806,0.01999806,0.01229314,0,0,False,False
19,K,PercentWeight,0.8152221,0.7277222,0.004091957,0,0,False,False
20,Ca,PercentWeight,1.296526,1.296526,0.003769916,0,0,False,False
22,Ti,PercentWeight,0.001095168,0.001095168,0.0002256463,0,0,False,False
23,V,PercentWeight,0,0,3.306941E-05,0,0,False,False
24,Cr,PercentWeight,0.002124946,0.002124946,0.0002123455,0,0,False,False
25,Mn,PercentWeight,0.09760578,0.09760578,0.000824328,0,0,False,False
26,Fe,PercentWeight,0.01869577,0.01869577,0.0005600675,0,0,False,False
28,Ni,PercentWeight,0,0,8.777277E-05,0,0,False,False
29,Cu,PercentWeight,0.006104313,0.006104313,0.000100532,0,0,False,False
30,Zn,PercentWeight,0.002029604,0.002029604,8.063223E-05,0,0,False,False
33,As,PercentWeight,0,0,7.487315E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.11826E-05,0,0,False,False
35,Br,PercentWeight,0.0001679312,0.0001679312,8.772558E-05,0,0,False,False
37,Rb,PercentWeight,0.00183217,0.00183217,0.0001192351,0,0,False,False
38,Sr,PercentWeight,0.01100743,0.01100743,0.0001336254,0,0,False,False
42,Mo,PercentWeight,0,0,7.561338E-05,0,0,False,False
48,Cd,PercentWeight,0.0006808622,0.0006808622,0.0002423667,0,0,False,False
56,Ba,PercentWeight,0.01154507,0.01154507,0.002981157,0,0,False,False
80,Hg,PercentWeight,0,0,9.831731E-06,0,0,False,False
82,Pb,PercentWeight,5.165413E-05,5.165413E-05,0.0002426645,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2161870,,478634,
ValidCounts,1838252,,427957,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007231582,,0.0007231582,
ZeroOffsetInKeV,-0.0007231582,,-0.0007231582,
StartingChannel,0.03612233,,0.03612233,
NumberOfChannels,2048,,2048,
CountsPerSecond,52267.06,,52759.48,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 12:34:41 PM,,03/08/2023 12:34:41 PM,
LiveTimeInSeconds,36.195,,7.993001,
DeadTimeInSeconds,5.167002,,1.079,
ResetTimeInSeconds,5.511001,,0.306,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.1,,98.1,
NosePressureInMilliBars,788.5879,,788.5879,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,41.362,,9.072001,
PacketTimeInSeconds,46.873,,9.378,
CommunicationTimeInSeconds,3.127003,,0.6219997,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007231582,0,0.0007231582,0
2,0.02074286,0,0.02074286,0
3,0.04076256,0,0.04076256,0
4,0.06078226,0,0.06078226,0
5,0.08080196,0,0.08080196,0
6,0.1008217,0,0.1008217,0
7,0.1208414,0,0.1208414,0
8,0.1408611,0,0.1408611,0
9,0.1608808,0,0.1608808,0
10,0.1809005,0,0.1809005,0
11,0.2009202,0,0.2009202,0
12,0.2209399,0,0.2209399,0
13,0.2409596,0,0.2409596,0
14,0.2609793,0,0.2609793,0
15,0.280999,0,0.280999,0
16,0.3010187,5,0.3010187,1
17,0.3210384,135,0.3210384,21
18,0.3410581,1207,0.3410581,239
19,0.3610778,5430,0.3610778,1174
20,0.3810975,11693,0.3810975,2498
21,0.4011172,11307,0.4011172,2578
22,0.4211369,4930,0.4211369,1126
23,0.4411566,1055,0.4411566,239
24,0.4611763,130,0.4611763,25
25,0.481196,13,0.481196,0
26,0.5012157,7,0.5012157,0
27,0.5212354,4,0.5212354,0
28,0.5412551,7,0.5412551,0
29,0.5612748,1,0.5612748,0
30,0.5812945,2,0.5812945,1
31,0.6013142,4,0.6013142,0
32,0.6213339,0,0.6213339,0
33,0.6413536,1,0.6413536,0
34,0.6613733,4,0.6613733,0
35,0.681393,866,0.681393,9
36,0.7014127,847,0.7014127,16
37,0.7214324,875,0.7214324,11
38,0.7414521,820,0.7414521,15
39,0.7614718,834,0.7614718,23
40,0.7814915,826,0.7814915,19
41,0.8015112,814,0.8015112,17
42,0.8215309,833,0.8215309,16
43,0.8415506,768,0.8415506,8
44,0.8615703,803,0.8615703,23
45,0.88159,785,0.88159,29
46,0.9016097,748,0.9016097,35
47,0.9216294,752,0.9216294,58
48,0.9416491,787,0.9416491,74
49,0.9616688,709,0.9616688,62
50,0.9816885,769,0.9816885,48
51,1.001708,695,1.001708,32
52,1.021728,696,1.021728,16
53,1.041748,755,1.041748,30
54,1.061767,740,1.061767,34
55,1.081787,713,1.081787,53
56,1.101807,737,1.101807,46
57,1.121826,686,1.121826,41
58,1.141846,705,1.141846,36
59,1.161866,694,1.161866,34
60,1.181885,678,1.181885,28
61,1.201905,697,1.201905,51
62,1.221925,701,1.221925,47
63,1.241945,696,1.241945,53
64,1.261964,654,1.261964,30
65,1.281984,661,1.281984,30
66,1.302004,681,1.302004,34
67,1.322023,661,1.322023,19
68,1.342043,675,1.342043,16
69,1.362063,677,1.362063,16
70,1.382083,637,1.382083,21
71,1.402102,616,1.402102,27
72,1.422122,631,1.422122,31
73,1.442142,601,1.442142,34
74,1.462161,597,1.462161,39
75,1.482181,575,1.482181,53
76,1.502201,640,1.502201,73
77,1.52222,622,1.52222,80
78,1.54224,622,1.54224,107
79,1.56226,593,1.56226,105
80,1.58228,596,1.58228,133
81,1.602299,560,1.602299,103
82,1.622319,603,1.622319,49
83,1.642339,578,1.642339,35
84,1.662358,563,1.662358,26
85,1.682378,542,1.682378,49
86,1.702398,589,1.702398,77
87,1.722417,585,1.722417,115
88,1.742437,528,1.742437,128
89,1.762457,538,1.762457,82
90,1.782477,511,1.782477,66
91,1.802496,547,1.802496,71
92,1.822516,543,1.822516,58
93,1.842536,583,1.842536,51
94,1.862555,567,1.862555,69
95,1.882575,583,1.882575,105
96,1.902595,552,1.902595,166
97,1.922614,603,1.922614,235
98,1.942634,580,1.942634,268
99,1.962654,597,1.962654,363
100,1.982674,567,1.982674,425
101,2.002693,537,2.002693,407
102,2.022713,589,2.022713,390
103,2.042733,532,2.042733,292
104,2.062752,536,2.062752,185
105,2.082772,519,2.082772,107
106,2.102792,514,2.102792,83
107,2.122812,488,2.122812,64
108,2.142831,534,2.142831,71
109,2.162851,479,2.162851,79
110,2.182871,470,2.182871,83
111,2.20289,503,2.20289,119
112,2.22291,529,2.22291,227
113,2.24293,542,2.24293,458
114,2.262949,564,2.262949,814
115,2.282969,538,2.282969,1171
116,2.302989,569,2.302989,1442
117,2.323009,515,2.323009,1408
118,2.343028,537,2.343028,1017
119,2.363048,518,2.363048,617
120,2.383068,466,2.383068,339
121,2.403087,431,2.403087,256
122,2.423107,413,2.423107,191
123,2.443127,434,2.443127,204
124,2.463146,437,2.463146,235
125,2.483166,494,2.483166,211
126,2.503186,509,2.503186,195
127,2.523206,473,2.523206,197
128,2.543225,470,2.543225,190
129,2.563245,469,2.563245,241
130,2.583265,483,2.583265,337
131,2.603284,503,2.603284,545
132,2.623304,498,2.623304,1018
133,2.643324,431,2.643324,1737
134,2.663343,493,2.663343,2439
135,2.683363,503,2.683363,3052
136,2.703383,429,2.703383,3328
137,2.723403,418,2.723403,2702
138,2.743422,434,2.743422,2016
139,2.763442,383,2.763442,1478
140,2.783462,429,2.783462,1344
141,2.803481,395,2.803481,1587
142,2.823501,449,2.823501,1820
143,2.843521,424,2.843521,1952
144,2.86354,435,2.86354,1792
145,2.88356,401,2.88356,1556
146,2.90358,451,2.90358,1495
147,2.923599,513,2.923599,1527
148,2.943619,537,2.943619,1592
149,2.963639,531,2.963639,1577
150,2.983659,532,2.983659,1417
151,3.003678,442,3.003678,1080
152,3.023698,390,3.023698,724
153,3.043718,362,3.043718,541
154,3.063737,371,3.063737,393
155,3.083757,395,3.083757,324
156,3.103777,374,3.103777,279
157,3.123796,388,3.123796,370
158,3.143816,378,3.143816,390
159,3.163836,422,3.163836,428
160,3.183856,443,3.183856,504
161,3.203875,554,3.203875,740
162,3.223895,728,3.223895,1300
163,3.243915,1058,3.243915,2428
164,3.263934,1610,3.263934,4175
165,3.283954,2024,3.283954,6230
166,3.303974,2365,3.303974,7731
167,3.323993,2326,3.323993,8075
168,3.344013,1870,3.344013,6758
169,3.364033,1467,3.364033,4541
170,3.384053,910,3.384053,2560
171,3.404072,654,3.404072,1337
