Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CM034PA0095-00007-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 4:04:29 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.718
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 20
UserCustomField,ID,CT006PA0024 20
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.3084405,0.3084405,0.1996641,0,0,False,False
13,Al,PercentWeight,0,0,0.02376008,0,0,False,False
14,Si,PercentWeight,0.08775113,0.08775113,0.01106102,0,0,False,False
15,P,PercentWeight,0.1375168,0.08501677,0.005156197,0,0,False,False
16,S,PercentWeight,0.2079986,0.1664986,0.003542622,0,0,False,False
17,Cl,PercentWeight,0.008977681,0.008977681,0.01203926,0,0,False,False
19,K,PercentWeight,0.6523293,0.5648293,0.003654962,0,0,False,False
20,Ca,PercentWeight,1.223621,1.223621,0.003643304,0,0,False,False
22,Ti,PercentWeight,0.001353394,0.001353394,0.0002164878,0,0,False,False
23,V,PercentWeight,0,0,3.193254E-05,0,0,False,False
24,Cr,PercentWeight,0.001918839,0.001918839,0.0002081756,0,0,False,False
25,Mn,PercentWeight,0.1024377,0.1024377,0.0009053508,0,0,False,False
26,Fe,PercentWeight,0.01297493,0.01297493,0.0005857914,0,0,False,False
28,Ni,PercentWeight,0,0,8.10226E-05,0,0,False,False
29,Cu,PercentWeight,0.001118973,0.001118973,6.810542E-05,0,0,False,False
30,Zn,PercentWeight,0.002685478,0.002685478,8.99036E-05,0,0,False,False
33,As,PercentWeight,0,0,8.44686E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.59093E-05,0,0,False,False
35,Br,PercentWeight,0.0003704255,0.0003704255,9.70307E-05,0,0,False,False
37,Rb,PercentWeight,0.001041634,0.001041634,0.0001260058,0,0,False,False
38,Sr,PercentWeight,0.01044946,0.01044946,0.0001426987,0,0,False,False
42,Mo,PercentWeight,6.735584E-05,6.735584E-05,6.744185E-05,0,0,False,False
48,Cd,PercentWeight,0.0003852841,0.0003852841,0.0002181607,0,0,False,False
56,Ba,PercentWeight,0.01472488,0.01472488,0.003312912,0,0,False,False
80,Hg,PercentWeight,0,0,9.229629E-06,0,0,False,False
82,Pb,PercentWeight,0.0002352542,0.0002352542,0.0002651189,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1875529,,435227,
ValidCounts,1624286,,393464,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0006822743,,0.0006822743,
ZeroOffsetInKeV,-0.0006822743,,-0.0006822743,
StartingChannel,0.03408014,,0.03408014,
NumberOfChannels,2048,,2048,
CountsPerSecond,44527.17,,47874.49,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 4:04:29 PM,,01/08/2023 4:04:29 PM,
LiveTimeInSeconds,37.613,,8.105,
DeadTimeInSeconds,4.508,,0.9860001,
ResetTimeInSeconds,4.707001,,0.271,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.9,,96.9,
NosePressureInMilliBars,784.1155,,784.1155,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.121,,9.091,
PacketTimeInSeconds,46.828,,9.362,
CommunicationTimeInSeconds,3.172001,,0.6380005,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0006822743,0,0.0006822743,0
2,0.02070197,0,0.02070197,0
3,0.04072168,0,0.04072168,0
4,0.06074138,0,0.06074138,0
5,0.08076108,0,0.08076108,0
6,0.1007808,0,0.1007808,0
7,0.1208005,0,0.1208005,0
8,0.1408202,0,0.1408202,0
9,0.1608399,0,0.1608399,0
10,0.1808596,0,0.1808596,0
11,0.2008793,0,0.2008793,0
12,0.220899,0,0.220899,0
13,0.2409187,0,0.2409187,0
14,0.2609384,0,0.2609384,0
15,0.2809581,0,0.2809581,0
16,0.3009778,3,0.3009778,1
17,0.3209975,117,0.3209975,30
18,0.3410172,1237,0.3410172,257
19,0.3610369,5654,0.3610369,1197
20,0.3810566,12210,0.3810566,2595
21,0.4010763,11777,0.4010763,2559
22,0.421096,5138,0.421096,1175
23,0.4411157,1125,0.4411157,227
24,0.4611354,136,0.4611354,29
25,0.4811551,11,0.4811551,2
26,0.5011748,8,0.5011748,0
27,0.5211945,2,0.5211945,0
28,0.5412142,5,0.5412142,0
29,0.5612339,1,0.5612339,0
30,0.5812536,1,0.5812536,0
31,0.6012733,2,0.6012733,0
32,0.621293,1,0.621293,0
33,0.6413127,1,0.6413127,0
34,0.6613324,4,0.6613324,0
35,0.6813521,752,0.6813521,14
36,0.7013718,767,0.7013718,15
37,0.7213915,766,0.7213915,9
38,0.7414112,762,0.7414112,14
39,0.7614309,770,0.7614309,14
40,0.7814506,701,0.7814506,15
41,0.8014703,782,0.8014703,15
42,0.82149,753,0.82149,12
43,0.8415097,737,0.8415097,23
44,0.8615294,707,0.8615294,19
45,0.8815491,675,0.8815491,33
46,0.9015688,718,0.9015688,34
47,0.9215885,689,0.9215885,57
48,0.9416083,701,0.9416083,70
49,0.9616279,668,0.9616279,68
50,0.9816476,676,0.9816476,53
51,1.001667,670,1.001667,29
52,1.021687,710,1.021687,22
53,1.041707,678,1.041707,28
54,1.061726,649,1.061726,40
55,1.081746,699,1.081746,42
56,1.101766,650,1.101766,35
57,1.121786,661,1.121786,42
58,1.141805,634,1.141805,42
59,1.161825,644,1.161825,27
60,1.181845,632,1.181845,23
61,1.201864,623,1.201864,38
62,1.221884,584,1.221884,37
63,1.241904,631,1.241904,46
64,1.261923,641,1.261923,53
65,1.281943,591,1.281943,34
66,1.301963,606,1.301963,17
67,1.321983,617,1.321983,17
68,1.342002,597,1.342002,19
69,1.362022,587,1.362022,23
70,1.382042,586,1.382042,19
71,1.402061,572,1.402061,24
72,1.422081,594,1.422081,25
73,1.442101,613,1.442101,31
74,1.46212,542,1.46212,46
75,1.48214,573,1.48214,48
76,1.50216,607,1.50216,60
77,1.52218,581,1.52218,88
78,1.542199,595,1.542199,89
79,1.562219,566,1.562219,114
80,1.582239,513,1.582239,106
81,1.602258,523,1.602258,64
82,1.622278,566,1.622278,49
83,1.642298,550,1.642298,28
84,1.662318,514,1.662318,27
85,1.682337,527,1.682337,34
86,1.702357,512,1.702357,81
87,1.722377,461,1.722377,125
88,1.742396,526,1.742396,133
89,1.762416,492,1.762416,110
90,1.782436,493,1.782436,93
91,1.802455,519,1.802455,67
92,1.822475,488,1.822475,57
93,1.842495,522,1.842495,54
94,1.862514,518,1.862514,78
95,1.882534,575,1.882534,81
96,1.902554,538,1.902554,143
97,1.922574,516,1.922574,201
98,1.942593,573,1.942593,262
99,1.962613,564,1.962613,350
100,1.982633,545,1.982633,401
101,2.002652,505,2.002652,430
102,2.022672,519,2.022672,416
103,2.042692,490,2.042692,268
104,2.062711,528,2.062711,192
105,2.082731,496,2.082731,110
106,2.102751,494,2.102751,89
107,2.122771,446,2.122771,56
108,2.14279,488,2.14279,86
109,2.16281,468,2.16281,79
110,2.18283,500,2.18283,82
111,2.202849,491,2.202849,120
112,2.222869,438,2.222869,192
113,2.242889,484,2.242889,416
114,2.262908,439,2.262908,668
115,2.282928,484,2.282928,1120
116,2.302948,475,2.302948,1273
117,2.322968,492,2.322968,1208
118,2.342987,475,2.342987,901
119,2.363007,461,2.363007,597
120,2.383027,458,2.383027,312
121,2.403046,426,2.403046,234
122,2.423066,430,2.423066,199
123,2.443086,435,2.443086,216
124,2.463105,451,2.463105,187
125,2.483125,414,2.483125,206
126,2.503145,451,2.503145,202
127,2.523165,432,2.523165,203
128,2.543184,438,2.543184,188
129,2.563204,425,2.563204,218
130,2.583224,462,2.583224,327
131,2.603243,464,2.603243,579
132,2.623263,467,2.623263,990
133,2.643283,460,2.643283,1657
134,2.663302,437,2.663302,2442
135,2.683322,416,2.683322,3130
136,2.703342,416,2.703342,3139
137,2.723361,380,2.723361,2756
138,2.743381,355,2.743381,2051
139,2.763401,396,2.763401,1440
140,2.783421,397,2.783421,1364
141,2.80344,377,2.80344,1517
142,2.82346,388,2.82346,1799
143,2.84348,392,2.84348,1876
144,2.863499,386,2.863499,1745
145,2.883519,385,2.883519,1573
146,2.903539,440,2.903539,1514
147,2.923559,414,2.923559,1488
148,2.943578,475,2.943578,1621
149,2.963598,483,2.963598,1639
150,2.983618,471,2.983618,1533
151,3.003637,439,3.003637,1110
152,3.023657,401,3.023657,816
153,3.043677,359,3.043677,528
154,3.063697,368,3.063697,404
155,3.083716,398,3.083716,321
156,3.103736,371,3.103736,300
157,3.123756,333,3.123756,328
158,3.143775,344,3.143775,365
159,3.163795,366,3.163795,378
160,3.183815,416,3.183815,455
161,3.203835,463,3.203835,670
162,3.223854,686,3.223854,1047
163,3.243874,929,3.243874,1994
164,3.263894,1392,3.263894,3580
165,3.283913,1888,3.283913,5290
166,3.303933,2173,3.303933,6577
167,3.323953,2045,3.323953,6571
168,3.343972,1624,3.343972,5441
169,3.363992,1179,3.363992,3817
170,3.384012,891,3.384012,2090
