Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CM034PA0103-00074-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 12:22:18 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.66
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,55
UserCustomField,ID,55
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.5442694,0.5442694,0.2147723,0,0,False,False
13,Al,PercentWeight,0.006811888,0.006811888,0.02547862,0,0,False,False
14,Si,PercentWeight,0.1757439,0.1757439,0.01256897,0,0,False,False
15,P,PercentWeight,0.1526761,0.1001761,0.00534999,0,0,False,False
16,S,PercentWeight,0.313728,0.272228,0.004136813,0,0,False,False
17,Cl,PercentWeight,0.01952841,0.01952841,0.01234544,0,0,False,False
19,K,PercentWeight,0.7135177,0.6260177,0.003841002,0,0,False,False
20,Ca,PercentWeight,1.562038,1.562038,0.004054094,0,0,False,False
22,Ti,PercentWeight,0.0009083482,0.0009083482,0.0002231038,0,0,False,False
23,V,PercentWeight,7.364488E-05,7.364488E-05,3.258676E-05,0,0,False,False
24,Cr,PercentWeight,0.00218202,0.00218202,0.0002095283,0,0,False,False
25,Mn,PercentWeight,0.0831795,0.0831795,0.0008046604,0,0,False,False
26,Fe,PercentWeight,0.01530165,0.01530165,0.0005454553,0,0,False,False
28,Ni,PercentWeight,0,0,8.477267E-05,0,0,False,False
29,Cu,PercentWeight,0.001445612,0.001445612,6.589985E-05,0,0,False,False
30,Zn,PercentWeight,0.002685087,0.002685087,8.474115E-05,0,0,False,False
33,As,PercentWeight,0,0,7.635921E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.88867E-05,0,0,False,False
35,Br,PercentWeight,0.0002961325,0.0002961325,8.988267E-05,0,0,False,False
37,Rb,PercentWeight,0.0005072093,0.0005072093,0.0001182023,0,0,False,False
38,Sr,PercentWeight,0.01041241,0.01041241,0.000135927,0,0,False,False
42,Mo,PercentWeight,8.083293E-05,8.083293E-05,7.279289E-05,0,0,False,False
48,Cd,PercentWeight,0.0004880248,0.0004880248,0.0002384599,0,0,False,False
56,Ba,PercentWeight,0.006092757,0.006092757,0.003119351,0,0,False,False
80,Hg,PercentWeight,0,0,9.606526E-06,0,0,False,False
82,Pb,PercentWeight,0.0001977406,0.0001977406,0.0002477161,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2074309,,474840,
ValidCounts,1774340,,425182,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007704048,,0.0007704048,
ZeroOffsetInKeV,-0.0007704048,,-0.0007704048,
StartingChannel,0.03848233,,0.03848233,
NumberOfChannels,2048,,2048,
CountsPerSecond,49838.02,,52306.68,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 12:22:18 PM,,03/08/2023 12:22:18 PM,
LiveTimeInSeconds,36.654,,8.006001,
DeadTimeInSeconds,4.966999,,1.072,
ResetTimeInSeconds,5.275999,,0.291,
DetectorTempInC,-27,,-27,
AmbientTempInF,97.4,,97.4,
NosePressureInMilliBars,788.6915,,788.6915,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,41.62101,,9.078,
PacketTimeInSeconds,46.89701,,9.369,
CommunicationTimeInSeconds,3.102989,,0.6309996,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007704048,0,0.0007704048,0
2,0.02079011,0,0.02079011,0
3,0.04080981,0,0.04080981,0
4,0.06082951,0,0.06082951,0
5,0.08084921,0,0.08084921,0
6,0.1008689,0,0.1008689,0
7,0.1208886,0,0.1208886,0
8,0.1409083,0,0.1409083,0
9,0.160928,0,0.160928,0
10,0.1809477,0,0.1809477,0
11,0.2009674,0,0.2009674,0
12,0.2209871,0,0.2209871,0
13,0.2410068,0,0.2410068,0
14,0.2610265,0,0.2610265,0
15,0.2810462,0,0.2810462,0
16,0.3010659,7,0.3010659,2
17,0.3210856,114,0.3210856,23
18,0.3411053,1247,0.3411053,221
19,0.361125,5591,0.361125,1218
20,0.3811447,11720,0.3811447,2479
21,0.4011644,11317,0.4011644,2596
22,0.4211841,5092,0.4211841,1118
23,0.4412038,1047,0.4412038,245
24,0.4612235,119,0.4612235,24
25,0.4812432,13,0.4812432,0
26,0.5012629,3,0.5012629,0
27,0.5212826,4,0.5212826,0
28,0.5413023,2,0.5413023,0
29,0.561322,2,0.561322,0
30,0.5813417,1,0.5813417,0
31,0.6013615,7,0.6013615,1
32,0.6213812,0,0.6213812,0
33,0.6414008,3,0.6414008,0
34,0.6614205,2,0.6614205,0
35,0.6814402,840,0.6814402,30
36,0.7014599,808,0.7014599,15
37,0.7214797,827,0.7214797,23
38,0.7414994,841,0.7414994,20
39,0.761519,835,0.761519,9
40,0.7815387,836,0.7815387,15
41,0.8015584,797,0.8015584,18
42,0.8215781,756,0.8215781,12
43,0.8415979,733,0.8415979,20
44,0.8616176,751,0.8616176,19
45,0.8816373,745,0.8816373,29
46,0.9016569,739,0.9016569,35
47,0.9216766,754,0.9216766,68
48,0.9416963,779,0.9416963,64
49,0.9617161,715,0.9617161,71
50,0.9817358,764,0.9817358,60
51,1.001755,775,1.001755,27
52,1.021775,741,1.021775,23
53,1.041795,741,1.041795,33
54,1.061815,722,1.061815,31
55,1.081834,705,1.081834,41
56,1.101854,709,1.101854,35
57,1.121874,736,1.121874,44
58,1.141893,659,1.141893,33
59,1.161913,695,1.161913,42
60,1.181933,644,1.181933,31
61,1.201952,669,1.201952,52
62,1.221972,680,1.221972,40
63,1.241992,687,1.241992,57
64,1.262012,691,1.262012,49
65,1.282031,687,1.282031,29
66,1.302051,634,1.302051,17
67,1.322071,644,1.322071,24
68,1.34209,683,1.34209,22
69,1.36211,629,1.36211,19
70,1.38213,633,1.38213,23
71,1.402149,627,1.402149,23
72,1.422169,635,1.422169,32
73,1.442189,624,1.442189,51
74,1.462209,639,1.462209,41
75,1.482228,653,1.482228,57
76,1.502248,658,1.502248,65
77,1.522268,631,1.522268,79
78,1.542287,620,1.542287,106
79,1.562307,588,1.562307,116
80,1.582327,610,1.582327,103
81,1.602347,584,1.602347,68
82,1.622366,564,1.622366,48
83,1.642386,559,1.642386,29
84,1.662406,525,1.662406,41
85,1.682425,547,1.682425,79
86,1.702445,527,1.702445,128
87,1.722465,515,1.722465,191
88,1.742484,530,1.742484,170
89,1.762504,510,1.762504,126
90,1.782524,568,1.782524,120
91,1.802544,522,1.802544,72
92,1.822563,539,1.822563,61
93,1.842583,533,1.842583,75
94,1.862603,576,1.862603,90
95,1.882622,553,1.882622,103
96,1.902642,610,1.902642,170
97,1.922662,595,1.922662,224
98,1.942681,616,1.942681,314
99,1.962701,598,1.962701,402
100,1.982721,598,1.982721,460
101,2.002741,517,2.002741,440
102,2.02276,561,2.02276,404
103,2.04278,548,2.04278,316
104,2.0628,512,2.0628,199
105,2.082819,527,2.082819,119
106,2.102839,530,2.102839,78
107,2.122859,494,2.122859,57
108,2.142878,529,2.142878,76
109,2.162898,498,2.162898,75
110,2.182918,524,2.182918,80
111,2.202938,499,2.202938,135
112,2.222957,525,2.222957,267
113,2.242977,465,2.242977,572
114,2.262997,486,2.262997,1048
115,2.283016,517,2.283016,1593
116,2.303036,555,2.303036,1656
117,2.323056,543,2.323056,1684
118,2.343076,552,2.343076,1187
119,2.363095,494,2.363095,768
120,2.383115,461,2.383115,443
121,2.403135,466,2.403135,268
122,2.423154,455,2.423154,208
123,2.443174,464,2.443174,233
124,2.463194,456,2.463194,242
125,2.483213,420,2.483213,227
126,2.503233,456,2.503233,182
127,2.523253,459,2.523253,197
128,2.543272,475,2.543272,208
129,2.563292,475,2.563292,218
130,2.583312,478,2.583312,331
131,2.603332,486,2.603332,572
132,2.623351,502,2.623351,977
133,2.643371,482,2.643371,1734
134,2.663391,492,2.663391,2508
135,2.68341,447,2.68341,3194
136,2.70343,424,2.70343,3320
137,2.72345,426,2.72345,2780
138,2.743469,408,2.743469,2039
139,2.763489,446,2.763489,1498
140,2.783509,425,2.783509,1384
141,2.803529,410,2.803529,1623
142,2.823548,402,2.823548,1885
143,2.843568,424,2.843568,1908
144,2.863588,443,2.863588,1774
145,2.883607,437,2.883607,1527
146,2.903627,502,2.903627,1480
147,2.923647,520,2.923647,1492
148,2.943666,559,2.943666,1667
149,2.963686,535,2.963686,1669
150,2.983706,487,2.983706,1432
151,3.003726,463,3.003726,1112
152,3.023745,400,3.023745,760
153,3.043765,383,3.043765,562
154,3.063785,404,3.063785,395
155,3.083804,391,3.083804,339
156,3.103824,373,3.103824,336
157,3.123844,374,3.123844,327
158,3.143863,407,3.143863,390
159,3.163883,384,3.163883,391
160,3.183903,456,3.183903,486
161,3.203923,510,3.203923,702
162,3.223942,686,3.223942,1197
163,3.243962,989,3.243962,2106
164,3.263982,1493,3.263982,3672
165,3.284001,1893,3.284001,5331
166,3.304021,2130,3.304021,6763
167,3.324041,2063,3.324041,6886
168,3.34406,1764,3.34406,5663
169,3.36408,1269,3.36408,3977
