Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CM171PA0009-00030-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 11:34:51 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.82
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 11
UserCustomField,ID, 11
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.9806598,0.9806598,0.2100691,0,0,False,False
13,Al,PercentWeight,0.03926883,0.03926883,0.02549675,0,0,False,False
14,Si,PercentWeight,1.279957,1.279957,0.02378993,0,0,False,False
15,P,PercentWeight,0.1118739,0.05937387,0.004699847,0,0,False,False
16,S,PercentWeight,0.1432932,0.1017932,0.003146071,0,0,False,False
17,Cl,PercentWeight,0.1054005,0.1054005,0.01350202,0,0,False,False
19,K,PercentWeight,1.42335,1.33585,0.005255591,0,0,False,False
20,Ca,PercentWeight,0.5971211,0.5971211,0.002739141,0,0,False,False
22,Ti,PercentWeight,0.001125535,0.001125535,0.0002159666,0,0,False,False
23,V,PercentWeight,0,0,3.19513E-05,0,0,False,False
24,Cr,PercentWeight,0.0026782,0.0026782,0.0002110504,0,0,False,False
25,Mn,PercentWeight,0.02260419,0.02260419,0.0004943428,0,0,False,False
26,Fe,PercentWeight,0.06773748,0.06773748,0.0007358857,0,0,False,False
28,Ni,PercentWeight,0,0,8.528796E-05,0,0,False,False
29,Cu,PercentWeight,0.02765642,0.02765642,0.0001973554,0,0,False,False
30,Zn,PercentWeight,0.006545436,0.006545436,0.0001264354,0,0,False,False
33,As,PercentWeight,0,0,7.807037E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.899652E-05,0,0,False,False
35,Br,PercentWeight,0.0009954277,0.0009954277,9.341216E-05,0,0,False,False
37,Rb,PercentWeight,0.0008231758,0.0008231758,0.0001179282,0,0,False,False
38,Sr,PercentWeight,0.001374206,0.001374206,0.0001150456,0,0,False,False
42,Mo,PercentWeight,0.0001943156,0.0001943156,7.321833E-05,0,0,False,False
48,Cd,PercentWeight,0.0006943681,0.0006943681,0.0002356878,0,0,False,False
56,Ba,PercentWeight,0.0001811431,0.0001811431,0.003037964,0,0,False,False
80,Hg,PercentWeight,0,0,9.597853E-06,0,0,False,False
82,Pb,PercentWeight,0.0001021909,0.0001021909,0.0002488794,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2044991,,448360,
ValidCounts,1752507,,404021,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0006884206,,0.0006884206,
ZeroOffsetInKeV,-0.0006884206,,-0.0006884206,
StartingChannel,0.03438715,,0.03438715,
NumberOfChannels,2048,,2048,
CountsPerSecond,49091.18,,49378.85,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 11:34:51 AM,,02/08/2023 11:34:51 AM,
LiveTimeInSeconds,36.755,,8.065001,
DeadTimeInSeconds,4.902002,,1.015,
ResetTimeInSeconds,5.181003,,0.285,
DetectorTempInC,-27,,-27,
AmbientTempInF,95.8,,95.8,
NosePressureInMilliBars,788.63,,788.63,
NoseTemperatureInC,32,,32,
ActiveTimeInSeconds,41.657,,9.080001,
PacketTimeInSeconds,46.838,,9.365001,
CommunicationTimeInSeconds,3.161999,,0.6349993,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0006884206,0,0.0006884206,0
2,0.02070812,0,0.02070812,0
3,0.04072782,0,0.04072782,0
4,0.06074752,0,0.06074752,0
5,0.08076722,0,0.08076722,0
6,0.1007869,0,0.1007869,0
7,0.1208066,0,0.1208066,0
8,0.1408263,0,0.1408263,0
9,0.160846,0,0.160846,0
10,0.1808657,0,0.1808657,0
11,0.2008854,0,0.2008854,0
12,0.2209051,0,0.2209051,0
13,0.2409248,0,0.2409248,0
14,0.2609445,0,0.2609445,0
15,0.2809642,2,0.2809642,1
16,0.3009839,4,0.3009839,3
17,0.3210036,114,0.3210036,21
18,0.3410233,1122,0.3410233,243
19,0.361043,5613,0.361043,1235
20,0.3810627,11914,0.3810627,2575
21,0.4010824,11482,0.4010824,2519
22,0.4211021,5089,0.4211021,1136
23,0.4411218,1024,0.4411218,236
24,0.4611416,131,0.4611416,28
25,0.4811612,10,0.4811612,1
26,0.5011809,8,0.5011809,0
27,0.5212007,1,0.5212007,0
28,0.5412204,2,0.5412204,0
29,0.5612401,2,0.5612401,0
30,0.5812597,2,0.5812597,0
31,0.6012794,0,0.6012794,0
32,0.6212991,1,0.6212991,1
33,0.6413189,0,0.6413189,0
34,0.6613386,3,0.6613386,0
35,0.6813583,812,0.6813583,6
36,0.7013779,779,0.7013779,17
37,0.7213976,760,0.7213976,20
38,0.7414173,777,0.7414173,12
39,0.7614371,737,0.7614371,16
40,0.7814568,766,0.7814568,13
41,0.8014765,754,0.8014765,12
42,0.8214962,762,0.8214962,23
43,0.8415158,734,0.8415158,23
44,0.8615355,760,0.8615355,21
45,0.8815553,741,0.8815553,35
46,0.901575,745,0.901575,43
47,0.9215947,746,0.9215947,57
48,0.9416144,720,0.9416144,69
49,0.961634,722,0.961634,66
50,0.9816537,649,0.9816537,49
51,1.001673,729,1.001673,19
52,1.021693,709,1.021693,32
53,1.041713,710,1.041713,17
54,1.061733,718,1.061733,29
55,1.081752,720,1.081752,55
56,1.101772,660,1.101772,32
57,1.121792,663,1.121792,33
58,1.141811,647,1.141811,23
59,1.161831,671,1.161831,35
60,1.181851,680,1.181851,47
61,1.20187,616,1.20187,43
62,1.22189,680,1.22189,54
63,1.24191,690,1.24191,53
64,1.26193,685,1.26193,47
65,1.281949,614,1.281949,34
66,1.301969,656,1.301969,22
67,1.321989,630,1.321989,18
68,1.342008,592,1.342008,13
69,1.362028,630,1.362028,15
70,1.382048,588,1.382048,17
71,1.402068,610,1.402068,23
72,1.422087,621,1.422087,21
73,1.442107,622,1.442107,55
74,1.462127,613,1.462127,53
75,1.482146,577,1.482146,71
76,1.502166,622,1.502166,96
77,1.522186,626,1.522186,120
78,1.542205,646,1.542205,183
79,1.562225,618,1.562225,199
80,1.582245,605,1.582245,169
81,1.602265,596,1.602265,131
82,1.622284,589,1.622284,70
83,1.642304,563,1.642304,61
84,1.662324,531,1.662324,116
85,1.682343,510,1.682343,265
86,1.702363,549,1.702363,565
87,1.722383,552,1.722383,863
88,1.742402,561,1.742402,883
89,1.762422,548,1.762422,762
90,1.782442,559,1.782442,433
91,1.802462,570,1.802462,248
92,1.822481,531,1.822481,142
93,1.842501,576,1.842501,106
94,1.862521,534,1.862521,99
95,1.88254,551,1.88254,86
96,1.90256,567,1.90256,106
97,1.92258,582,1.92258,136
98,1.942599,576,1.942599,194
99,1.962619,560,1.962619,231
100,1.982639,551,1.982639,276
101,2.002659,546,2.002659,336
102,2.022678,585,2.022678,348
103,2.042698,562,2.042698,273
104,2.062718,501,2.062718,161
105,2.082737,540,2.082737,98
106,2.102757,497,2.102757,73
107,2.122777,507,2.122777,71
108,2.142797,489,2.142797,73
109,2.162816,487,2.162816,71
110,2.182836,487,2.182836,72
111,2.202856,463,2.202856,78
112,2.222875,475,2.222875,165
113,2.242895,535,2.242895,322
114,2.262915,450,2.262915,556
115,2.282934,478,2.282934,842
116,2.302954,473,2.302954,971
117,2.322974,517,2.322974,887
118,2.342993,496,2.342993,682
119,2.363013,486,2.363013,470
120,2.383033,492,2.383033,313
121,2.403053,481,2.403053,200
122,2.423072,476,2.423072,164
123,2.443092,415,2.443092,204
124,2.463112,433,2.463112,182
125,2.483131,453,2.483131,215
126,2.503151,457,2.503151,189
127,2.523171,425,2.523171,227
128,2.54319,472,2.54319,266
129,2.56321,454,2.56321,457
130,2.58323,476,2.58323,753
131,2.60325,537,2.60325,1092
132,2.623269,541,2.623269,1574
133,2.643289,532,2.643289,2229
134,2.663309,525,2.663309,2953
135,2.683328,448,2.683328,3385
136,2.703348,420,2.703348,3393
137,2.723368,411,2.723368,2943
138,2.743387,431,2.743387,2100
139,2.763407,425,2.763407,1567
140,2.783427,445,2.783427,1464
141,2.803447,449,2.803447,1686
142,2.823466,424,2.823466,1847
143,2.843486,435,2.843486,1961
144,2.863506,394,2.863506,1801
145,2.883525,380,2.883525,1622
146,2.903545,456,2.903545,1549
147,2.923565,488,2.923565,1497
148,2.943584,502,2.943584,1616
149,2.963604,501,2.963604,1641
150,2.983624,475,2.983624,1421
151,3.003644,425,3.003644,1084
152,3.023663,426,3.023663,765
153,3.043683,393,3.043683,511
154,3.063703,358,3.063703,391
155,3.083722,384,3.083722,327
156,3.103742,392,3.103742,311
157,3.123762,390,3.123762,318
158,3.143781,386,3.143781,374
159,3.163801,417,3.163801,449
160,3.183821,454,3.183821,576
161,3.20384,520,3.20384,914
162,3.22386,829,3.22386,1978
163,3.24388,1416,3.24388,3872
164,3.2639,2135,3.2639,6898
165,3.283919,2987,3.283919,10474
166,3.303939,3451,3.303939,12946
167,3.323959,3536,3.323959,13167
168,3.343978,2929,3.343978,10895
169,3.363998,2109,3.363998,7496
170,3.384018,1282,3.384018,4190
