Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CO105PA0001-00072-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 11:54:06 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.976
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,53
UserCustomField,ID,53
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.09423254,0.09423254,0.1928183,0,0,False,False
13,Al,PercentWeight,0,0,0.02490772,0,0,False,False
14,Si,PercentWeight,0.004045946,0.004045946,0.009612515,0,0,False,False
15,P,PercentWeight,0.17557,0.12307,0.005390697,0,0,False,False
16,S,PercentWeight,0.115028,0.07352802,0.002950718,0,0,False,False
17,Cl,PercentWeight,0.01371487,0.01371487,0.01214673,0,0,False,False
19,K,PercentWeight,1.243168,1.155668,0.00490607,0,0,False,False
20,Ca,PercentWeight,0.2929596,0.2929596,0.002022847,0,0,False,False
22,Ti,PercentWeight,0.0005869778,0.0005869778,0.0002173864,0,0,False,False
23,V,PercentWeight,5.782346E-05,5.782346E-05,3.258641E-05,0,0,False,False
24,Cr,PercentWeight,0.002140925,0.002140925,0.0002089447,0,0,False,False
25,Mn,PercentWeight,0.02717247,0.02717247,0.000466087,0,0,False,False
26,Fe,PercentWeight,0.01452548,0.01452548,0.0005020886,0,0,False,False
28,Ni,PercentWeight,0,0,8.469476E-05,0,0,False,False
29,Cu,PercentWeight,0.000773531,0.000773531,5.867448E-05,0,0,False,False
30,Zn,PercentWeight,0.002375204,0.002375204,8.13467E-05,0,0,False,False
33,As,PercentWeight,0,0,7.836782E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.051009E-05,0,0,False,False
35,Br,PercentWeight,0.0003129213,0.0003129213,9.193405E-05,0,0,False,False
37,Rb,PercentWeight,0.004437488,0.004437488,0.0001300677,0,0,False,False
38,Sr,PercentWeight,0.008277658,0.008277658,0.0001323544,0,0,False,False
42,Mo,PercentWeight,0,0,7.348698E-05,0,0,False,False
48,Cd,PercentWeight,0.0002290127,0.0002290127,0.0002364229,0,0,False,False
56,Ba,PercentWeight,0.005680997,0.005680997,0.003050753,0,0,False,False
80,Hg,PercentWeight,0,0,1.001366E-05,0,0,False,False
82,Pb,PercentWeight,0.0003519645,0.0003519645,0.0002528938,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2038819,,406751,
ValidCounts,1746427,,369820,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.001219065,,0.001219065,
ZeroOffsetInKeV,-0.001219065,,-0.001219065,
StartingChannel,0.06089327,,0.06089327,
NumberOfChannels,2048,,2048,
CountsPerSecond,48901.93,,44693,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 11:54:06 AM,,03/08/2023 11:54:06 AM,
LiveTimeInSeconds,36.8,,8.176,
DeadTimeInSeconds,4.892002,,0.925,
ResetTimeInSeconds,5.211002,,0.27,
DetectorTempInC,-27,,-27,
AmbientTempInF,97.4,,97.4,
NosePressureInMilliBars,789.6152,,789.6152,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,41.692,,9.101,
PacketTimeInSeconds,46.903,,9.371,
CommunicationTimeInSeconds,3.097,,0.6289997,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.001219065,0,0.001219065,0
2,0.02123877,0,0.02123877,0
3,0.04125847,0,0.04125847,0
4,0.06127817,0,0.06127817,0
5,0.08129787,0,0.08129787,0
6,0.1013176,0,0.1013176,0
7,0.1213373,0,0.1213373,0
8,0.141357,0,0.141357,0
9,0.1613767,0,0.1613767,0
10,0.1813964,0,0.1813964,0
11,0.2014161,0,0.2014161,0
12,0.2214358,0,0.2214358,0
13,0.2414555,0,0.2414555,0
14,0.2614752,0,0.2614752,0
15,0.2814949,0,0.2814949,0
16,0.3015146,10,0.3015146,0
17,0.3215343,119,0.3215343,28
18,0.341554,1240,0.341554,250
19,0.3615737,5816,0.3615737,1219
20,0.3815934,11801,0.3815934,2706
21,0.4016131,11298,0.4016131,2565
22,0.4216328,4866,0.4216328,1104
23,0.4416525,1026,0.4416525,255
24,0.4616722,119,0.4616722,14
25,0.4816919,14,0.4816919,3
26,0.5017116,6,0.5017116,0
27,0.5217313,4,0.5217313,0
28,0.541751,5,0.541751,0
29,0.5617707,2,0.5617707,0
30,0.5817904,1,0.5817904,0
31,0.6018101,2,0.6018101,0
32,0.6218298,3,0.6218298,0
33,0.6418495,3,0.6418495,0
34,0.6618692,1,0.6618692,0
35,0.6818889,833,0.6818889,20
36,0.7019086,800,0.7019086,13
37,0.7219283,850,0.7219283,15
38,0.741948,818,0.741948,9
39,0.7619677,797,0.7619677,7
40,0.7819874,809,0.7819874,16
41,0.8020071,746,0.8020071,9
42,0.8220268,738,0.8220268,15
43,0.8420465,798,0.8420465,10
44,0.8620662,773,0.8620662,12
45,0.8820859,793,0.8820859,26
46,0.9021056,738,0.9021056,39
47,0.9221253,700,0.9221253,51
48,0.942145,780,0.942145,54
49,0.9621647,756,0.9621647,74
50,0.9821844,734,0.9821844,52
51,1.002204,725,1.002204,27
52,1.022224,679,1.022224,21
53,1.042243,676,1.042243,20
54,1.062263,710,1.062263,37
55,1.082283,653,1.082283,45
56,1.102303,696,1.102303,31
57,1.122322,682,1.122322,31
58,1.142342,719,1.142342,38
59,1.162362,679,1.162362,33
60,1.182381,662,1.182381,49
61,1.202401,694,1.202401,44
62,1.222421,692,1.222421,35
63,1.242441,647,1.242441,31
64,1.26246,631,1.26246,22
65,1.28248,622,1.28248,22
66,1.3025,612,1.3025,23
67,1.322519,634,1.322519,17
68,1.342539,666,1.342539,22
69,1.362559,682,1.362559,23
70,1.382578,636,1.382578,23
71,1.402598,621,1.402598,16
72,1.422618,594,1.422618,21
73,1.442638,626,1.442638,37
74,1.462657,625,1.462657,49
75,1.482677,619,1.482677,71
76,1.502697,560,1.502697,93
77,1.522716,600,1.522716,111
78,1.542736,614,1.542736,175
79,1.562756,635,1.562756,185
80,1.582775,629,1.582775,173
81,1.602795,621,1.602795,112
82,1.622815,550,1.622815,60
83,1.642835,523,1.642835,54
84,1.662854,542,1.662854,24
85,1.682874,573,1.682874,35
86,1.702894,527,1.702894,52
87,1.722913,537,1.722913,61
88,1.742933,570,1.742933,87
89,1.762953,539,1.762953,78
90,1.782972,545,1.782972,48
91,1.802992,577,1.802992,56
92,1.823012,561,1.823012,58
93,1.843032,546,1.843032,68
94,1.863051,560,1.863051,58
95,1.883071,584,1.883071,54
96,1.903091,568,1.903091,75
97,1.92311,545,1.92311,105
98,1.94313,573,1.94313,182
99,1.96315,577,1.96315,275
100,1.983169,582,1.983169,407
101,2.003189,517,2.003189,514
102,2.023209,519,2.023209,491
103,2.043229,519,2.043229,349
104,2.063248,518,2.063248,236
105,2.083268,501,2.083268,113
106,2.103288,484,2.103288,101
107,2.123307,520,2.123307,99
108,2.143327,486,2.143327,75
109,2.163347,486,2.163347,64
110,2.183367,469,2.183367,76
111,2.203386,497,2.203386,113
112,2.223406,517,2.223406,133
113,2.243426,492,2.243426,306
114,2.263445,532,2.263445,494
115,2.283465,484,2.283465,706
116,2.303485,526,2.303485,835
117,2.323504,501,2.323504,761
118,2.343524,534,2.343524,588
119,2.363544,456,2.363544,408
120,2.383564,443,2.383564,283
121,2.403583,492,2.403583,189
122,2.423603,423,2.423603,161
123,2.443623,475,2.443623,185
124,2.463642,476,2.463642,170
125,2.483662,483,2.483662,199
126,2.503682,447,2.503682,166
127,2.523701,452,2.523701,185
128,2.543721,428,2.543721,188
129,2.563741,469,2.563741,235
130,2.58376,476,2.58376,373
131,2.60378,514,2.60378,608
132,2.6238,469,2.6238,1071
133,2.64382,465,2.64382,1696
134,2.663839,410,2.663839,2545
135,2.683859,413,2.683859,3150
136,2.703879,404,2.703879,3297
137,2.723898,420,2.723898,2824
138,2.743918,404,2.743918,2008
139,2.763938,395,2.763938,1480
140,2.783957,432,2.783957,1432
141,2.803977,390,2.803977,1658
142,2.823997,410,2.823997,1880
143,2.844017,412,2.844017,1883
144,2.864036,433,2.864036,1637
145,2.884056,441,2.884056,1557
146,2.904076,453,2.904076,1488
147,2.924095,525,2.924095,1600
148,2.944115,460,2.944115,1640
149,2.964135,528,2.964135,1713
150,2.984154,471,2.984154,1450
151,3.004174,439,3.004174,1101
152,3.024194,395,3.024194,797
153,3.044214,377,3.044214,563
154,3.064233,391,3.064233,419
155,3.084253,420,3.084253,309
156,3.104273,403,3.104273,286
157,3.124292,402,3.124292,354
158,3.144312,346,3.144312,376
159,3.164332,393,3.164332,435
160,3.184351,442,3.184351,575
161,3.204371,566,3.204371,918
162,3.224391,793,3.224391,1883
163,3.244411,1348,3.244411,3762
164,3.26443,2170,3.26443,6649
165,3.28445,2902,3.28445,10264
166,3.30447,3418,3.30447,12598
167,3.324489,3361,3.324489,12760
168,3.344509,2786,3.344509,10529
169,3.364529,2007,3.364529,7390
170,3.384548,1254,3.384548,4084
171,3.404568,718,3.404568,2067
172,3.424588,548,3.424588,910
