Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CO127PA0003-00042-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 12:49:45 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.80001
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 23
UserCustomField,ID, 23
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.5494261,0.5494261,0.2120723,0,0,False,False
13,Al,PercentWeight,0.09623734,0.09623734,0.02794988,0,0,False,False
14,Si,PercentWeight,0.7462875,0.7462875,0.01936283,0,0,False,False
15,P,PercentWeight,0.2497717,0.1972717,0.006203042,0,0,False,False
16,S,PercentWeight,0.3905321,0.3490321,0.004508827,0,0,False,False
17,Cl,PercentWeight,0.0849864,0.0849864,0.01297684,0,0,False,False
19,K,PercentWeight,1.238276,1.150776,0.004976505,0,0,False,False
20,Ca,PercentWeight,1.04989,1.04989,0.003465822,0,0,False,False
22,Ti,PercentWeight,0.001115803,0.001115803,0.0002116165,0,0,False,False
23,V,PercentWeight,0,0,3.080139E-05,0,0,False,False
24,Cr,PercentWeight,0.002220268,0.002220268,0.0002013254,0,0,False,False
25,Mn,PercentWeight,0.01285122,0.01285122,0.0004325047,0,0,False,False
26,Fe,PercentWeight,0.04844522,0.04844522,0.0006554314,0,0,False,False
28,Ni,PercentWeight,0,0,8.452247E-05,0,0,False,False
29,Cu,PercentWeight,0.001357995,0.001357995,6.589628E-05,0,0,False,False
30,Zn,PercentWeight,0.004019059,0.004019059,9.678115E-05,0,0,False,False
33,As,PercentWeight,0,0,7.692948E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.829639E-05,0,0,False,False
35,Br,PercentWeight,0.0007258495,0.0007258495,9.148289E-05,0,0,False,False
37,Rb,PercentWeight,0.001314097,0.001314097,0.000119374,0,0,False,False
38,Sr,PercentWeight,0.004481931,0.004481931,0.0001222501,0,0,False,False
42,Mo,PercentWeight,0,0,7.295544E-05,0,0,False,False
48,Cd,PercentWeight,0.001024806,0.001024806,0.0002364044,0,0,False,False
56,Ba,PercentWeight,0.002019641,0.002019641,0.003051622,0,0,False,False
80,Hg,PercentWeight,0,0,9.471944E-06,0,0,False,False
82,Pb,PercentWeight,0.0001141086,0.0001141086,0.0002462642,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2040643,,458793,
ValidCounts,1747863,,412223,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0009748786,,0.0009748786,
ZeroOffsetInKeV,-0.0009748786,,-0.0009748786,
StartingChannel,0.04869596,,0.04869596,
NumberOfChannels,2048,,2048,
CountsPerSecond,49003.25,,50472.28,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 12:49:45 PM,,02/08/2023 12:49:45 PM,
LiveTimeInSeconds,36.74701,,8.053001,
DeadTimeInSeconds,4.896002,,1.037,
ResetTimeInSeconds,5.215002,,0.28,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.3,,96.3,
NosePressureInMilliBars,787.3826,,787.3826,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,41.64301,,9.09,
PacketTimeInSeconds,46.85801,,9.37,
CommunicationTimeInSeconds,3.141991,,0.6300001,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0009748786,0,0.0009748786,0
2,0.02099458,0,0.02099458,0
3,0.04101428,0,0.04101428,0
4,0.06103398,0,0.06103398,0
5,0.08105368,0,0.08105368,0
6,0.1010734,0,0.1010734,0
7,0.1210931,0,0.1210931,0
8,0.1411128,0,0.1411128,0
9,0.1611325,0,0.1611325,0
10,0.1811522,0,0.1811522,0
11,0.2011719,0,0.2011719,0
12,0.2211916,0,0.2211916,0
13,0.2412113,0,0.2412113,0
14,0.261231,0,0.261231,0
15,0.2812507,0,0.2812507,0
16,0.3012704,4,0.3012704,2
17,0.3212901,113,0.3212901,25
18,0.3413098,1228,0.3413098,228
19,0.3613295,5668,0.3613295,1175
20,0.3813492,11954,0.3813492,2581
21,0.4013689,11328,0.4013689,2551
22,0.4213886,5026,0.4213886,1078
23,0.4414083,1008,0.4414083,249
24,0.461428,137,0.461428,20
25,0.4814477,10,0.4814477,1
26,0.5014674,5,0.5014674,0
27,0.5214871,3,0.5214871,0
28,0.5415068,4,0.5415068,1
29,0.5615265,8,0.5615265,0
30,0.5815462,4,0.5815462,0
31,0.6015659,3,0.6015659,0
32,0.6215856,5,0.6215856,0
33,0.6416053,1,0.6416053,0
34,0.661625,1,0.661625,0
35,0.6816447,844,0.6816447,12
36,0.7016644,763,0.7016644,15
37,0.7216841,846,0.7216841,15
38,0.7417038,800,0.7417038,25
39,0.7617235,853,0.7617235,17
40,0.7817432,821,0.7817432,18
41,0.8017629,780,0.8017629,18
42,0.8217826,720,0.8217826,24
43,0.8418023,811,0.8418023,21
44,0.861822,757,0.861822,31
45,0.8818417,779,0.8818417,30
46,0.9018614,780,0.9018614,38
47,0.9218811,702,0.9218811,53
48,0.9419008,752,0.9419008,88
49,0.9619205,754,0.9619205,74
50,0.9819402,732,0.9819402,42
51,1.00196,777,1.00196,38
52,1.02198,749,1.02198,22
53,1.041999,711,1.041999,41
54,1.062019,700,1.062019,38
55,1.082039,700,1.082039,38
56,1.102058,686,1.102058,51
57,1.122078,734,1.122078,41
58,1.142098,706,1.142098,26
59,1.162117,660,1.162117,28
60,1.182137,693,1.182137,32
61,1.202157,673,1.202157,46
62,1.222177,682,1.222177,53
63,1.242196,671,1.242196,49
64,1.262216,688,1.262216,40
65,1.282236,694,1.282236,35
66,1.302255,640,1.302255,23
67,1.322275,647,1.322275,26
68,1.342295,651,1.342295,16
69,1.362315,660,1.362315,18
70,1.382334,610,1.382334,21
71,1.402354,603,1.402354,19
72,1.422374,629,1.422374,36
73,1.442393,596,1.442393,61
74,1.462413,561,1.462413,78
75,1.482433,649,1.482433,82
76,1.502452,595,1.502452,95
77,1.522472,621,1.522472,135
78,1.542492,641,1.542492,167
79,1.562512,633,1.562512,179
80,1.582531,629,1.582531,143
81,1.602551,583,1.602551,111
82,1.622571,574,1.622571,70
83,1.64259,550,1.64259,50
84,1.66261,578,1.66261,82
85,1.68263,506,1.68263,175
86,1.702649,575,1.702649,384
87,1.722669,577,1.722669,484
88,1.742689,601,1.742689,561
89,1.762709,554,1.762709,458
90,1.782728,537,1.782728,305
91,1.802748,566,1.802748,148
92,1.822768,548,1.822768,105
93,1.842787,566,1.842787,86
94,1.862807,591,1.862807,107
95,1.882827,550,1.882827,100
96,1.902846,580,1.902846,149
97,1.922866,632,1.922866,195
98,1.942886,665,1.942886,317
99,1.962906,593,1.962906,460
100,1.982925,566,1.982925,590
101,2.002945,565,2.002945,643
102,2.022965,545,2.022965,628
103,2.042984,547,2.042984,496
104,2.063004,526,2.063004,288
105,2.083024,515,2.083024,166
106,2.103044,525,2.103044,103
107,2.123063,514,2.123063,82
108,2.143083,507,2.143083,88
109,2.163103,523,2.163103,101
110,2.183122,490,2.183122,107
111,2.203142,506,2.203142,158
112,2.223162,482,2.223162,313
113,2.243181,587,2.243181,712
114,2.263201,503,2.263201,1298
115,2.283221,573,2.283221,1842
116,2.303241,528,2.303241,2089
117,2.32326,534,2.32326,2071
118,2.34328,570,2.34328,1509
119,2.3633,518,2.3633,909
120,2.383319,519,2.383319,521
121,2.403339,473,2.403339,320
122,2.423359,450,2.423359,254
123,2.443378,467,2.443378,240
124,2.463398,447,2.463398,273
125,2.483418,455,2.483418,253
126,2.503438,442,2.503438,244
127,2.523457,437,2.523457,250
128,2.543477,435,2.543477,296
129,2.563497,461,2.563497,370
130,2.583516,513,2.583516,599
131,2.603536,532,2.603536,929
132,2.623556,543,2.623556,1381
133,2.643575,506,2.643575,1921
134,2.663595,449,2.663595,2697
135,2.683615,460,2.683615,3294
136,2.703635,438,2.703635,3237
137,2.723654,415,2.723654,2801
138,2.743674,390,2.743674,1970
139,2.763694,411,2.763694,1496
140,2.783713,453,2.783713,1395
141,2.803733,418,2.803733,1546
142,2.823753,442,2.823753,1755
143,2.843772,407,2.843772,2000
144,2.863792,476,2.863792,1743
145,2.883812,436,2.883812,1448
146,2.903831,461,2.903831,1355
147,2.923851,488,2.923851,1558
148,2.943871,540,2.943871,1589
149,2.963891,526,2.963891,1635
150,2.98391,510,2.98391,1412
151,3.00393,455,3.00393,1106
152,3.02395,384,3.02395,759
153,3.043969,440,3.043969,533
154,3.063989,395,3.063989,361
155,3.084009,370,3.084009,286
156,3.104028,384,3.104028,323
157,3.124048,402,3.124048,314
158,3.144068,397,3.144068,356
159,3.164088,423,3.164088,466
160,3.184107,445,3.184107,537
161,3.204127,549,3.204127,858
162,3.224147,859,3.224147,1698
163,3.244166,1380,3.244166,3333
164,3.264186,2046,3.264186,5973
165,3.284206,2741,3.284206,9025
166,3.304225,3216,3.304225,11257
167,3.324245,3193,3.324245,11319
168,3.344265,2579,3.344265,9686
169,3.364285,1912,3.364285,6484
170,3.384304,1238,3.384304,3797
171,3.404324,796,3.404324,1725
