Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CP047PA0003-00011-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 4:37:43 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.443
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 24
UserCustomField,ID,CT006PA0024 24
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.4048395,0.4048395,0.1857878,0,0,False,False
13,Al,PercentWeight,0.02638368,0.02638368,0.0219588,0,0,False,False
14,Si,PercentWeight,0.01882442,0.01882442,0.008349254,0,0,False,False
15,P,PercentWeight,0.05132,0,0.003647561,0,0,False,False
16,S,PercentWeight,0.1234794,0.08197945,0.002864128,0,0,False,False
17,Cl,PercentWeight,0.01782313,0.01782313,0.01166516,0,0,False,False
19,K,PercentWeight,0.4319978,0.3444978,0.002996695,0,0,False,False
20,Ca,PercentWeight,0.571991,0.571991,0.002626838,0,0,False,False
22,Ti,PercentWeight,0.0007303536,0.0007303536,0.0002130419,0,0,False,False
23,V,PercentWeight,5.596177E-05,5.596177E-05,3.180446E-05,0,0,False,False
24,Cr,PercentWeight,0.002552658,0.002552658,0.0002033314,0,0,False,False
25,Mn,PercentWeight,0.3447081,0.3447081,0.001635195,0,0,False,False
26,Fe,PercentWeight,0.005467007,0.005467007,0.0007517077,0,0,False,False
28,Ni,PercentWeight,0,0,7.742753E-05,0,0,False,False
29,Cu,PercentWeight,0.001367924,0.001367924,7.370899E-05,0,0,False,False
30,Zn,PercentWeight,0.0009569265,0.0009569265,7.621765E-05,0,0,False,False
33,As,PercentWeight,6.715648E-05,6.715648E-05,8.839013E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.440122E-05,0,0,False,False
35,Br,PercentWeight,0.00243029,0.00243029,0.0001120072,0,0,False,False
37,Rb,PercentWeight,0.0002731377,0.0002731377,0.0001328845,0,0,False,False
38,Sr,PercentWeight,0.004115679,0.004115679,0.0001365412,0,0,False,False
42,Mo,PercentWeight,7.386904E-05,7.386904E-05,6.345234E-05,0,0,False,False
48,Cd,PercentWeight,0.0006630095,0.0006630095,0.000208958,0,0,False,False
56,Ba,PercentWeight,0.00434527,0.00434527,0.003533559,0,0,False,False
80,Hg,PercentWeight,0,0,8.92486E-06,0,0,False,False
82,Pb,PercentWeight,0,0,0.0002817328,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1764808,,387853,
ValidCounts,1539100,,354475,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0006792156,,0.0006792156,
ZeroOffsetInKeV,-0.0006792156,,-0.0006792156,
StartingChannel,0.03392736,,0.03392736,
NumberOfChannels,2048,,2048,
CountsPerSecond,41555.21,,42597.8,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 4:37:43 PM,,01/08/2023 4:37:43 PM,
LiveTimeInSeconds,38.221,,8.222,
DeadTimeInSeconds,4.248001,,0.883,
ResetTimeInSeconds,4.357998,,0.259,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.5,,98.5,
NosePressureInMilliBars,784.3117,,784.3117,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.46899,,9.105,
PacketTimeInSeconds,46.82699,,9.364,
CommunicationTimeInSeconds,3.173012,,0.6359997,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0006792156,0,0.0006792156,0
2,0.02069892,0,0.02069892,0
3,0.04071862,0,0.04071862,0
4,0.06073832,0,0.06073832,0
5,0.08075802,0,0.08075802,0
6,0.1007777,0,0.1007777,0
7,0.1207974,0,0.1207974,0
8,0.1408171,0,0.1408171,0
9,0.1608368,0,0.1608368,0
10,0.1808565,0,0.1808565,0
11,0.2008762,0,0.2008762,0
12,0.2208959,0,0.2208959,0
13,0.2409156,0,0.2409156,0
14,0.2609353,0,0.2609353,0
15,0.280955,0,0.280955,0
16,0.3009747,9,0.3009747,4
17,0.3209944,171,0.3209944,32
18,0.3410141,1335,0.3410141,280
19,0.3610338,5855,0.3610338,1166
20,0.3810535,12112,0.3810535,2550
21,0.4010732,11771,0.4010732,2661
22,0.4210929,5378,0.4210929,1166
23,0.4411126,1168,0.4411126,245
24,0.4611323,139,0.4611323,34
25,0.481152,18,0.481152,0
26,0.5011718,8,0.5011718,0
27,0.5211914,5,0.5211914,0
28,0.5412111,5,0.5412111,0
29,0.5612308,4,0.5612308,0
30,0.5812505,2,0.5812505,0
31,0.6012703,2,0.6012703,0
32,0.62129,4,0.62129,0
33,0.6413096,2,0.6413096,0
34,0.6613293,0,0.6613293,0
35,0.681349,737,0.681349,12
36,0.7013687,721,0.7013687,9
37,0.7213885,699,0.7213885,13
38,0.7414082,707,0.7414082,13
39,0.7614279,687,0.7614279,7
40,0.7814475,698,0.7814475,9
41,0.8014672,667,0.8014672,17
42,0.8214869,704,0.8214869,14
43,0.8415067,729,0.8415067,15
44,0.8615264,691,0.8615264,20
45,0.8815461,617,0.8815461,25
46,0.9015658,618,0.9015658,48
47,0.9215854,624,0.9215854,51
48,0.9416052,650,0.9416052,67
49,0.9616249,655,0.9616249,53
50,0.9816446,671,0.9816446,41
51,1.001664,652,1.001664,25
52,1.021684,637,1.021684,27
53,1.041704,646,1.041704,31
54,1.061723,647,1.061723,36
55,1.081743,644,1.081743,41
56,1.101763,630,1.101763,55
57,1.121782,635,1.121782,21
58,1.141802,621,1.141802,20
59,1.161822,597,1.161822,34
60,1.181842,643,1.181842,32
61,1.201861,590,1.201861,55
62,1.221881,581,1.221881,38
63,1.241901,587,1.241901,39
64,1.26192,542,1.26192,27
65,1.28194,573,1.28194,21
66,1.30196,607,1.30196,24
67,1.32198,541,1.32198,9
68,1.341999,547,1.341999,21
69,1.362019,580,1.362019,15
70,1.382039,519,1.382039,22
71,1.402058,576,1.402058,14
72,1.422078,535,1.422078,25
73,1.442098,560,1.442098,26
74,1.462117,556,1.462117,43
75,1.482137,515,1.482137,53
76,1.502157,496,1.502157,62
77,1.522177,517,1.522177,63
78,1.542196,534,1.542196,62
79,1.562216,554,1.562216,80
80,1.582236,538,1.582236,61
81,1.602255,488,1.602255,56
82,1.622275,498,1.622275,22
83,1.642295,449,1.642295,24
84,1.662314,487,1.662314,21
85,1.682334,497,1.682334,35
86,1.702354,541,1.702354,44
87,1.722373,520,1.722373,70
88,1.742393,505,1.742393,54
89,1.762413,490,1.762413,54
90,1.782433,495,1.782433,46
91,1.802452,486,1.802452,44
92,1.822472,463,1.822472,30
93,1.842492,505,1.842492,45
94,1.862511,483,1.862511,44
95,1.882531,543,1.882531,70
96,1.902551,501,1.902551,85
97,1.92257,523,1.92257,105
98,1.94259,519,1.94259,180
99,1.96261,506,1.96261,185
100,1.98263,501,1.98263,203
101,2.002649,444,2.002649,195
102,2.022669,474,2.022669,178
103,2.042689,452,2.042689,120
104,2.062708,459,2.062708,86
105,2.082728,468,2.082728,73
106,2.102748,476,2.102748,55
107,2.122767,422,2.122767,53
108,2.142787,453,2.142787,53
109,2.162807,475,2.162807,57
110,2.182827,454,2.182827,60
111,2.202846,476,2.202846,95
112,2.222866,440,2.222866,146
113,2.242886,451,2.242886,285
114,2.262905,459,2.262905,531
115,2.282925,453,2.282925,674
116,2.302945,460,2.302945,798
117,2.322964,470,2.322964,769
118,2.342984,440,2.342984,597
119,2.363004,413,2.363004,396
120,2.383024,416,2.383024,254
121,2.403043,458,2.403043,186
122,2.423063,428,2.423063,154
123,2.443083,402,2.443083,175
124,2.463102,407,2.463102,174
125,2.483122,385,2.483122,165
126,2.503142,376,2.503142,170
127,2.523162,418,2.523162,173
128,2.543181,412,2.543181,160
129,2.563201,428,2.563201,232
130,2.583221,414,2.583221,292
131,2.60324,413,2.60324,503
132,2.62326,436,2.62326,1024
133,2.64328,417,2.64328,1610
134,2.6633,438,2.6633,2413
135,2.683319,405,2.683319,3022
136,2.703339,376,2.703339,3134
137,2.723359,388,2.723359,2601
138,2.743378,351,2.743378,2010
139,2.763398,378,2.763398,1489
140,2.783418,364,2.783418,1334
141,2.803437,367,2.803437,1485
142,2.823457,354,2.823457,1729
143,2.843477,343,2.843477,1858
144,2.863497,397,2.863497,1595
145,2.883516,397,2.883516,1486
146,2.903536,459,2.903536,1412
147,2.923556,466,2.923556,1618
148,2.943575,549,2.943575,1648
149,2.963595,453,2.963595,1668
150,2.983615,474,2.983615,1533
151,3.003634,452,3.003634,1172
152,3.023654,391,3.023654,848
153,3.043674,351,3.043674,557
154,3.063694,341,3.063694,379
155,3.083713,323,3.083713,281
156,3.103733,346,3.103733,289
157,3.123753,359,3.123753,286
158,3.143772,337,3.143772,357
159,3.163792,351,3.163792,344
160,3.183812,363,3.183812,397
161,3.203831,466,3.203831,526
162,3.223851,588,3.223851,809
163,3.243871,819,3.243871,1554
164,3.263891,1091,3.263891,2518
165,3.28391,1473,3.28391,3695
166,3.30393,1543,3.30393,4514
167,3.32395,1610,3.32395,4633
168,3.343969,1312,3.343969,3907
169,3.363989,966,3.363989,2660
