Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CP047PA0004-00010-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 4:21:10 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,47.815
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 23
UserCustomField,ID,CT006PA0024 23
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0,0,0.1648402,0,0,False,False
13,Al,PercentWeight,0,0,0.01955004,0,0,False,False
14,Si,PercentWeight,0.02636217,0.02636217,0.008228762,0,0,False,False
15,P,PercentWeight,0.05374541,0.001245409,0.003555479,0,0,False,False
16,S,PercentWeight,0.1006371,0.05913709,0.00262773,0,0,False,False
17,Cl,PercentWeight,0.01435757,0.01435757,0.01117895,0,0,False,False
19,K,PercentWeight,0.3515515,0.2640515,0.002733065,0,0,False,False
20,Ca,PercentWeight,0.5146855,0.5146855,0.002474987,0,0,False,False
22,Ti,PercentWeight,0.0007303489,0.0007303489,0.0001925675,0,0,False,False
23,V,PercentWeight,0,0,2.902312E-05,0,0,False,False
24,Cr,PercentWeight,0.002323226,0.002323226,0.000190146,0,0,False,False
25,Mn,PercentWeight,0.398461,0.398461,0.001943812,0,0,False,False
26,Fe,PercentWeight,0.00940374,0.00940374,0.0009197357,0,0,False,False
28,Ni,PercentWeight,0,0,7.221139E-05,0,0,False,False
29,Cu,PercentWeight,0.001228346,0.001228346,8.524858E-05,0,0,False,False
30,Zn,PercentWeight,0.001063132,0.001063132,9.105685E-05,0,0,False,False
33,As,PercentWeight,0,0,0.0001035124,0,0,False,False
34,Se,PercentWeight,0,0,4.736959E-05,0,0,False,False
35,Br,PercentWeight,0.001197461,0.001197461,0.0001210205,0,0,False,False
37,Rb,PercentWeight,0.0001687609,0.0001687609,0.0001499974,0,0,False,False
38,Sr,PercentWeight,0.004656369,0.004656369,0.0001553232,0,0,False,False
42,Mo,PercentWeight,0,0,5.630172E-05,0,0,False,False
48,Cd,PercentWeight,0.0003934776,0.0003934776,0.0001901628,0,0,False,False
56,Ba,PercentWeight,0.003792193,0.003792193,0.004196273,0,0,False,False
80,Hg,PercentWeight,0,0,7.995901E-06,0,0,False,False
82,Pb,PercentWeight,0.000177905,0.000177905,0.0003205409,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1514936,,339458,
ValidCounts,1339719,,313742,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0005769095,,0.0005769095,
ZeroOffsetInKeV,-0.0005769095,,-0.0005769095,
StartingChannel,0.02881709,,0.02881709,
NumberOfChannels,2048,,2048,
CountsPerSecond,35143.62,,37127.64,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 4:21:10 PM,,01/08/2023 4:21:10 PM,
LiveTimeInSeconds,39.445,,8.370001,
DeadTimeInSeconds,3.661999,,0.7730001,
ResetTimeInSeconds,3.717,,0.22,
DetectorTempInC,-27,,-27,
AmbientTempInF,97.4,,97.4,
NosePressureInMilliBars,785.2337,,785.2337,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,43.107,,9.143,
PacketTimeInSeconds,46.824,,9.363,
CommunicationTimeInSeconds,3.175999,,0.6370001,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0005769095,0,0.0005769095,0
2,0.02059661,0,0.02059661,0
3,0.04061631,0,0.04061631,0
4,0.06063601,0,0.06063601,0
5,0.08065572,0,0.08065572,0
6,0.1006754,0,0.1006754,0
7,0.1206951,0,0.1206951,0
8,0.1407148,0,0.1407148,0
9,0.1607345,0,0.1607345,0
10,0.1807542,0,0.1807542,0
11,0.2007739,0,0.2007739,0
12,0.2207936,0,0.2207936,0
13,0.2408133,0,0.2408133,0
14,0.260833,0,0.260833,0
15,0.2808527,1,0.2808527,0
16,0.3008724,5,0.3008724,3
17,0.3208921,126,0.3208921,26
18,0.3409118,1288,0.3409118,283
19,0.3609315,5939,0.3609315,1272
20,0.3809512,12748,0.3809512,2653
21,0.4009709,12372,0.4009709,2660
22,0.4209906,5519,0.4209906,1183
23,0.4410103,1151,0.4410103,264
24,0.46103,125,0.46103,24
25,0.4810497,7,0.4810497,3
26,0.5010694,5,0.5010694,0
27,0.5210891,2,0.5210891,1
28,0.5411088,1,0.5411088,0
29,0.5611286,0,0.5611286,0
30,0.5811483,1,0.5811483,0
31,0.6011679,2,0.6011679,0
32,0.6211876,4,0.6211876,0
33,0.6412073,0,0.6412073,0
34,0.661227,2,0.661227,0
35,0.6812468,720,0.6812468,15
36,0.7012665,654,0.7012665,9
37,0.7212861,627,0.7212861,16
38,0.7413058,619,0.7413058,14
39,0.7613255,638,0.7613255,15
40,0.7813452,672,0.7813452,14
41,0.801365,660,0.801365,10
42,0.8213847,627,0.8213847,13
43,0.8414044,613,0.8414044,12
44,0.861424,640,0.861424,19
45,0.8814437,606,0.8814437,15
46,0.9014634,572,0.9014634,31
47,0.9214832,603,0.9214832,58
48,0.9415029,604,0.9415029,59
49,0.9615226,601,0.9615226,57
50,0.9815422,563,0.9815422,30
51,1.001562,542,1.001562,27
52,1.021582,552,1.021582,25
53,1.041601,628,1.041601,22
54,1.061621,581,1.061621,33
55,1.081641,537,1.081641,36
56,1.10166,583,1.10166,34
57,1.12168,564,1.12168,34
58,1.1417,549,1.1417,27
59,1.16172,536,1.16172,29
60,1.181739,521,1.181739,25
61,1.201759,564,1.201759,44
62,1.221779,527,1.221779,35
63,1.241798,547,1.241798,25
64,1.261818,505,1.261818,21
65,1.281838,547,1.281838,13
66,1.301857,480,1.301857,14
67,1.321877,527,1.321877,14
68,1.341897,514,1.341897,18
69,1.361917,509,1.361917,9
70,1.381936,504,1.381936,15
71,1.401956,479,1.401956,16
72,1.421976,509,1.421976,17
73,1.441995,497,1.441995,17
74,1.462015,505,1.462015,43
75,1.482035,454,1.482035,47
76,1.502054,459,1.502054,33
77,1.522074,438,1.522074,43
78,1.542094,471,1.542094,57
79,1.562114,468,1.562114,68
80,1.582133,472,1.582133,68
81,1.602153,468,1.602153,39
82,1.622173,460,1.622173,39
83,1.642192,448,1.642192,23
84,1.662212,411,1.662212,17
85,1.682232,486,1.682232,35
86,1.702252,440,1.702252,45
87,1.722271,432,1.722271,53
88,1.742291,463,1.742291,73
89,1.762311,469,1.762311,59
90,1.78233,446,1.78233,53
91,1.80235,464,1.80235,38
92,1.82237,453,1.82237,37
93,1.842389,447,1.842389,29
94,1.862409,440,1.862409,46
95,1.882429,466,1.882429,49
96,1.902449,483,1.902449,71
97,1.922468,454,1.922468,85
98,1.942488,459,1.942488,145
99,1.962508,475,1.962508,180
100,1.982527,490,1.982527,195
101,2.002547,429,2.002547,209
102,2.022567,437,2.022567,167
103,2.042586,438,2.042586,121
104,2.062606,434,2.062606,102
105,2.082626,436,2.082626,54
106,2.102645,424,2.102645,46
107,2.122665,389,2.122665,47
108,2.142685,415,2.142685,49
109,2.162705,443,2.162705,56
110,2.182724,406,2.182724,78
111,2.202744,393,2.202744,80
112,2.222764,403,2.222764,163
113,2.242783,417,2.242783,220
114,2.262803,411,2.262803,391
115,2.282823,390,2.282823,581
116,2.302843,397,2.302843,700
117,2.322862,446,2.322862,667
118,2.342882,388,2.342882,541
119,2.362902,368,2.362902,358
120,2.382921,390,2.382921,267
121,2.402941,403,2.402941,165
122,2.422961,426,2.422961,166
123,2.442981,390,2.442981,171
124,2.463,378,2.463,153
125,2.48302,386,2.48302,159
126,2.50304,354,2.50304,176
127,2.523059,398,2.523059,149
128,2.543079,364,2.543079,180
129,2.563099,365,2.563099,216
130,2.583118,404,2.583118,313
131,2.603138,454,2.603138,470
132,2.623158,446,2.623158,866
133,2.643178,406,2.643178,1569
134,2.663197,394,2.663197,2316
135,2.683217,380,2.683217,2969
136,2.703237,330,2.703237,2977
137,2.723256,353,2.723256,2585
138,2.743276,360,2.743276,1859
139,2.763296,335,2.763296,1352
140,2.783315,349,2.783315,1330
141,2.803335,350,2.803335,1405
142,2.823355,342,2.823355,1633
143,2.843374,340,2.843374,1697
144,2.863394,342,2.863394,1578
145,2.883414,381,2.883414,1385
146,2.903434,420,2.903434,1421
147,2.923453,472,2.923453,1611
148,2.943473,456,2.943473,1714
149,2.963493,490,2.963493,1725
150,2.983512,464,2.983512,1593
151,3.003532,404,3.003532,1210
152,3.023552,365,3.023552,798
153,3.043571,327,3.043571,488
154,3.063591,319,3.063591,351
155,3.083611,302,3.083611,297
156,3.103631,333,3.103631,272
157,3.12365,313,3.12365,291
158,3.14367,320,3.14367,335
159,3.16369,333,3.16369,364
160,3.183709,347,3.183709,400
161,3.203729,408,3.203729,514
162,3.223749,515,3.223749,764
163,3.243768,778,3.243768,1322
164,3.263788,1007,3.263788,2134
165,3.283808,1373,3.283808,3226
166,3.303828,1443,3.303828,4006
167,3.323847,1459,3.323847,4146
168,3.343867,1242,3.343867,3446
169,3.363887,838,3.363887,2373
170,3.383906,622,3.383906,1401
171,3.403926,457,3.403926,740
172,3.423946,388,3.423946,378
