Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CR029PA0048-00023-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 10:08:46 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.91499
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 4
UserCustomField,ID, 4
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.3860592,0.3860592,0.2073565,0,0,False,False
13,Al,PercentWeight,0,0,0.02493093,0,0,False,False
14,Si,PercentWeight,0.08139658,0.08139658,0.01127508,0,0,False,False
15,P,PercentWeight,0.1585489,0.1060489,0.005429457,0,0,False,False
16,S,PercentWeight,0.2592284,0.2177284,0.003869141,0,0,False,False
17,Cl,PercentWeight,0.05002146,0.05002146,0.01271041,0,0,False,False
19,K,PercentWeight,1.028494,0.9409943,0.004518725,0,0,False,False
20,Ca,PercentWeight,1.169339,1.169339,0.003611348,0,0,False,False
22,Ti,PercentWeight,0.0009300782,0.0009300782,0.0002158667,0,0,False,False
23,V,PercentWeight,0,0,3.172005E-05,0,0,False,False
24,Cr,PercentWeight,0.002362444,0.002362444,0.0002077655,0,0,False,False
25,Mn,PercentWeight,0.06881084,0.06881084,0.0007661383,0,0,False,False
26,Fe,PercentWeight,0.0123323,0.0123323,0.0005597913,0,0,False,False
28,Ni,PercentWeight,0,0,7.911256E-05,0,0,False,False
29,Cu,PercentWeight,0.001372711,0.001372711,7.170501E-05,0,0,False,False
30,Zn,PercentWeight,0.005505331,0.005505331,0.0001141734,0,0,False,False
33,As,PercentWeight,5.076328E-05,5.076328E-05,8.610682E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.659088E-05,0,0,False,False
35,Br,PercentWeight,0.0003307318,0.0003307318,9.932897E-05,0,0,False,False
37,Rb,PercentWeight,0.001421095,0.001421095,0.0001310065,0,0,False,False
38,Sr,PercentWeight,0.006057872,0.006057872,0.0001365725,0,0,False,False
42,Mo,PercentWeight,0,0,6.6575E-05,0,0,False,False
48,Cd,PercentWeight,0.0004511425,0.0004511425,0.0002160414,0,0,False,False
56,Ba,PercentWeight,0.003723561,0.003723561,0.003284317,0,0,False,False
80,Hg,PercentWeight,0,0,9.308215E-06,0,0,False,False
82,Pb,PercentWeight,0,0,0.0002720908,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1833188,,458186,
ValidCounts,1591350,,412009,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.000829215,,0.000829215,
ZeroOffsetInKeV,-0.000829215,,-0.000829215,
StartingChannel,0.04141995,,0.04141995,
NumberOfChannels,2048,,2048,
CountsPerSecond,43361.34,,50438.79,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 10:08:46 AM,,02/08/2023 10:08:46 AM,
LiveTimeInSeconds,37.86699,,8.048,
DeadTimeInSeconds,4.41,,1.036,
ResetTimeInSeconds,4.571002,,0.28,
DetectorTempInC,-27,,-27,
AmbientTempInF,93.8,,93.8,
NosePressureInMilliBars,788.5896,,788.5896,
NoseTemperatureInC,30,,30,
ActiveTimeInSeconds,42.27701,,9.084001,
PacketTimeInSeconds,46.84801,,9.364,
CommunicationTimeInSeconds,3.151985,,0.6359997,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.000829215,0,0.000829215,0
2,0.02084892,0,0.02084892,0
3,0.04086862,0,0.04086862,0
4,0.06088832,0,0.06088832,0
5,0.08090802,0,0.08090802,0
6,0.1009277,0,0.1009277,0
7,0.1209474,0,0.1209474,0
8,0.1409671,0,0.1409671,0
9,0.1609868,0,0.1609868,0
10,0.1810065,0,0.1810065,0
11,0.2010262,0,0.2010262,0
12,0.2210459,0,0.2210459,0
13,0.2410656,0,0.2410656,0
14,0.2610853,0,0.2610853,0
15,0.281105,0,0.281105,0
16,0.3011247,6,0.3011247,0
17,0.3211444,109,0.3211444,28
18,0.3411641,1265,0.3411641,265
19,0.3611838,5820,0.3611838,1168
20,0.3812035,12241,0.3812035,2599
21,0.4012232,11781,0.4012232,2538
22,0.4212429,5226,0.4212429,1130
23,0.4412626,1073,0.4412626,237
24,0.4612823,114,0.4612823,25
25,0.4813021,11,0.4813021,1
26,0.5013217,5,0.5013217,0
27,0.5213414,4,0.5213414,0
28,0.5413612,7,0.5413612,0
29,0.5613809,1,0.5613809,0
30,0.5814006,1,0.5814006,1
31,0.6014202,0,0.6014202,0
32,0.6214399,3,0.6214399,0
33,0.6414596,2,0.6414596,0
34,0.6614794,0,0.6614794,0
35,0.6814991,796,0.6814991,13
36,0.7015188,723,0.7015188,23
37,0.7215384,768,0.7215384,16
38,0.7415581,698,0.7415581,16
39,0.7615778,673,0.7615778,10
40,0.7815976,733,0.7815976,12
41,0.8016173,732,0.8016173,14
42,0.821637,702,0.821637,13
43,0.8416567,718,0.8416567,20
44,0.8616763,728,0.8616763,24
45,0.881696,646,0.881696,34
46,0.9017158,669,0.9017158,37
47,0.9217355,691,0.9217355,67
48,0.9417552,670,0.9417552,73
49,0.9617749,664,0.9617749,67
50,0.9817945,681,0.9817945,54
51,1.001814,667,1.001814,36
52,1.021834,643,1.021834,39
53,1.041854,634,1.041854,28
54,1.061873,655,1.061873,35
55,1.081893,652,1.081893,37
56,1.101913,634,1.101913,43
57,1.121933,638,1.121933,31
58,1.141952,614,1.141952,33
59,1.161972,636,1.161972,28
60,1.181992,622,1.181992,42
61,1.202011,595,1.202011,41
62,1.222031,579,1.222031,47
63,1.242051,619,1.242051,53
64,1.26207,562,1.26207,33
65,1.28209,623,1.28209,26
66,1.30211,601,1.30211,23
67,1.322129,632,1.322129,15
68,1.342149,607,1.342149,27
69,1.362169,558,1.362169,18
70,1.382189,568,1.382189,25
71,1.402208,523,1.402208,19
72,1.422228,577,1.422228,31
73,1.442248,555,1.442248,41
74,1.462267,568,1.462267,45
75,1.482287,542,1.482287,60
76,1.502307,562,1.502307,56
77,1.522326,551,1.522326,91
78,1.542346,564,1.542346,131
79,1.562366,554,1.562366,149
80,1.582386,552,1.582386,137
81,1.602405,530,1.602405,76
82,1.622425,537,1.622425,67
83,1.642445,505,1.642445,40
84,1.662464,539,1.662464,33
85,1.682484,495,1.682484,51
86,1.702504,451,1.702504,87
87,1.722523,475,1.722523,128
88,1.742543,531,1.742543,121
89,1.762563,523,1.762563,113
90,1.782583,489,1.782583,82
91,1.802602,538,1.802602,45
92,1.822622,504,1.822622,49
93,1.842642,497,1.842642,65
94,1.862661,521,1.862661,71
95,1.882681,504,1.882681,96
96,1.902701,515,1.902701,145
97,1.922721,565,1.922721,200
98,1.94274,573,1.94274,298
99,1.96276,571,1.96276,380
100,1.98278,541,1.98278,450
101,2.002799,516,2.002799,480
102,2.022819,536,2.022819,418
103,2.042839,461,2.042839,331
104,2.062858,481,2.062858,201
105,2.082878,456,2.082878,132
106,2.102898,493,2.102898,82
107,2.122917,505,2.122917,89
108,2.142937,454,2.142937,87
109,2.162957,428,2.162957,77
110,2.182977,466,2.182977,78
111,2.202996,483,2.202996,141
112,2.223016,444,2.223016,238
113,2.243036,437,2.243036,499
114,2.263055,486,2.263055,882
115,2.283075,493,2.283075,1295
116,2.303095,516,2.303095,1547
117,2.323115,452,2.323115,1434
118,2.343134,500,2.343134,1062
119,2.363154,478,2.363154,672
120,2.383174,463,2.383174,410
121,2.403193,452,2.403193,286
122,2.423213,445,2.423213,239
123,2.443233,400,2.443233,226
124,2.463253,446,2.463253,233
125,2.483272,396,2.483272,205
126,2.503292,435,2.503292,201
127,2.523312,437,2.523312,218
128,2.543331,446,2.543331,218
129,2.563351,413,2.563351,325
130,2.583371,466,2.583371,478
131,2.60339,492,2.60339,769
132,2.62341,450,2.62341,1259
133,2.64343,478,2.64343,1848
134,2.66345,436,2.66345,2613
135,2.683469,402,2.683469,3245
136,2.703489,388,2.703489,3256
137,2.723509,381,2.723509,2769
138,2.743528,399,2.743528,2063
139,2.763548,400,2.763548,1482
140,2.783568,359,2.783568,1464
141,2.803587,365,2.803587,1602
142,2.823607,363,2.823607,1827
143,2.843627,404,2.843627,1824
144,2.863647,382,2.863647,1760
145,2.883666,405,2.883666,1613
146,2.903686,391,2.903686,1449
147,2.923706,476,2.923706,1554
148,2.943725,493,2.943725,1643
149,2.963745,487,2.963745,1614
150,2.983765,490,2.983765,1438
151,3.003784,424,3.003784,1138
152,3.023804,428,3.023804,772
153,3.043824,362,3.043824,554
154,3.063843,362,3.063843,407
155,3.083863,368,3.083863,346
156,3.103883,394,3.103883,278
157,3.123903,360,3.123903,366
158,3.143922,360,3.143922,371
159,3.163942,385,3.163942,417
160,3.183962,379,3.183962,526
161,3.203981,502,3.203981,822
162,3.224001,736,3.224001,1504
163,3.244021,1170,3.244021,2994
164,3.26404,1878,3.26404,5251
165,3.28406,2488,3.28406,7883
166,3.30408,2907,3.30408,9727
167,3.3241,2827,3.3241,9715
168,3.344119,2323,3.344119,8352
169,3.364139,1756,3.364139,5661
170,3.384159,1073,3.384159,3301
171,3.404178,686,3.404178,1613
