Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CS018PA0003-00075-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 12:29:49 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.222
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,56
UserCustomField,ID,56
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.8361366,0.8361366,0.2296202,0,0,False,False
13,Al,PercentWeight,0,0,0.02684269,0,0,False,False
14,Si,PercentWeight,0.5464525,0.5464525,0.01735175,0,0,False,False
15,P,PercentWeight,0.1985286,0.1460286,0.00581529,0,0,False,False
16,S,PercentWeight,0.2913912,0.2498912,0.003989594,0,0,False,False
17,Cl,PercentWeight,0.01723052,0.01723052,0.0119666,0,0,False,False
19,K,PercentWeight,1.644197,1.556697,0.005815643,0,0,False,False
20,Ca,PercentWeight,1.651756,1.651756,0.004186226,0,0,False,False
22,Ti,PercentWeight,0.0004260307,0.0004260307,0.0001992551,0,0,False,False
23,V,PercentWeight,0,0,2.946894E-05,0,0,False,False
24,Cr,PercentWeight,0.001679025,0.001679025,0.0001897358,0,0,False,False
25,Mn,PercentWeight,0.01631683,0.01631683,0.0005223414,0,0,False,False
26,Fe,PercentWeight,0.01274823,0.01274823,0.0005431491,0,0,False,False
28,Ni,PercentWeight,0,0,7.696098E-05,0,0,False,False
29,Cu,PercentWeight,0.0008024453,0.0008024453,6.860395E-05,0,0,False,False
30,Zn,PercentWeight,0.002887937,0.002887937,9.84302E-05,0,0,False,False
33,As,PercentWeight,9.40967E-05,9.40967E-05,8.502579E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.148011E-05,0,0,False,False
35,Br,PercentWeight,0,0,9.897718E-05,0,0,False,False
37,Rb,PercentWeight,0.001015799,0.001015799,0.0001317177,0,0,False,False
38,Sr,PercentWeight,0.009655856,0.009655856,0.0001477505,0,0,False,False
42,Mo,PercentWeight,5.97316E-05,5.97316E-05,6.340432E-05,0,0,False,False
48,Cd,PercentWeight,0.001025849,0.001025849,0.0002113059,0,0,False,False
56,Ba,PercentWeight,0.002987001,0.002987001,0.003554299,0,0,False,False
80,Hg,PercentWeight,0,0,8.278209E-06,0,0,False,False
82,Pb,PercentWeight,0,0,0.0002747388,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1771098,,487762,
ValidCounts,1542710,,435944,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0009043437,,0.0009043437,
ZeroOffsetInKeV,-0.0009043437,,-0.0009043437,
StartingChannel,0.04517269,,0.04517269,
NumberOfChannels,2048,,2048,
CountsPerSecond,41690.55,,53576.66,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 12:29:49 PM,,03/08/2023 12:29:49 PM,
LiveTimeInSeconds,38.215,,8.007,
DeadTimeInSeconds,4.267001,,1.097,
ResetTimeInSeconds,4.423,,0.27,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.1,,98.1,
NosePressureInMilliBars,788.6309,,788.6309,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.482,,9.104001,
PacketTimeInSeconds,46.905,,9.374001,
CommunicationTimeInSeconds,3.094997,,0.6259995,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0009043437,0,0.0009043437,0
2,0.02092404,0,0.02092404,0
3,0.04094375,0,0.04094375,0
4,0.06096345,0,0.06096345,0
5,0.08098315,0,0.08098315,0
6,0.1010028,0,0.1010028,0
7,0.1210226,0,0.1210226,0
8,0.1410422,0,0.1410422,0
9,0.161062,0,0.161062,0
10,0.1810817,0,0.1810817,0
11,0.2011013,0,0.2011013,0
12,0.2211211,0,0.2211211,0
13,0.2411408,0,0.2411408,0
14,0.2611605,0,0.2611605,0
15,0.2811801,1,0.2811801,0
16,0.3011999,8,0.3011999,2
17,0.3212196,131,0.3212196,35
18,0.3412393,1287,0.3412393,245
19,0.361259,5944,0.361259,1158
20,0.3812787,12238,0.3812787,2577
21,0.4012984,11692,0.4012984,2493
22,0.4213181,5291,0.4213181,1117
23,0.4413378,1101,0.4413378,252
24,0.4613575,129,0.4613575,30
25,0.4813772,8,0.4813772,4
26,0.5013969,5,0.5013969,0
27,0.5214165,2,0.5214165,0
28,0.5414363,3,0.5414363,0
29,0.561456,0,0.561456,1
30,0.5814757,1,0.5814757,0
31,0.6014954,1,0.6014954,0
32,0.6215151,1,0.6215151,0
33,0.6415348,0,0.6415348,0
34,0.6615545,1,0.6615545,1
35,0.6815742,704,0.6815742,17
36,0.7015939,719,0.7015939,14
37,0.7216136,742,0.7216136,17
38,0.7416333,671,0.7416333,6
39,0.761653,692,0.761653,18
40,0.7816727,665,0.7816727,18
41,0.8016924,692,0.8016924,12
42,0.8217121,699,0.8217121,16
43,0.8417318,733,0.8417318,20
44,0.8617515,640,0.8617515,18
45,0.8817712,717,0.8817712,25
46,0.9017909,637,0.9017909,40
47,0.9218106,621,0.9218106,61
48,0.9418303,676,0.9418303,67
49,0.96185,646,0.96185,57
50,0.9818697,655,0.9818697,51
51,1.001889,681,1.001889,27
52,1.021909,660,1.021909,30
53,1.041929,703,1.041929,30
54,1.061949,678,1.061949,44
55,1.081968,646,1.081968,54
56,1.101988,711,1.101988,34
57,1.122008,599,1.122008,46
58,1.142027,604,1.142027,37
59,1.162047,632,1.162047,26
60,1.182067,648,1.182067,33
61,1.202086,605,1.202086,65
62,1.222106,598,1.222106,61
63,1.242126,592,1.242126,55
64,1.262146,629,1.262146,43
65,1.282165,636,1.282165,42
66,1.302185,599,1.302185,26
67,1.322205,560,1.322205,27
68,1.342224,571,1.342224,22
69,1.362244,564,1.362244,21
70,1.382264,583,1.382264,23
71,1.402283,556,1.402283,26
72,1.422303,543,1.422303,30
73,1.442323,552,1.442323,49
74,1.462343,596,1.462343,63
75,1.482362,563,1.482362,60
76,1.502382,581,1.502382,93
77,1.522402,618,1.522402,118
78,1.542421,581,1.542421,197
79,1.562441,554,1.562441,226
80,1.582461,596,1.582461,229
81,1.60248,570,1.60248,162
82,1.6225,511,1.6225,78
83,1.64252,463,1.64252,49
84,1.662539,487,1.662539,92
85,1.682559,497,1.682559,167
86,1.702579,543,1.702579,285
87,1.722599,480,1.722599,364
88,1.742618,505,1.742618,406
89,1.762638,492,1.762638,355
90,1.782658,526,1.782658,242
91,1.802677,534,1.802677,139
92,1.822697,503,1.822697,110
93,1.842717,532,1.842717,120
94,1.862737,498,1.862737,68
95,1.882756,565,1.882756,114
96,1.902776,547,1.902776,161
97,1.922796,536,1.922796,248
98,1.942815,541,1.942815,331
99,1.962835,537,1.962835,467
100,1.982855,548,1.982855,501
101,2.002874,536,2.002874,630
102,2.022894,522,2.022894,499
103,2.042914,547,2.042914,370
104,2.062933,440,2.062933,227
105,2.082953,474,2.082953,122
106,2.102973,517,2.102973,96
107,2.122993,477,2.122993,78
108,2.143012,450,2.143012,87
109,2.163032,444,2.163032,73
110,2.183052,473,2.183052,126
111,2.203071,454,2.203071,124
112,2.223091,436,2.223091,264
113,2.243111,493,2.243111,561
114,2.263131,519,2.263131,965
115,2.28315,546,2.28315,1461
116,2.30317,504,2.30317,1641
117,2.32319,519,2.32319,1571
118,2.343209,488,2.343209,1090
119,2.363229,468,2.363229,677
120,2.383249,469,2.383249,412
121,2.403269,442,2.403269,282
122,2.423288,421,2.423288,220
123,2.443308,423,2.443308,234
124,2.463328,438,2.463328,228
125,2.483347,394,2.483347,250
126,2.503367,383,2.503367,247
127,2.523387,382,2.523387,193
128,2.543406,428,2.543406,211
129,2.563426,421,2.563426,222
130,2.583446,442,2.583446,347
131,2.603466,458,2.603466,522
132,2.623485,453,2.623485,967
133,2.643505,468,2.643505,1609
134,2.663525,366,2.663525,2422
135,2.683544,402,2.683544,2910
136,2.703564,433,2.703564,3146
137,2.723584,409,2.723584,2574
138,2.743603,369,2.743603,2030
139,2.763623,388,2.763623,1422
140,2.783643,429,2.783643,1340
141,2.803663,377,2.803663,1557
142,2.823682,363,2.823682,1759
143,2.843702,380,2.843702,1811
144,2.863722,383,2.863722,1665
145,2.883741,375,2.883741,1560
146,2.903761,457,2.903761,1423
147,2.923781,480,2.923781,1571
148,2.9438,490,2.9438,1606
149,2.96382,480,2.96382,1646
150,2.98384,463,2.98384,1439
151,3.00386,441,3.00386,1153
152,3.023879,385,3.023879,705
153,3.043899,340,3.043899,543
154,3.063919,363,3.063919,382
155,3.083938,370,3.083938,346
156,3.103958,328,3.103958,306
157,3.123978,348,3.123978,375
158,3.143997,373,3.143997,400
159,3.164017,375,3.164017,480
160,3.184037,464,3.184037,626
161,3.204057,612,3.204057,1118
162,3.224076,985,3.224076,2250
163,3.244096,1624,3.244096,4509
164,3.264116,2660,3.264116,8228
165,3.284135,3733,3.284135,12143
166,3.304155,4468,3.304155,15133
167,3.324175,4540,3.324175,15624
168,3.344194,3597,3.344194,12733
169,3.364214,2598,3.364214,8780
170,3.384234,1524,3.384234,4922
171,3.404253,964,3.404253,2386
