Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CS018PA0004-00073-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 11:58:48 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.868
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,54
UserCustomField,ID,54
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.3703195,0.3703195,0.2066137,0,0,False,False
13,Al,PercentWeight,0.002775274,0.002775274,0.02524612,0,0,False,False
14,Si,PercentWeight,0.5286656,0.5286656,0.01714255,0,0,False,False
15,P,PercentWeight,0.1637819,0.1112819,0.005473364,0,0,False,False
16,S,PercentWeight,0.3017166,0.2602166,0.004063409,0,0,False,False
17,Cl,PercentWeight,0.0107054,0.0107054,0.01205819,0,0,False,False
19,K,PercentWeight,1.033355,0.9458545,0.004559494,0,0,False,False
20,Ca,PercentWeight,1.153534,1.153534,0.003569735,0,0,False,False
22,Ti,PercentWeight,0.0006805285,0.0006805285,0.0002047124,0,0,False,False
23,V,PercentWeight,0,0,3.052098E-05,0,0,False,False
24,Cr,PercentWeight,0.002166142,0.002166142,0.0001994471,0,0,False,False
25,Mn,PercentWeight,0.02035017,0.02035017,0.0004990364,0,0,False,False
26,Fe,PercentWeight,0.01343139,0.01343139,0.0005168363,0,0,False,False
28,Ni,PercentWeight,0,0,7.951793E-05,0,0,False,False
29,Cu,PercentWeight,0.0005762948,0.0005762948,6.00918E-05,0,0,False,False
30,Zn,PercentWeight,0.003356965,0.003356965,9.331926E-05,0,0,False,False
33,As,PercentWeight,0,0,8.18269E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.529207E-05,0,0,False,False
35,Br,PercentWeight,0.0002569919,0.0002569919,9.398013E-05,0,0,False,False
37,Rb,PercentWeight,0.0005118317,0.0005118317,0.0001220723,0,0,False,False
38,Sr,PercentWeight,0.006487123,0.006487123,0.0001316387,0,0,False,False
42,Mo,PercentWeight,0.0003285667,0.0003285667,6.774605E-05,0,0,False,False
48,Cd,PercentWeight,0.0007647072,0.0007647072,0.0002202008,0,0,False,False
56,Ba,PercentWeight,0.001045099,0.001045099,0.003193027,0,0,False,False
80,Hg,PercentWeight,0,0,9.06578E-06,0,0,False,False
82,Pb,PercentWeight,0.0001340137,0.0001340137,0.0002595682,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1860347,,438073,
ValidCounts,1612014,,395477,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.00071323,,0.00071323,
ZeroOffsetInKeV,-0.00071323,,-0.00071323,
StartingChannel,0.03562641,,0.03562641,
NumberOfChannels,2048,,2048,
CountsPerSecond,44064.21,,48060.66,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 11:58:48 AM,,03/08/2023 11:58:48 AM,
LiveTimeInSeconds,37.743,,8.125001,
DeadTimeInSeconds,4.476,,0.99,
ResetTimeInSeconds,4.698,,0.267,
DetectorTempInC,-27,,-27,
AmbientTempInF,97.8,,97.8,
NosePressureInMilliBars,788.7751,,788.7751,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.21901,,9.115002,
PacketTimeInSeconds,46.91701,,9.382002,
CommunicationTimeInSeconds,3.082993,,0.6179981,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.00071323,0,0.00071323,0
2,0.02073293,0,0.02073293,0
3,0.04075263,0,0.04075263,0
4,0.06077233,0,0.06077233,0
5,0.08079203,0,0.08079203,0
6,0.1008117,0,0.1008117,0
7,0.1208314,0,0.1208314,0
8,0.1408511,0,0.1408511,0
9,0.1608708,0,0.1608708,0
10,0.1808905,0,0.1808905,0
11,0.2009102,0,0.2009102,0
12,0.2209299,0,0.2209299,0
13,0.2409496,0,0.2409496,0
14,0.2609693,0,0.2609693,0
15,0.2809891,1,0.2809891,0
16,0.3010087,8,0.3010087,1
17,0.3210284,131,0.3210284,26
18,0.3410482,1204,0.3410482,231
19,0.3610679,5740,0.3610679,1185
20,0.3810875,12208,0.3810875,2583
21,0.4011073,11499,0.4011073,2608
22,0.421127,5321,0.421127,1191
23,0.4411466,1060,0.4411466,220
24,0.4611664,131,0.4611664,22
25,0.4811861,16,0.4811861,2
26,0.5012057,8,0.5012057,0
27,0.5212255,2,0.5212255,0
28,0.5412452,3,0.5412452,0
29,0.5612649,2,0.5612649,1
30,0.5812846,0,0.5812846,0
31,0.6013042,1,0.6013042,0
32,0.6213239,0,0.6213239,0
33,0.6413437,3,0.6413437,1
34,0.6613634,1,0.6613634,0
35,0.6813831,793,0.6813831,15
36,0.7014028,744,0.7014028,18
37,0.7214225,772,0.7214225,16
38,0.7414421,775,0.7414421,17
39,0.7614619,736,0.7614619,16
40,0.7814816,752,0.7814816,18
41,0.8015013,741,0.8015013,20
42,0.821521,726,0.821521,17
43,0.8415407,716,0.8415407,19
44,0.8615603,688,0.8615603,15
45,0.8815801,708,0.8815801,23
46,0.9015998,745,0.9015998,41
47,0.9216195,651,0.9216195,61
48,0.9416392,726,0.9416392,64
49,0.9616589,664,0.9616589,75
50,0.9816786,614,0.9816786,53
51,1.001698,691,1.001698,33
52,1.021718,667,1.021718,16
53,1.041738,670,1.041738,36
54,1.061757,644,1.061757,39
55,1.081777,650,1.081777,44
56,1.101797,650,1.101797,30
57,1.121817,633,1.121817,39
58,1.141836,638,1.141836,41
59,1.161856,624,1.161856,41
60,1.181876,644,1.181876,31
61,1.201895,614,1.201895,47
62,1.221915,619,1.221915,40
63,1.241935,643,1.241935,47
64,1.261954,617,1.261954,40
65,1.281974,573,1.281974,28
66,1.301994,610,1.301994,23
67,1.322013,578,1.322013,26
68,1.342033,521,1.342033,21
69,1.362053,574,1.362053,19
70,1.382073,559,1.382073,18
71,1.402092,586,1.402092,17
72,1.422112,580,1.422112,30
73,1.442132,614,1.442132,46
74,1.462151,562,1.462151,52
75,1.482171,564,1.482171,58
76,1.502191,566,1.502191,79
77,1.52221,586,1.52221,97
78,1.54223,579,1.54223,113
79,1.56225,619,1.56225,176
80,1.58227,587,1.58227,139
81,1.602289,521,1.602289,114
82,1.622309,494,1.622309,72
83,1.642329,552,1.642329,51
84,1.662348,496,1.662348,74
85,1.682368,487,1.682368,190
86,1.702388,532,1.702388,294
87,1.722407,501,1.722407,370
88,1.742427,512,1.742427,439
89,1.762447,548,1.762447,313
90,1.782467,477,1.782467,206
91,1.802486,542,1.802486,143
92,1.822506,491,1.822506,108
93,1.842526,548,1.842526,78
94,1.862545,546,1.862545,63
95,1.882565,520,1.882565,94
96,1.902585,577,1.902585,146
97,1.922605,545,1.922605,223
98,1.942624,554,1.942624,277
99,1.962644,545,1.962644,375
100,1.982664,546,1.982664,474
101,2.002683,549,2.002683,483
102,2.022703,483,2.022703,497
103,2.042723,540,2.042723,306
104,2.062742,466,2.062742,207
105,2.082762,493,2.082762,131
106,2.102782,494,2.102782,97
107,2.122802,491,2.122802,73
108,2.142821,441,2.142821,84
109,2.162841,456,2.162841,84
110,2.182861,480,2.182861,91
111,2.20288,500,2.20288,120
112,2.2229,454,2.2229,235
113,2.24292,500,2.24292,563
114,2.262939,502,2.262939,1044
115,2.282959,501,2.282959,1534
116,2.302979,519,2.302979,1722
117,2.322999,446,2.322999,1587
118,2.343018,529,2.343018,1222
119,2.363038,455,2.363038,755
120,2.383058,413,2.383058,427
121,2.403077,435,2.403077,284
122,2.423097,408,2.423097,279
123,2.443117,411,2.443117,222
124,2.463136,437,2.463136,259
125,2.483156,454,2.483156,272
126,2.503176,414,2.503176,206
127,2.523196,420,2.523196,222
128,2.543215,452,2.543215,197
129,2.563235,420,2.563235,194
130,2.583255,465,2.583255,348
131,2.603274,422,2.603274,577
132,2.623294,466,2.623294,929
133,2.643314,467,2.643314,1677
134,2.663333,428,2.663333,2462
135,2.683353,404,2.683353,3100
136,2.703373,405,2.703373,3287
137,2.723392,430,2.723392,2787
138,2.743412,358,2.743412,2025
139,2.763432,369,2.763432,1541
140,2.783452,365,2.783452,1423
141,2.803471,398,2.803471,1529
142,2.823491,408,2.823491,1754
143,2.843511,416,2.843511,1790
144,2.86353,415,2.86353,1760
145,2.88355,402,2.88355,1494
146,2.90357,451,2.90357,1443
147,2.923589,442,2.923589,1473
148,2.943609,516,2.943609,1664
149,2.963629,488,2.963629,1626
150,2.983649,465,2.983649,1446
151,3.003668,469,3.003668,1137
152,3.023688,393,3.023688,854
153,3.043708,349,3.043708,549
154,3.063727,369,3.063727,391
155,3.083747,331,3.083747,336
156,3.103767,367,3.103767,302
157,3.123787,368,3.123787,331
158,3.143806,355,3.143806,347
159,3.163826,382,3.163826,413
160,3.183846,426,3.183846,549
161,3.203865,535,3.203865,771
162,3.223885,721,3.223885,1525
163,3.243905,1200,3.243905,3003
164,3.263925,1897,3.263925,5393
165,3.283944,2601,3.283944,8064
166,3.303964,2973,3.303964,10086
167,3.323984,2997,3.323984,10010
168,3.344003,2393,3.344003,8426
169,3.364023,1754,3.364023,5654
170,3.384043,1122,3.384043,3430
