Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CS018PA0008-00012-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 4:41:48 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.18
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 25
UserCustomField,ID,CT006PA0024 25
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.8486584,0.8486584,0.2065827,0,0,False,False
13,Al,PercentWeight,0,0,0.0232286,0,0,False,False
14,Si,PercentWeight,0.388786,0.388786,0.01518507,0,0,False,False
15,P,PercentWeight,0.185515,0.133015,0.005603737,0,0,False,False
16,S,PercentWeight,0.3128147,0.2713147,0.004091085,0,0,False,False
17,Cl,PercentWeight,0.01706666,0.01706666,0.01199412,0,0,False,False
19,K,PercentWeight,0.9548373,0.8673373,0.004419012,0,0,False,False
20,Ca,PercentWeight,1.399053,1.399053,0.003870106,0,0,False,False
22,Ti,PercentWeight,0.001063339,0.001063339,0.0002119278,0,0,False,False
23,V,PercentWeight,0,0,3.123312E-05,0,0,False,False
24,Cr,PercentWeight,0.002009342,0.002009342,0.0002028747,0,0,False,False
25,Mn,PercentWeight,0.0257741,0.0257741,0.0005692613,0,0,False,False
26,Fe,PercentWeight,0.01485447,0.01485447,0.0005455019,0,0,False,False
28,Ni,PercentWeight,0,0,7.873523E-05,0,0,False,False
29,Cu,PercentWeight,0.0008377786,0.0008377786,6.577763E-05,0,0,False,False
30,Zn,PercentWeight,0.003872775,0.003872775,0.0001031041,0,0,False,False
33,As,PercentWeight,0,0,8.654027E-05,0,0,False,False
34,Se,PercentWeight,6.887156E-05,6.887156E-05,5.421944E-05,0,0,False,False
35,Br,PercentWeight,0.0005215222,0.0005215222,0.0001005284,0,0,False,False
37,Rb,PercentWeight,0.0009282796,0.0009282796,0.000129843,0,0,False,False
38,Sr,PercentWeight,0.007269754,0.007269754,0.0001400555,0,0,False,False
42,Mo,PercentWeight,0,0,6.498674E-05,0,0,False,False
48,Cd,PercentWeight,0.0004072328,0.0004072328,0.0002113874,0,0,False,False
56,Ba,PercentWeight,0,0,0.003354665,0,0,False,False
80,Hg,PercentWeight,0,0,9.16592E-06,0,0,False,False
82,Pb,PercentWeight,0.0004184598,0.0004184598,0.0002737473,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1777741,,452541,
ValidCounts,1547865,,407773,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007523252,,0.0007523252,
ZeroOffsetInKeV,-0.0007523252,,-0.0007523252,
StartingChannel,0.03757924,,0.03757924,
NumberOfChannels,2048,,2048,
CountsPerSecond,41929.83,,49789.96,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 4:41:48 PM,,01/08/2023 4:41:48 PM,
LiveTimeInSeconds,38.113,,8.067,
DeadTimeInSeconds,4.285,,1.022,
ResetTimeInSeconds,4.435,,0.27,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.5,,98.5,
NosePressureInMilliBars,785.4915,,785.4915,
NoseTemperatureInC,34,,34,
ActiveTimeInSeconds,42.398,,9.089001,
PacketTimeInSeconds,46.833,,9.359001,
CommunicationTimeInSeconds,3.166996,,0.6409988,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007523252,0,0.0007523252,0
2,0.02077203,0,0.02077203,0
3,0.04079173,0,0.04079173,0
4,0.06081143,0,0.06081143,0
5,0.08083113,0,0.08083113,0
6,0.1008508,0,0.1008508,0
7,0.1208705,0,0.1208705,0
8,0.1408902,0,0.1408902,0
9,0.1609099,0,0.1609099,0
10,0.1809296,0,0.1809296,0
11,0.2009493,0,0.2009493,0
12,0.220969,0,0.220969,0
13,0.2409887,0,0.2409887,0
14,0.2610084,0,0.2610084,0
15,0.2810282,0,0.2810282,0
16,0.3010478,12,0.3010478,0
17,0.3210675,125,0.3210675,16
18,0.3410873,1305,0.3410873,287
19,0.3611069,5745,0.3611069,1212
20,0.3811266,12330,0.3811266,2607
21,0.4011464,11590,0.4011464,2505
22,0.421166,5284,0.421166,1098
23,0.4411857,1166,0.4411857,261
24,0.4612055,140,0.4612055,31
25,0.4812252,11,0.4812252,4
26,0.5012448,3,0.5012448,0
27,0.5212646,2,0.5212646,0
28,0.5412843,1,0.5412843,0
29,0.561304,5,0.561304,0
30,0.5813237,4,0.5813237,0
31,0.6013433,4,0.6013433,0
32,0.621363,1,0.621363,0
33,0.6413828,2,0.6413828,0
34,0.6614025,2,0.6614025,0
35,0.6814222,691,0.6814222,15
36,0.7014419,737,0.7014419,16
37,0.7214615,710,0.7214615,18
38,0.7414812,763,0.7414812,17
39,0.761501,715,0.761501,18
40,0.7815207,736,0.7815207,15
41,0.8015404,637,0.8015404,11
42,0.8215601,700,0.8215601,11
43,0.8415798,715,0.8415798,14
44,0.8615994,696,0.8615994,20
45,0.8816192,653,0.8816192,28
46,0.9016389,724,0.9016389,21
47,0.9216586,694,0.9216586,69
48,0.9416783,636,0.9416783,59
49,0.961698,666,0.961698,60
50,0.9817176,643,0.9817176,44
51,1.001737,702,1.001737,26
52,1.021757,621,1.021757,24
53,1.041777,682,1.041777,27
54,1.061796,606,1.061796,23
55,1.081816,607,1.081816,40
56,1.101836,643,1.101836,39
57,1.121856,599,1.121856,35
58,1.141875,641,1.141875,37
59,1.161895,614,1.161895,36
60,1.181915,662,1.181915,48
61,1.201934,645,1.201934,42
62,1.221954,594,1.221954,46
63,1.241974,582,1.241974,43
64,1.261994,590,1.261994,46
65,1.282013,588,1.282013,37
66,1.302033,597,1.302033,20
67,1.322053,520,1.322053,18
68,1.342072,563,1.342072,16
69,1.362092,567,1.362092,17
70,1.382112,563,1.382112,13
71,1.402131,578,1.402131,21
72,1.422151,584,1.422151,21
73,1.442171,551,1.442171,41
74,1.462191,534,1.462191,41
75,1.48221,531,1.48221,44
76,1.50223,579,1.50223,75
77,1.52225,583,1.52225,100
78,1.542269,589,1.542269,100
79,1.562289,542,1.562289,147
80,1.582309,566,1.582309,132
81,1.602328,546,1.602328,94
82,1.622348,494,1.622348,67
83,1.642368,519,1.642368,29
84,1.662387,494,1.662387,69
85,1.682407,520,1.682407,120
86,1.702427,504,1.702427,222
87,1.722447,483,1.722447,283
88,1.742466,482,1.742466,332
89,1.762486,515,1.762486,251
90,1.782506,493,1.782506,163
91,1.802525,471,1.802525,100
92,1.822545,493,1.822545,83
93,1.842565,501,1.842565,74
94,1.862584,563,1.862584,92
95,1.882604,547,1.882604,104
96,1.902624,562,1.902624,157
97,1.922644,576,1.922644,237
98,1.942663,547,1.942663,328
99,1.962683,533,1.962683,397
100,1.982703,540,1.982703,482
101,2.002723,518,2.002723,500
102,2.022742,506,2.022742,507
103,2.042762,446,2.042762,358
104,2.062782,464,2.062782,252
105,2.082801,529,2.082801,144
106,2.102821,454,2.102821,81
107,2.122841,439,2.122841,98
108,2.14286,481,2.14286,86
109,2.16288,454,2.16288,71
110,2.1829,479,2.1829,129
111,2.202919,458,2.202919,118
112,2.222939,461,2.222939,248
113,2.242959,470,2.242959,585
114,2.262979,488,2.262979,1018
115,2.282998,511,2.282998,1592
116,2.303018,520,2.303018,1754
117,2.323038,477,2.323038,1600
118,2.343057,448,2.343057,1244
119,2.363077,437,2.363077,738
120,2.383097,405,2.383097,403
121,2.403116,399,2.403116,282
122,2.423136,420,2.423136,249
123,2.443156,396,2.443156,253
124,2.463176,401,2.463176,250
125,2.483195,395,2.483195,261
126,2.503215,449,2.503215,228
127,2.523235,409,2.523235,200
128,2.543254,399,2.543254,220
129,2.563274,421,2.563274,226
130,2.583294,432,2.583294,343
131,2.603313,421,2.603313,617
132,2.623333,466,2.623333,992
133,2.643353,432,2.643353,1652
134,2.663373,440,2.663373,2438
135,2.683392,392,2.683392,3072
136,2.703412,405,2.703412,3073
137,2.723432,387,2.723432,2719
138,2.743451,364,2.743451,1984
139,2.763471,393,2.763471,1432
140,2.783491,386,2.783491,1340
141,2.80351,390,2.80351,1509
142,2.82353,365,2.82353,1748
143,2.84355,398,2.84355,1823
144,2.863569,383,2.863569,1697
145,2.883589,399,2.883589,1491
146,2.903609,415,2.903609,1378
147,2.923629,433,2.923629,1446
148,2.943648,504,2.943648,1603
149,2.963668,488,2.963668,1594
150,2.983688,458,2.983688,1488
151,3.003707,429,3.003707,1083
152,3.023727,413,3.023727,783
153,3.043747,381,3.043747,568
154,3.063766,365,3.063766,347
155,3.083786,349,3.083786,335
156,3.103806,325,3.103806,321
157,3.123826,364,3.123826,326
158,3.143845,354,3.143845,371
159,3.163865,378,3.163865,419
160,3.183885,402,3.183885,469
161,3.203904,483,3.203904,778
162,3.223924,670,3.223924,1395
163,3.243944,1187,3.243944,2803
164,3.263964,1769,3.263964,4822
165,3.283983,2314,3.283983,7322
166,3.304003,2704,3.304003,9036
167,3.324023,2637,3.324023,9053
168,3.344042,2259,3.344042,7771
169,3.364062,1645,3.364062,5200
170,3.384082,1048,3.384082,3064
171,3.404102,667,3.404102,1518
