Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CS103PA0106-00065-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 11:07:11 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,45.431
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,46
UserCustomField,ID,46
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.3150405,0.3150405,0.1891416,0,0,False,False
13,Al,PercentWeight,0,0,0.02345925,0,0,False,False
14,Si,PercentWeight,0.08569721,0.08569721,0.01061234,0,0,False,False
15,P,PercentWeight,0.1299992,0.0774992,0.004823097,0,0,False,False
16,S,PercentWeight,0.1507691,0.1092691,0.003114901,0,0,False,False
17,Cl,PercentWeight,0.01026611,0.01026611,0.01172638,0,0,False,False
19,K,PercentWeight,0.793988,0.706488,0.003950587,0,0,False,False
20,Ca,PercentWeight,0.4841731,0.4841731,0.002451544,0,0,False,False
22,Ti,PercentWeight,0.0004990393,0.0004990393,0.0002042829,0,0,False,False
23,V,PercentWeight,0,0,3.078963E-05,0,0,False,False
24,Cr,PercentWeight,0.002460317,0.002460317,0.0002013067,0,0,False,False
25,Mn,PercentWeight,0.06180222,0.06180222,0.0006875943,0,0,False,False
26,Fe,PercentWeight,0.0147308,0.0147308,0.0005481855,0,0,False,False
28,Ni,PercentWeight,0,0,8.539145E-05,0,0,False,False
29,Cu,PercentWeight,0.001289217,0.001289217,6.710617E-05,0,0,False,False
30,Zn,PercentWeight,0.004721344,0.004721344,0.0001027183,0,0,False,False
33,As,PercentWeight,0,0,8.189952E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.728713E-05,0,0,False,False
35,Br,PercentWeight,0.0004947573,0.0004947573,9.465215E-05,0,0,False,False
37,Rb,PercentWeight,0.004357226,0.004357226,0.0001338849,0,0,False,False
38,Sr,PercentWeight,0.003344613,0.003344613,0.000125279,0,0,False,False
42,Mo,PercentWeight,0,0,7.101481E-05,0,0,False,False
48,Cd,PercentWeight,0.0004253866,0.0004253866,0.0002306212,0,0,False,False
56,Ba,PercentWeight,0.00133174,0.00133174,0.003230392,0,0,False,False
80,Hg,PercentWeight,0,0,9.618623E-06,0,0,False,False
82,Pb,PercentWeight,0,0,0.0002593115,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1961128,,381961,
ValidCounts,1687732,,349564,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007630386,,0.0007630386,
ZeroOffsetInKeV,-0.0007630386,,-0.0007630386,
StartingChannel,0.03811439,,0.03811439,
NumberOfChannels,2048,,2048,
CountsPerSecond,46822.83,,41854.15,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 11:07:11 AM,,03/08/2023 11:07:11 AM,
LiveTimeInSeconds,37.175,,8.256001,
DeadTimeInSeconds,4.709,,0.8700001,
ResetTimeInSeconds,5.012999,,0.251,
DetectorTempInC,-27,,-27,
AmbientTempInF,92.9,,92.9,
NosePressureInMilliBars,788.6352,,788.6352,
NoseTemperatureInC,30,,30,
ActiveTimeInSeconds,41.88401,,9.126,
PacketTimeInSeconds,46.89701,,9.377001,
CommunicationTimeInSeconds,3.102989,,0.6229992,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007630386,0,0.0007630386,0
2,0.02078274,0,0.02078274,0
3,0.04080244,0,0.04080244,0
4,0.06082214,0,0.06082214,0
5,0.08084184,0,0.08084184,0
6,0.1008615,0,0.1008615,0
7,0.1208812,0,0.1208812,0
8,0.1409009,0,0.1409009,0
9,0.1609206,0,0.1609206,0
10,0.1809403,0,0.1809403,0
11,0.2009601,0,0.2009601,0
12,0.2209798,0,0.2209798,0
13,0.2409994,0,0.2409994,0
14,0.2610191,0,0.2610191,0
15,0.2810389,0,0.2810389,0
16,0.3010586,5,0.3010586,2
17,0.3210782,112,0.3210782,26
18,0.341098,1229,0.341098,265
19,0.3611177,5609,0.3611177,1227
20,0.3811374,11940,0.3811374,2756
21,0.4011571,11508,0.4011571,2572
22,0.4211768,5144,0.4211768,1067
23,0.4411965,998,0.4411965,259
24,0.4612162,132,0.4612162,30
25,0.4812359,16,0.4812359,1
26,0.5012556,2,0.5012556,0
27,0.5212753,3,0.5212753,0
28,0.541295,7,0.541295,0
29,0.5613146,2,0.5613146,0
30,0.5813344,4,0.5813344,1
31,0.6013541,3,0.6013541,0
32,0.6213738,2,0.6213738,0
33,0.6413935,1,0.6413935,0
34,0.6614132,0,0.6614132,0
35,0.6814328,846,0.6814328,11
36,0.7014526,831,0.7014526,15
37,0.7214723,859,0.7214723,15
38,0.741492,780,0.741492,11
39,0.7615117,758,0.7615117,18
40,0.7815314,808,0.7815314,17
41,0.8015511,781,0.8015511,20
42,0.8215708,752,0.8215708,18
43,0.8415905,739,0.8415905,16
44,0.8616102,765,0.8616102,21
45,0.8816299,723,0.8816299,27
46,0.9016496,709,0.9016496,32
47,0.9216693,722,0.9216693,46
48,0.941689,732,0.941689,86
49,0.9617087,709,0.9617087,62
50,0.9817284,712,0.9817284,43
51,1.001748,761,1.001748,24
52,1.021768,706,1.021768,17
53,1.041788,746,1.041788,22
54,1.061807,669,1.061807,35
55,1.081827,695,1.081827,43
56,1.101847,692,1.101847,48
57,1.121866,673,1.121866,41
58,1.141886,657,1.141886,21
59,1.161906,656,1.161906,28
60,1.181925,678,1.181925,34
61,1.201945,664,1.201945,47
62,1.221965,669,1.221965,46
63,1.241984,663,1.241984,35
64,1.262004,643,1.262004,32
65,1.282024,660,1.282024,28
66,1.302044,653,1.302044,17
67,1.322063,671,1.322063,13
68,1.342083,621,1.342083,14
69,1.362103,616,1.362103,20
70,1.382122,627,1.382122,21
71,1.402142,598,1.402142,23
72,1.422162,634,1.422162,29
73,1.442181,612,1.442181,34
74,1.462201,576,1.462201,43
75,1.482221,606,1.482221,60
76,1.502241,645,1.502241,63
77,1.52226,580,1.52226,65
78,1.54228,610,1.54228,118
79,1.5623,614,1.5623,126
80,1.582319,547,1.582319,128
81,1.602339,532,1.602339,84
82,1.622359,586,1.622359,58
83,1.642379,542,1.642379,30
84,1.662398,537,1.662398,26
85,1.682418,475,1.682418,52
86,1.702438,516,1.702438,66
87,1.722457,561,1.722457,123
88,1.742477,504,1.742477,126
89,1.762497,497,1.762497,100
90,1.782516,514,1.782516,96
91,1.802536,516,1.802536,56
92,1.822556,495,1.822556,49
93,1.842576,537,1.842576,47
94,1.862595,550,1.862595,49
95,1.882615,540,1.882615,60
96,1.902635,559,1.902635,95
97,1.922654,546,1.922654,113
98,1.942674,576,1.942674,168
99,1.962694,570,1.962694,262
100,1.982713,540,1.982713,342
101,2.002733,547,2.002733,393
102,2.022753,550,2.022753,381
103,2.042773,541,2.042773,266
104,2.062792,542,2.062792,188
105,2.082812,498,2.082812,93
106,2.102832,509,2.102832,78
107,2.122851,505,2.122851,68
108,2.142871,503,2.142871,79
109,2.162891,503,2.162891,67
110,2.18291,490,2.18291,76
111,2.20293,510,2.20293,100
112,2.22295,492,2.22295,181
113,2.24297,496,2.24297,321
114,2.262989,498,2.262989,601
115,2.283009,549,2.283009,850
116,2.303029,518,2.303029,973
117,2.323048,484,2.323048,954
118,2.343068,440,2.343068,686
119,2.363088,491,2.363088,461
120,2.383107,463,2.383107,280
121,2.403127,452,2.403127,216
122,2.423147,458,2.423147,187
123,2.443166,459,2.443166,186
124,2.463186,478,2.463186,190
125,2.483206,460,2.483206,206
126,2.503226,460,2.503226,151
127,2.523245,445,2.523245,154
128,2.543265,456,2.543265,194
129,2.563285,422,2.563285,218
130,2.583304,482,2.583304,338
131,2.603324,475,2.603324,548
132,2.623344,494,2.623344,973
133,2.643363,454,2.643363,1613
134,2.663383,420,2.663383,2507
135,2.683403,379,2.683403,3074
136,2.703423,420,2.703423,3204
137,2.723442,393,2.723442,2749
138,2.743462,372,2.743462,1936
139,2.763482,427,2.763482,1447
140,2.783501,414,2.783501,1364
141,2.803521,426,2.803521,1595
142,2.823541,406,2.823541,1750
143,2.843561,379,2.843561,1876
144,2.86358,423,2.86358,1712
145,2.8836,414,2.8836,1516
146,2.90362,481,2.90362,1469
147,2.923639,510,2.923639,1583
148,2.943659,526,2.943659,1743
149,2.963679,524,2.963679,1757
150,2.983699,484,2.983699,1462
151,3.003718,452,3.003718,1151
152,3.023738,432,3.023738,835
153,3.043758,397,3.043758,513
154,3.063777,353,3.063777,367
155,3.083797,360,3.083797,300
156,3.103817,353,3.103817,331
157,3.123836,368,3.123836,331
158,3.143856,374,3.143856,404
159,3.163876,404,3.163876,406
160,3.183896,424,3.183896,484
161,3.203915,503,3.203915,726
162,3.223935,750,3.223935,1261
163,3.243955,1024,3.243955,2541
164,3.263974,1558,3.263974,4409
165,3.283994,2058,3.283994,6683
166,3.304014,2409,3.304014,8146
167,3.324033,2338,3.324033,8297
168,3.344053,1942,3.344053,6943
169,3.364073,1427,3.364073,4780
170,3.384093,969,3.384093,2776
171,3.404112,618,3.404112,1370
172,3.424132,474,3.424132,645
