Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CS460PA0010-00029-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 11:15:54 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.381
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 10
UserCustomField,ID, 10
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.4000051,0.4000051,0.1996947,0,0,False,False
13,Al,PercentWeight,0,0,0.02351092,0,0,False,False
14,Si,PercentWeight,0.03154921,0.03154921,0.009487644,0,0,False,False
15,P,PercentWeight,0.0749594,0.02245941,0.004183768,0,0,False,False
16,S,PercentWeight,0.1517324,0.1102324,0.003113936,0,0,False,False
17,Cl,PercentWeight,0.001136887,0.001136887,0.01186428,0,0,False,False
19,K,PercentWeight,0.5673425,0.4798425,0.003394361,0,0,False,False
20,Ca,PercentWeight,0.8541512,0.8541512,0.00312906,0,0,False,False
22,Ti,PercentWeight,0.001098452,0.001098452,0.0002222278,0,0,False,False
23,V,PercentWeight,7.201647E-05,7.201647E-05,3.242588E-05,0,0,False,False
24,Cr,PercentWeight,0.002493547,0.002493547,0.0002061685,0,0,False,False
25,Mn,PercentWeight,0.2806038,0.2806038,0.001507786,0,0,False,False
26,Fe,PercentWeight,0.02247631,0.02247631,0.0007921243,0,0,False,False
28,Ni,PercentWeight,0,0,7.825632E-05,0,0,False,False
29,Cu,PercentWeight,0.000716878,0.000716878,7.107629E-05,0,0,False,False
30,Zn,PercentWeight,0.006595546,0.006595546,0.0001271233,0,0,False,False
33,As,PercentWeight,0,0,9.025067E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.422338E-05,0,0,False,False
35,Br,PercentWeight,0.001238845,0.001238845,0.000108853,0,0,False,False
37,Rb,PercentWeight,0.001427946,0.001427946,0.0001378396,0,0,False,False
38,Sr,PercentWeight,0.006693668,0.006693668,0.0001441736,0,0,False,False
42,Mo,PercentWeight,0,0,6.387796E-05,0,0,False,False
48,Cd,PercentWeight,0.0006017306,0.0006017306,0.0002086629,0,0,False,False
56,Ba,PercentWeight,0.007213101,0.007213101,0.003575433,0,0,False,False
80,Hg,PercentWeight,0,0,8.969815E-06,0,0,False,False
82,Pb,PercentWeight,0.0002297578,0.0002297578,0.0002855648,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1768118,,416186,
ValidCounts,1542330,,377735,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007305773,,0.0007305773,
ZeroOffsetInKeV,-0.0007305773,,-0.0007305773,
StartingChannel,0.03649292,,0.03649292,
NumberOfChannels,2048,,2048,
CountsPerSecond,41619.42,,45759.86,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 11:15:54 AM,,02/08/2023 11:15:54 AM,
LiveTimeInSeconds,38.231,,8.150001,
DeadTimeInSeconds,4.252001,,0.9450001,
ResetTimeInSeconds,4.360998,,0.27,
DetectorTempInC,-27,,-27,
AmbientTempInF,94.7,,94.7,
NosePressureInMilliBars,787.3978,,787.3978,
NoseTemperatureInC,31,,31,
ActiveTimeInSeconds,42.483,,9.095001,
PacketTimeInSeconds,46.844,,9.365002,
CommunicationTimeInSeconds,3.155998,,0.6349983,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007305773,0,0.0007305773,0
2,0.02075028,0,0.02075028,0
3,0.04076998,0,0.04076998,0
4,0.06078968,0,0.06078968,0
5,0.08080938,0,0.08080938,0
6,0.1008291,0,0.1008291,0
7,0.1208488,0,0.1208488,0
8,0.1408685,0,0.1408685,0
9,0.1608882,0,0.1608882,0
10,0.1809079,0,0.1809079,0
11,0.2009276,0,0.2009276,0
12,0.2209473,0,0.2209473,0
13,0.240967,0,0.240967,0
14,0.2609867,0,0.2609867,0
15,0.2810064,0,0.2810064,0
16,0.3010261,4,0.3010261,0
17,0.3210458,153,0.3210458,21
18,0.3410655,1212,0.3410655,253
19,0.3610852,5821,0.3610852,1201
20,0.3811049,12430,0.3811049,2638
21,0.4011246,11887,0.4011246,2586
22,0.4211443,5250,0.4211443,1151
23,0.441164,1123,0.441164,240
24,0.4611837,119,0.4611837,24
25,0.4812034,11,0.4812034,0
26,0.5012231,6,0.5012231,0
27,0.5212428,3,0.5212428,0
28,0.5412625,5,0.5412625,1
29,0.5612822,6,0.5612822,0
30,0.5813019,2,0.5813019,0
31,0.6013216,2,0.6013216,0
32,0.6213413,4,0.6213413,0
33,0.641361,1,0.641361,0
34,0.6613807,0,0.6613807,0
35,0.6814004,723,0.6814004,19
36,0.7014201,757,0.7014201,10
37,0.7214398,687,0.7214398,4
38,0.7414595,713,0.7414595,17
39,0.7614792,712,0.7614792,10
40,0.7814989,662,0.7814989,10
41,0.8015186,678,0.8015186,14
42,0.8215383,648,0.8215383,17
43,0.841558,637,0.841558,14
44,0.8615777,663,0.8615777,23
45,0.8815974,654,0.8815974,26
46,0.9016171,651,0.9016171,31
47,0.9216368,622,0.9216368,46
48,0.9416565,666,0.9416565,63
49,0.9616762,640,0.9616762,65
50,0.981696,634,0.981696,46
51,1.001716,641,1.001716,37
52,1.021735,633,1.021735,30
53,1.041755,684,1.041755,23
54,1.061775,647,1.061775,25
55,1.081794,656,1.081794,33
56,1.101814,651,1.101814,54
57,1.121834,617,1.121834,37
58,1.141854,574,1.141854,31
59,1.161873,582,1.161873,42
60,1.181893,599,1.181893,37
61,1.201913,622,1.201913,52
62,1.221932,606,1.221932,59
63,1.241952,593,1.241952,32
64,1.261972,579,1.261972,38
65,1.281991,566,1.281991,21
66,1.302011,578,1.302011,13
67,1.322031,577,1.322031,16
68,1.342051,554,1.342051,28
69,1.36207,520,1.36207,19
70,1.38209,503,1.38209,24
71,1.40211,578,1.40211,22
72,1.422129,531,1.422129,28
73,1.442149,564,1.442149,38
74,1.462169,573,1.462169,45
75,1.482188,550,1.482188,46
76,1.502208,513,1.502208,50
77,1.522228,553,1.522228,61
78,1.542248,577,1.542248,77
79,1.562267,517,1.562267,92
80,1.582287,523,1.582287,91
81,1.602307,473,1.602307,73
82,1.622326,485,1.622326,48
83,1.642346,453,1.642346,32
84,1.662366,473,1.662366,28
85,1.682385,471,1.682385,39
86,1.702405,453,1.702405,66
87,1.722425,466,1.722425,81
88,1.742445,475,1.742445,82
89,1.762464,490,1.762464,65
90,1.782484,491,1.782484,56
91,1.802504,447,1.802504,51
92,1.822523,509,1.822523,31
93,1.842543,491,1.842543,52
94,1.862563,519,1.862563,54
95,1.882582,505,1.882582,67
96,1.902602,516,1.902602,130
97,1.922622,527,1.922622,181
98,1.942642,529,1.942642,220
99,1.962661,530,1.962661,252
100,1.982681,527,1.982681,240
101,2.002701,466,2.002701,293
102,2.02272,493,2.02272,232
103,2.04274,451,2.04274,169
104,2.06276,480,2.06276,122
105,2.082779,469,2.082779,71
106,2.102799,488,2.102799,58
107,2.122819,420,2.122819,61
108,2.142838,453,2.142838,57
109,2.162858,430,2.162858,66
110,2.182878,418,2.182878,73
111,2.202898,450,2.202898,106
112,2.222917,449,2.222917,163
113,2.242937,457,2.242937,326
114,2.262957,447,2.262957,536
115,2.282976,475,2.282976,856
116,2.302996,466,2.302996,942
117,2.323016,467,2.323016,912
118,2.343036,465,2.343036,713
119,2.363055,402,2.363055,462
120,2.383075,440,2.383075,314
121,2.403095,402,2.403095,187
122,2.423114,432,2.423114,172
123,2.443134,430,2.443134,165
124,2.463154,388,2.463154,165
125,2.483174,394,2.483174,168
126,2.503193,411,2.503193,187
127,2.523213,375,2.523213,168
128,2.543233,416,2.543233,167
129,2.563252,410,2.563252,216
130,2.583272,417,2.583272,308
131,2.603292,395,2.603292,563
132,2.623312,450,2.623312,966
133,2.643331,443,2.643331,1580
134,2.663351,439,2.663351,2411
135,2.683371,373,2.683371,3124
136,2.70339,394,2.70339,3271
137,2.72341,366,2.72341,2802
138,2.74343,388,2.74343,2057
139,2.763449,378,2.763449,1531
140,2.783469,336,2.783469,1379
141,2.803489,398,2.803489,1632
142,2.823509,319,2.823509,1799
143,2.843528,367,2.843528,1862
144,2.863548,397,2.863548,1689
145,2.883568,426,2.883568,1485
146,2.903587,438,2.903587,1427
147,2.923607,502,2.923607,1562
148,2.943627,494,2.943627,1631
149,2.963646,524,2.963646,1636
150,2.983666,476,2.983666,1499
151,3.003686,400,3.003686,1091
152,3.023705,388,3.023705,794
153,3.043725,352,3.043725,520
154,3.063745,302,3.063745,384
155,3.083765,322,3.083765,295
156,3.103784,355,3.103784,310
157,3.123804,371,3.123804,329
158,3.143824,347,3.143824,380
159,3.163843,358,3.163843,421
160,3.183863,379,3.183863,457
161,3.203883,453,3.203883,586
162,3.223902,614,3.223902,1021
163,3.243922,883,3.243922,1917
164,3.263942,1287,3.263942,3107
165,3.283962,1673,3.283962,4715
166,3.303981,1872,3.303981,5597
167,3.324001,1877,3.324001,5870
168,3.344021,1496,3.344021,4913
169,3.36404,1080,3.36404,3384
170,3.38406,751,3.38406,1923
171,3.40408,510,3.40408,984
