Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CS460PA0024-00031-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 11:39:11 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.362
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 12
UserCustomField,ID, 12
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.03285526,0.03285526,0.1877753,0,0,False,False
13,Al,PercentWeight,0,0,0.02338411,0,0,False,False
14,Si,PercentWeight,0.04150089,0.04150089,0.01038879,0,0,False,False
15,P,PercentWeight,0.3430133,0.2905133,0.006936343,0,0,False,False
16,S,PercentWeight,0.159282,0.117782,0.003265598,0,0,False,False
17,Cl,PercentWeight,0,0,0.01203089,0,0,False,False
19,K,PercentWeight,0.6781541,0.5906541,0.003711266,0,0,False,False
20,Ca,PercentWeight,0.8634479,0.8634479,0.003156197,0,0,False,False
22,Ti,PercentWeight,0.00123929,0.00123929,0.0002226984,0,0,False,False
23,V,PercentWeight,0,0,3.266538E-05,0,0,False,False
24,Cr,PercentWeight,0.002458209,0.002458209,0.0002114446,0,0,False,False
25,Mn,PercentWeight,0.1061016,0.1061016,0.0009334192,0,0,False,False
26,Fe,PercentWeight,0.02028683,0.02028683,0.0006473543,0,0,False,False
28,Ni,PercentWeight,0,0,7.925585E-05,0,0,False,False
29,Cu,PercentWeight,0.0005694128,0.0005694128,6.488332E-05,0,0,False,False
30,Zn,PercentWeight,0.002755128,0.002755128,9.537523E-05,0,0,False,False
33,As,PercentWeight,0,0,8.990848E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.561179E-05,0,0,False,False
35,Br,PercentWeight,0.0008049298,0.0008049298,0.0001039951,0,0,False,False
37,Rb,PercentWeight,0.0003129076,0.0003129076,0.0001300004,0,0,False,False
38,Sr,PercentWeight,0.01007318,0.01007318,0.000147713,0,0,False,False
42,Mo,PercentWeight,5.756542E-05,5.756542E-05,6.469284E-05,0,0,False,False
48,Cd,PercentWeight,0.0007136668,0.0007136668,0.0002086618,0,0,False,False
56,Ba,PercentWeight,0.004899491,0.004899491,0.003442562,0,0,False,False
80,Hg,PercentWeight,0,0,9.256364E-06,0,0,False,False
82,Pb,PercentWeight,0.0003683312,0.0003683312,0.0002790964,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1766374,,416634,
ValidCounts,1539613,,378237,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007755968,,0.0007755968,
ZeroOffsetInKeV,-0.0007755968,,-0.0007755968,
StartingChannel,0.03874168,,0.03874168,
NumberOfChannels,2048,,2048,
CountsPerSecond,41597.95,,45783.95,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 11:39:11 AM,,02/08/2023 11:39:11 AM,
LiveTimeInSeconds,38.207,,8.155001,
DeadTimeInSeconds,4.256001,,0.945,
ResetTimeInSeconds,4.407,,0.27,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.3,,96.3,
NosePressureInMilliBars,788.502,,788.502,
NoseTemperatureInC,32,,32,
ActiveTimeInSeconds,42.46301,,9.1,
PacketTimeInSeconds,46.87001,,9.370001,
CommunicationTimeInSeconds,3.12999,,0.6299992,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007755968,0,0.0007755968,0
2,0.0207953,0,0.0207953,0
3,0.040815,0,0.040815,0
4,0.0608347,0,0.0608347,0
5,0.0808544,0,0.0808544,0
6,0.1008741,0,0.1008741,0
7,0.1208938,0,0.1208938,0
8,0.1409135,0,0.1409135,0
9,0.1609332,0,0.1609332,0
10,0.1809529,0,0.1809529,0
11,0.2009726,0,0.2009726,0
12,0.2209923,0,0.2209923,0
13,0.241012,0,0.241012,0
14,0.2610317,0,0.2610317,0
15,0.2810514,0,0.2810514,0
16,0.3010711,3,0.3010711,1
17,0.3210908,121,0.3210908,21
18,0.3411105,1239,0.3411105,237
19,0.3611302,5734,0.3611302,1318
20,0.3811499,12574,0.3811499,2599
21,0.4011696,11748,0.4011696,2544
22,0.4211893,5206,0.4211893,1098
23,0.441209,1149,0.441209,246
24,0.4612287,120,0.4612287,19
25,0.4812484,11,0.4812484,1
26,0.5012681,5,0.5012681,0
27,0.5212878,6,0.5212878,0
28,0.5413075,1,0.5413075,0
29,0.5613272,5,0.5613272,0
30,0.5813469,3,0.5813469,0
31,0.6013666,2,0.6013666,0
32,0.6213863,3,0.6213863,0
33,0.641406,1,0.641406,0
34,0.6614257,4,0.6614257,0
35,0.6814454,722,0.6814454,9
36,0.7014651,717,0.7014651,16
37,0.7214848,727,0.7214848,12
38,0.7415045,708,0.7415045,15
39,0.7615243,682,0.7615243,15
40,0.7815439,721,0.7815439,17
41,0.8015636,674,0.8015636,10
42,0.8215833,720,0.8215833,18
43,0.841603,659,0.841603,22
44,0.8616228,668,0.8616228,23
45,0.8816425,687,0.8816425,25
46,0.9016622,666,0.9016622,50
47,0.9216818,645,0.9216818,57
48,0.9417015,638,0.9417015,63
49,0.9617212,649,0.9617212,60
50,0.981741,695,0.981741,52
51,1.001761,648,1.001761,33
52,1.02178,634,1.02178,28
53,1.0418,654,1.0418,21
54,1.06182,643,1.06182,33
55,1.081839,643,1.081839,36
56,1.101859,641,1.101859,35
57,1.121879,618,1.121879,35
58,1.141899,624,1.141899,28
59,1.161918,584,1.161918,24
60,1.181938,556,1.181938,35
61,1.201958,606,1.201958,39
62,1.221977,597,1.221977,35
63,1.241997,599,1.241997,32
64,1.262017,621,1.262017,22
65,1.282036,574,1.282036,32
66,1.302056,576,1.302056,14
67,1.322076,561,1.322076,26
68,1.342096,556,1.342096,18
69,1.362115,517,1.362115,15
70,1.382135,587,1.382135,17
71,1.402155,564,1.402155,20
72,1.422174,550,1.422174,23
73,1.442194,535,1.442194,26
74,1.462214,552,1.462214,48
75,1.482234,557,1.482234,61
76,1.502253,545,1.502253,60
77,1.522273,585,1.522273,87
78,1.542293,542,1.542293,103
79,1.562312,514,1.562312,142
80,1.582332,518,1.582332,94
81,1.602352,524,1.602352,67
82,1.622371,535,1.622371,40
83,1.642391,499,1.642391,36
84,1.662411,489,1.662411,29
85,1.682431,430,1.682431,38
86,1.70245,451,1.70245,78
87,1.72247,503,1.72247,110
88,1.74249,459,1.74249,91
89,1.762509,510,1.762509,80
90,1.782529,481,1.782529,72
91,1.802549,480,1.802549,56
92,1.822568,480,1.822568,56
93,1.842588,500,1.842588,49
94,1.862608,490,1.862608,58
95,1.882627,499,1.882627,90
96,1.902647,456,1.902647,114
97,1.922667,522,1.922667,224
98,1.942687,538,1.942687,329
99,1.962706,577,1.962706,542
100,1.982726,542,1.982726,766
101,2.002746,493,2.002746,906
102,2.022765,498,2.022765,826
103,2.042785,504,2.042785,649
104,2.062805,458,2.062805,353
105,2.082824,458,2.082824,221
106,2.102844,474,2.102844,136
107,2.122864,469,2.122864,108
108,2.142884,461,2.142884,108
109,2.162903,455,2.162903,81
110,2.182923,449,2.182923,99
111,2.202943,482,2.202943,131
112,2.222962,505,2.222962,162
113,2.242982,469,2.242982,337
114,2.263002,486,2.263002,592
115,2.283021,435,2.283021,903
116,2.303041,484,2.303041,1027
117,2.323061,460,2.323061,1012
118,2.343081,432,2.343081,755
119,2.3631,412,2.3631,506
120,2.38312,392,2.38312,319
121,2.40314,450,2.40314,196
122,2.423159,425,2.423159,180
123,2.443179,412,2.443179,177
124,2.463199,436,2.463199,215
125,2.483218,409,2.483218,184
126,2.503238,392,2.503238,189
127,2.523258,392,2.523258,188
128,2.543278,437,2.543278,187
129,2.563297,399,2.563297,223
130,2.583317,422,2.583317,301
131,2.603337,468,2.603337,560
132,2.623356,428,2.623356,1022
133,2.643376,433,2.643376,1660
134,2.663396,418,2.663396,2526
135,2.683415,360,2.683415,3080
136,2.703435,358,2.703435,3331
137,2.723455,344,2.723455,2767
138,2.743475,390,2.743475,2132
139,2.763494,342,2.763494,1412
140,2.783514,357,2.783514,1373
141,2.803534,386,2.803534,1544
142,2.823553,374,2.823553,1773
143,2.843573,367,2.843573,1976
144,2.863593,378,2.863593,1709
145,2.883613,374,2.883613,1580
146,2.903632,426,2.903632,1465
147,2.923652,456,2.923652,1507
148,2.943672,472,2.943672,1769
149,2.963691,460,2.963691,1656
150,2.983711,442,2.983711,1427
151,3.003731,401,3.003731,1143
152,3.023751,372,3.023751,799
153,3.04377,390,3.04377,502
154,3.06379,340,3.06379,361
155,3.08381,364,3.08381,312
156,3.103829,340,3.103829,310
157,3.123849,338,3.123849,295
158,3.143869,350,3.143869,333
159,3.163888,367,3.163888,413
160,3.183908,411,3.183908,507
161,3.203928,492,3.203928,677
162,3.223948,657,3.223948,1153
163,3.243967,908,3.243967,2119
164,3.263987,1399,3.263987,3785
165,3.284007,1799,3.284007,5482
166,3.304026,2058,3.304026,6805
167,3.324046,2049,3.324046,6923
168,3.344066,1733,3.344066,5719
169,3.364085,1259,3.364085,3972
170,3.384105,796,3.384105,2270
171,3.404125,535,3.404125,1134
