Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CT276PA0001-00036-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 12:03:38 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.703
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 17
UserCustomField,ID, 17
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.05111573,0.05111573,0.192631,0,0,False,False
13,Al,PercentWeight,0,0,0.02431073,0,0,False,False
14,Si,PercentWeight,0.02866091,0.02866091,0.009727946,0,0,False,False
15,P,PercentWeight,0.08908477,0.03658478,0.004546061,0,0,False,False
16,S,PercentWeight,0.1210177,0.07951774,0.002992972,0,0,False,False
17,Cl,PercentWeight,0.006619473,0.006619473,0.01240415,0,0,False,False
19,K,PercentWeight,0.7388818,0.6513819,0.003898944,0,0,False,False
20,Ca,PercentWeight,1.175567,1.175567,0.003643743,0,0,False,False
22,Ti,PercentWeight,0.001505086,0.001505086,0.0002401595,0,0,False,False
23,V,PercentWeight,0.0001029986,0.0001029986,3.503919E-05,0,0,False,False
24,Cr,PercentWeight,0.002082505,0.002082505,0.0002220668,0,0,False,False
25,Mn,PercentWeight,0.4836968,0.4836968,0.00179099,0,0,False,False
26,Fe,PercentWeight,0.00132019,0.00132019,0.0007516529,0,0,False,False
28,Ni,PercentWeight,0,0,8.428317E-05,0,0,False,False
29,Cu,PercentWeight,0.0005002049,0.0005002049,5.875809E-05,0,0,False,False
30,Zn,PercentWeight,0.003671736,0.003671736,9.379012E-05,0,0,False,False
33,As,PercentWeight,0,0,8.051936E-05,0,0,False,False
34,Se,PercentWeight,0.0001211143,0.0001211143,5.903921E-05,0,0,False,False
35,Br,PercentWeight,0.001803898,0.001803898,9.826027E-05,0,0,False,False
37,Rb,PercentWeight,0.001454664,0.001454664,0.0001236756,0,0,False,False
38,Sr,PercentWeight,0.01138608,0.01138608,0.0001401009,0,0,False,False
42,Mo,PercentWeight,0.0001744728,0.0001744728,7.104097E-05,0,0,False,False
48,Cd,PercentWeight,0.0006551764,0.0006551764,0.0002287453,0,0,False,False
56,Ba,PercentWeight,0.01894368,0.01894368,0.003177089,0,0,False,False
80,Hg,PercentWeight,0,0,9.701832E-06,0,0,False,False
82,Pb,PercentWeight,0.0001412057,0.0001412057,0.0002549229,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2070347,,516712,
ValidCounts,1775228,,457387,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0008293641,,0.0008293641,
ZeroOffsetInKeV,-0.0008293641,,-0.0008293641,
StartingChannel,0.0414274,,0.0414274,
NumberOfChannels,2048,,2048,
CountsPerSecond,49549.97,,57202.7,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 12:03:38 PM,,02/08/2023 12:03:38 PM,
LiveTimeInSeconds,36.832,,7.871001,
DeadTimeInSeconds,4.950999,,1.162,
ResetTimeInSeconds,5.080001,,0.331,
DetectorTempInC,-27,,-27,
AmbientTempInF,96.7,,96.7,
NosePressureInMilliBars,788.5652,,788.5652,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,41.78301,,9.033,
PacketTimeInSeconds,46.86301,,9.364,
CommunicationTimeInSeconds,3.13699,,0.6359997,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0008293641,0,0.0008293641,0
2,0.02084907,0,0.02084907,0
3,0.04086877,0,0.04086877,0
4,0.06088847,0,0.06088847,0
5,0.08090817,0,0.08090817,0
6,0.1009279,0,0.1009279,0
7,0.1209476,0,0.1209476,0
8,0.1409673,0,0.1409673,0
9,0.160987,0,0.160987,0
10,0.1810067,0,0.1810067,0
11,0.2010264,0,0.2010264,0
12,0.2210461,0,0.2210461,0
13,0.2410658,0,0.2410658,0
14,0.2610855,0,0.2610855,0
15,0.2811052,0,0.2811052,0
16,0.3011249,5,0.3011249,1
17,0.3211446,103,0.3211446,26
18,0.3411643,1167,0.3411643,245
19,0.361184,5688,0.361184,1167
20,0.3812037,11848,0.3812037,2571
21,0.4012234,11567,0.4012234,2429
22,0.4212431,4962,0.4212431,1130
23,0.4412628,1064,0.4412628,224
24,0.4612825,142,0.4612825,27
25,0.4813022,8,0.4813022,0
26,0.5013219,8,0.5013219,0
27,0.5213416,5,0.5213416,0
28,0.5413613,2,0.5413613,0
29,0.561381,3,0.561381,0
30,0.5814007,1,0.5814007,0
31,0.6014204,3,0.6014204,0
32,0.6214401,5,0.6214401,0
33,0.6414598,1,0.6414598,0
34,0.6614795,1,0.6614795,0
35,0.6814992,743,0.6814992,13
36,0.7015189,767,0.7015189,16
37,0.7215386,796,0.7215386,12
38,0.7415583,808,0.7415583,16
39,0.761578,782,0.761578,12
40,0.7815977,769,0.7815977,11
41,0.8016174,746,0.8016174,14
42,0.8216371,751,0.8216371,13
43,0.8416568,703,0.8416568,23
44,0.8616765,765,0.8616765,16
45,0.8816962,719,0.8816962,29
46,0.9017159,690,0.9017159,42
47,0.9217356,700,0.9217356,46
48,0.9417553,694,0.9417553,55
49,0.961775,655,0.961775,66
50,0.9817947,665,0.9817947,43
51,1.001814,686,1.001814,35
52,1.021834,660,1.021834,21
53,1.041854,713,1.041854,30
54,1.061874,709,1.061874,41
55,1.081893,676,1.081893,34
56,1.101913,681,1.101913,40
57,1.121933,674,1.121933,39
58,1.141952,671,1.141952,25
59,1.161972,668,1.161972,26
60,1.181992,670,1.181992,31
61,1.202011,650,1.202011,41
62,1.222031,672,1.222031,35
63,1.242051,641,1.242051,38
64,1.262071,634,1.262071,29
65,1.28209,638,1.28209,23
66,1.30211,610,1.30211,12
67,1.32213,648,1.32213,14
68,1.342149,573,1.342149,19
69,1.362169,594,1.362169,22
70,1.382189,554,1.382189,20
71,1.402208,565,1.402208,19
72,1.422228,583,1.422228,25
73,1.442248,584,1.442248,23
74,1.462268,623,1.462268,55
75,1.482287,611,1.482287,53
76,1.502307,631,1.502307,70
77,1.522327,555,1.522327,67
78,1.542346,558,1.542346,99
79,1.562366,563,1.562366,132
80,1.582386,585,1.582386,114
81,1.602405,548,1.602405,73
82,1.622425,559,1.622425,39
83,1.642445,541,1.642445,31
84,1.662464,545,1.662464,23
85,1.682484,524,1.682484,43
86,1.702504,524,1.702504,61
87,1.722524,488,1.722524,84
88,1.742543,521,1.742543,72
89,1.762563,531,1.762563,67
90,1.782583,530,1.782583,49
91,1.802602,511,1.802602,62
92,1.822622,526,1.822622,45
93,1.842642,575,1.842642,58
94,1.862662,590,1.862662,66
95,1.882681,560,1.882681,95
96,1.902701,569,1.902701,126
97,1.922721,575,1.922721,164
98,1.94274,590,1.94274,232
99,1.96276,550,1.96276,276
100,1.98278,509,1.98278,299
101,2.0028,524,2.0028,300
102,2.022819,535,2.022819,263
103,2.042839,527,2.042839,192
104,2.062859,495,2.062859,135
105,2.082878,526,2.082878,86
106,2.102898,502,2.102898,65
107,2.122918,493,2.122918,72
108,2.142937,520,2.142937,55
109,2.162957,484,2.162957,67
110,2.182977,448,2.182977,64
111,2.202996,469,2.202996,100
112,2.223016,493,2.223016,156
113,2.243036,453,2.243036,285
114,2.263056,470,2.263056,458
115,2.283075,500,2.283075,720
116,2.303095,488,2.303095,807
117,2.323115,473,2.323115,746
118,2.343134,464,2.343134,581
119,2.363154,452,2.363154,382
120,2.383174,464,2.383174,245
121,2.403193,395,2.403193,204
122,2.423213,465,2.423213,194
123,2.443233,444,2.443233,153
124,2.463253,469,2.463253,188
125,2.483272,452,2.483272,173
126,2.503292,451,2.503292,166
127,2.523312,405,2.523312,180
128,2.543331,433,2.543331,185
129,2.563351,465,2.563351,201
130,2.583371,425,2.583371,318
131,2.60339,468,2.60339,570
132,2.62341,471,2.62341,1010
133,2.64343,465,2.64343,1692
134,2.66345,459,2.66345,2480
135,2.683469,430,2.683469,3101
136,2.703489,413,2.703489,3247
137,2.723509,395,2.723509,2817
138,2.743528,428,2.743528,2043
139,2.763548,424,2.763548,1501
140,2.783568,392,2.783568,1356
141,2.803587,398,2.803587,1539
142,2.823607,443,2.823607,1844
143,2.843627,401,2.843627,1868
144,2.863647,371,2.863647,1690
145,2.883666,412,2.883666,1546
146,2.903686,484,2.903686,1435
147,2.923706,471,2.923706,1540
148,2.943725,488,2.943725,1607
149,2.963745,526,2.963745,1563
150,2.983765,491,2.983765,1348
151,3.003784,426,3.003784,1058
152,3.023804,429,3.023804,810
153,3.043824,383,3.043824,518
154,3.063844,412,3.063844,405
155,3.083863,399,3.083863,313
156,3.103883,362,3.103883,275
157,3.123903,353,3.123903,329
158,3.143922,402,3.143922,362
159,3.163942,365,3.163942,416
160,3.183962,421,3.183962,463
161,3.203982,501,3.203982,646
162,3.224001,663,3.224001,1197
163,3.244021,1043,3.244021,2246
164,3.264041,1461,3.264041,3860
165,3.28406,1881,3.28406,5577
166,3.30408,2275,3.30408,7101
167,3.3241,2268,3.3241,7088
168,3.34412,1887,3.34412,5989
169,3.364139,1313,3.364139,4256
170,3.384159,870,3.384159,2437
