Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CV002PA0688-00064-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 10:29:57 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.864
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,45
UserCustomField,ID,45
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.1917846,0.1917846,0.211016,0,0,False,False
13,Al,PercentWeight,0,0,0.02638421,0,0,False,False
14,Si,PercentWeight,0.1272966,0.1272966,0.01256676,0,0,False,False
15,P,PercentWeight,0.26861,0.21611,0.006480185,0,0,False,False
16,S,PercentWeight,0.3286974,0.2871974,0.004290749,0,0,False,False
17,Cl,PercentWeight,0.0842912,0.0842912,0.01339535,0,0,False,False
19,K,PercentWeight,1.349879,1.262379,0.005134266,0,0,False,False
20,Ca,PercentWeight,0.6445947,0.6445947,0.002841281,0,0,False,False
22,Ti,PercentWeight,0.001165579,0.001165579,0.0002206715,0,0,False,False
23,V,PercentWeight,0,0,3.273008E-05,0,0,False,False
24,Cr,PercentWeight,0.002312572,0.002312572,0.0002146956,0,0,False,False
25,Mn,PercentWeight,0.01748071,0.01748071,0.0004241361,0,0,False,False
26,Fe,PercentWeight,0.02607819,0.02607819,0.0005543354,0,0,False,False
28,Ni,PercentWeight,0,0,8.450772E-05,0,0,False,False
29,Cu,PercentWeight,0.001338419,0.001338419,6.704765E-05,0,0,False,False
30,Zn,PercentWeight,0.004484997,0.004484997,9.97441E-05,0,0,False,False
33,As,PercentWeight,0,0,7.894344E-05,0,0,False,False
34,Se,PercentWeight,0,0,6.006693E-05,0,0,False,False
35,Br,PercentWeight,0.001016289,0.001016289,9.441705E-05,0,0,False,False
37,Rb,PercentWeight,0.0009268284,0.0009268284,0.0001203069,0,0,False,False
38,Sr,PercentWeight,0.006219223,0.006219223,0.00012736,0,0,False,False
42,Mo,PercentWeight,0,0,7.315838E-05,0,0,False,False
48,Cd,PercentWeight,0.0004461738,0.0004461738,0.0002342208,0,0,False,False
56,Ba,PercentWeight,0.002607398,0.002607398,0.003018109,0,0,False,False
80,Hg,PercentWeight,0,0,9.918827E-06,0,0,False,False
82,Pb,PercentWeight,0,0,0.000250569,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2038094,,452109,
ValidCounts,1745877,,407171,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0009687985,,0.0009687985,
ZeroOffsetInKeV,-0.0009687985,,-0.0009687985,
StartingChannel,0.04839226,,0.04839226,
NumberOfChannels,2048,,2048,
CountsPerSecond,48889.23,,49753.38,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 10:29:57 AM,,03/08/2023 10:29:57 AM,
LiveTimeInSeconds,36.799,,8.065001,
DeadTimeInSeconds,4.889002,,1.022,
ResetTimeInSeconds,5.200002,,0.287,
DetectorTempInC,-27,,-27,
AmbientTempInF,92,,92,
NosePressureInMilliBars,788.7118,,788.7118,
NoseTemperatureInC,30,,30,
ActiveTimeInSeconds,41.68799,,9.087001,
PacketTimeInSeconds,46.88799,,9.374001,
CommunicationTimeInSeconds,3.112007,,0.6259995,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0009687985,0,0.0009687985,0
2,0.0209885,0,0.0209885,0
3,0.0410082,0,0.0410082,0
4,0.0610279,0,0.0610279,0
5,0.0810476,0,0.0810476,0
6,0.1010673,0,0.1010673,0
7,0.121087,0,0.121087,0
8,0.1411067,0,0.1411067,0
9,0.1611264,0,0.1611264,0
10,0.1811461,0,0.1811461,0
11,0.2011658,0,0.2011658,0
12,0.2211855,0,0.2211855,0
13,0.2412052,0,0.2412052,0
14,0.2612249,0,0.2612249,0
15,0.2812446,0,0.2812446,0
16,0.3012643,6,0.3012643,1
17,0.321284,115,0.321284,28
18,0.3413037,1234,0.3413037,233
19,0.3613234,5692,0.3613234,1212
20,0.3813431,11919,0.3813431,2649
21,0.4013628,11154,0.4013628,2490
22,0.4213825,5020,0.4213825,1160
23,0.4414022,1103,0.4414022,255
24,0.4614219,116,0.4614219,29
25,0.4814416,9,0.4814416,1
26,0.5014613,12,0.5014613,0
27,0.521481,6,0.521481,0
28,0.5415007,5,0.5415007,0
29,0.5615204,1,0.5615204,0
30,0.5815401,4,0.5815401,0
31,0.6015598,3,0.6015598,0
32,0.6215795,2,0.6215795,0
33,0.6415992,1,0.6415992,0
34,0.6616189,0,0.6616189,0
35,0.6816387,815,0.6816387,19
36,0.7016583,820,0.7016583,22
37,0.721678,837,0.721678,25
38,0.7416977,793,0.7416977,11
39,0.7617174,784,0.7617174,22
40,0.7817371,771,0.7817371,23
41,0.8017569,806,0.8017569,17
42,0.8217766,793,0.8217766,20
43,0.8417962,778,0.8417962,24
44,0.8618159,738,0.8618159,24
45,0.8818356,774,0.8818356,45
46,0.9018553,738,0.9018553,49
47,0.9218751,767,0.9218751,72
48,0.9418948,745,0.9418948,62
49,0.9619144,733,0.9619144,62
50,0.9819341,778,0.9819341,51
51,1.001954,716,1.001954,33
52,1.021973,730,1.021973,28
53,1.041993,708,1.041993,24
54,1.062013,695,1.062013,41
55,1.082033,727,1.082033,41
56,1.102052,704,1.102052,47
57,1.122072,690,1.122072,42
58,1.142092,660,1.142092,21
59,1.162111,674,1.162111,29
60,1.182131,698,1.182131,35
61,1.202151,687,1.202151,38
62,1.222171,691,1.222171,44
63,1.24219,641,1.24219,54
64,1.26221,668,1.26221,36
65,1.28223,653,1.28223,30
66,1.302249,619,1.302249,28
67,1.322269,641,1.322269,16
68,1.342289,647,1.342289,19
69,1.362309,631,1.362309,23
70,1.382328,626,1.382328,25
71,1.402348,615,1.402348,33
72,1.422368,578,1.422368,25
73,1.442387,588,1.442387,34
74,1.462407,639,1.462407,65
75,1.482427,628,1.482427,57
76,1.502446,629,1.502446,86
77,1.522466,645,1.522466,121
78,1.542486,642,1.542486,159
79,1.562505,589,1.562505,187
80,1.582525,586,1.582525,169
81,1.602545,561,1.602545,121
82,1.622565,538,1.622565,71
83,1.642584,543,1.642584,44
84,1.662604,556,1.662604,50
85,1.682624,539,1.682624,73
86,1.702643,544,1.702643,110
87,1.722663,606,1.722663,159
88,1.742683,529,1.742683,159
89,1.762702,574,1.762702,150
90,1.782722,493,1.782722,104
91,1.802742,501,1.802742,80
92,1.822762,529,1.822762,61
93,1.842781,546,1.842781,69
94,1.862801,617,1.862801,64
95,1.882821,594,1.882821,74
96,1.90284,542,1.90284,88
97,1.92286,604,1.92286,174
98,1.94288,562,1.94288,253
99,1.962899,577,1.962899,445
100,1.982919,543,1.982919,602
101,2.002939,608,2.002939,709
102,2.022959,536,2.022959,673
103,2.042978,554,2.042978,549
104,2.062998,516,2.062998,335
105,2.083018,535,2.083018,188
106,2.103037,520,2.103037,108
107,2.123057,488,2.123057,103
108,2.143077,497,2.143077,88
109,2.163096,524,2.163096,93
110,2.183116,441,2.183116,103
111,2.203136,539,2.203136,133
112,2.223155,514,2.223155,262
113,2.243175,490,2.243175,556
114,2.263195,524,2.263195,1139
115,2.283215,511,2.283215,1598
116,2.303234,537,2.303234,1927
117,2.323254,519,2.323254,1858
118,2.343274,542,2.343274,1308
119,2.363293,492,2.363293,858
120,2.383313,469,2.383313,463
121,2.403333,497,2.403333,324
122,2.423353,483,2.423353,267
123,2.443372,445,2.443372,261
124,2.463392,481,2.463392,245
125,2.483412,483,2.483412,247
126,2.503431,469,2.503431,274
127,2.523451,476,2.523451,203
128,2.543471,469,2.543471,283
129,2.563491,482,2.563491,392
130,2.58351,511,2.58351,729
131,2.60353,496,2.60353,962
132,2.62355,511,2.62355,1569
133,2.643569,516,2.643569,2084
134,2.663589,466,2.663589,2865
135,2.683609,445,2.683609,3313
136,2.703629,453,2.703629,3343
137,2.723648,414,2.723648,2928
138,2.743668,423,2.743668,2092
139,2.763688,423,2.763688,1592
140,2.783707,410,2.783707,1402
141,2.803727,395,2.803727,1656
142,2.823747,418,2.823747,1869
143,2.843766,433,2.843766,1999
144,2.863786,413,2.863786,1825
145,2.883806,424,2.883806,1549
146,2.903826,439,2.903826,1520
147,2.923845,505,2.923845,1533
148,2.943865,531,2.943865,1576
149,2.963885,505,2.963885,1642
150,2.983904,534,2.983904,1445
151,3.003924,434,3.003924,1104
152,3.023944,423,3.023944,797
153,3.043963,366,3.043963,561
154,3.063983,390,3.063983,383
155,3.084003,327,3.084003,329
156,3.104023,375,3.104023,297
157,3.124042,384,3.124042,372
158,3.144062,416,3.144062,375
159,3.164082,402,3.164082,449
160,3.184101,459,3.184101,587
161,3.204121,555,3.204121,946
162,3.224141,817,3.224141,1933
163,3.24416,1361,3.24416,3730
164,3.26418,2094,3.26418,6786
165,3.2842,2952,3.2842,10161
166,3.304219,3372,3.304219,12573
167,3.324239,3303,3.324239,12923
168,3.344259,2799,3.344259,10519
169,3.364279,2007,3.364279,7296
170,3.384298,1252,3.384298,4156
171,3.404318,778,3.404318,2064
172,3.424338,568,3.424338,898
