Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CV002PA0736-00005-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,01/08/2023 3:51:02 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,44.443
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,CT006PA0024 18
UserCustomField,ID,CT006PA0024 18
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.3069751,0.3069751,0.2276846,0,0,False,False
13,Al,PercentWeight,0.05882918,0.05882918,0.02943529,0,0,False,False
14,Si,PercentWeight,0.6416356,0.6416356,0.01902656,0,0,False,False
15,P,PercentWeight,0.1311397,0.07863975,0.005376781,0,0,False,False
16,S,PercentWeight,0.4484647,0.4069647,0.004934425,0,0,False,False
17,Cl,PercentWeight,0.3451469,0.3451469,0.01636868,0,0,False,False
19,K,PercentWeight,1.055684,0.9681841,0.004346964,0,0,False,False
20,Ca,PercentWeight,1.33258,1.33258,0.003851099,0,0,False,False
22,Ti,PercentWeight,0.001586255,0.001586255,0.000224256,0,0,False,False
23,V,PercentWeight,0,0,3.232374E-05,0,0,False,False
24,Cr,PercentWeight,0.002210505,0.002210505,0.0002104475,0,0,False,False
25,Mn,PercentWeight,0.07640161,0.07640161,0.0008195723,0,0,False,False
26,Fe,PercentWeight,0.05381984,0.05381984,0.000736301,0,0,False,False
28,Ni,PercentWeight,0,0,8.753036E-05,0,0,False,False
29,Cu,PercentWeight,0.1216779,0.1216779,0.0004142002,0,0,False,False
30,Zn,PercentWeight,0,0,0.0001219061,0,0,False,False
33,As,PercentWeight,0,0,8.088904E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.770882E-05,0,0,False,False
35,Br,PercentWeight,0.001707093,0.001707093,9.967238E-05,0,0,False,False
37,Rb,PercentWeight,0.0001682247,0.0001682247,0.0001222808,0,0,False,False
38,Sr,PercentWeight,0.0120123,0.0120123,0.0001439984,0,0,False,False
42,Mo,PercentWeight,0,0,7.148086E-05,0,0,False,False
48,Cd,PercentWeight,0.0001709023,0.0001709023,0.0002334841,0,0,False,False
56,Ba,PercentWeight,0.003507829,0.003507829,0.003207506,0,0,False,False
80,Hg,PercentWeight,0,0,9.532962E-06,0,0,False,False
82,Pb,PercentWeight,6.794033E-05,6.794033E-05,0.0002565506,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,2129908,,507605,
ValidCounts,1821420,,450811,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007877643,,0.0007877643,
ZeroOffsetInKeV,-0.0007877643,,-0.0007877643,
StartingChannel,0.03934945,,0.03934945,
NumberOfChannels,2048,,2048,
CountsPerSecond,51171.41,,56126.16,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,01/08/2023 3:51:02 PM,,01/08/2023 3:51:02 PM,
LiveTimeInSeconds,36.542,,7.901,
DeadTimeInSeconds,5.081002,,1.143,
ResetTimeInSeconds,5.199002,,0.315,
DetectorTempInC,-27,,-27,
AmbientTempInF,97.2,,97.2,
NosePressureInMilliBars,784.317,,784.317,
NoseTemperatureInC,32,,32,
ActiveTimeInSeconds,41.62301,,9.044001,
PacketTimeInSeconds,46.82201,,9.359,
CommunicationTimeInSeconds,3.17799,,0.6409998,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007877643,0,0.0007877643,0
2,0.02080747,0,0.02080747,0
3,0.04082717,0,0.04082717,0
4,0.06084687,0,0.06084687,0
5,0.08086657,0,0.08086657,0
6,0.1008863,0,0.1008863,0
7,0.120906,0,0.120906,0
8,0.1409257,0,0.1409257,0
9,0.1609454,0,0.1609454,0
10,0.1809651,0,0.1809651,0
11,0.2009848,0,0.2009848,0
12,0.2210045,0,0.2210045,0
13,0.2410242,0,0.2410242,0
14,0.2610439,0,0.2610439,0
15,0.2810636,1,0.2810636,0
16,0.3010833,8,0.3010833,0
17,0.321103,115,0.321103,21
18,0.3411227,1205,0.3411227,225
19,0.3611424,5585,0.3611424,1196
20,0.3811621,11711,0.3811621,2576
21,0.4011818,11326,0.4011818,2436
22,0.4212015,5006,0.4212015,1117
23,0.4412212,1056,0.4412212,233
24,0.4612409,116,0.4612409,26
25,0.4812606,13,0.4812606,4
26,0.5012803,7,0.5012803,0
27,0.5213,2,0.5213,0
28,0.5413197,4,0.5413197,0
29,0.5613394,4,0.5613394,0
30,0.5813591,4,0.5813591,0
31,0.6013788,2,0.6013788,0
32,0.6213985,1,0.6213985,0
33,0.6414182,2,0.6414182,0
34,0.6614379,2,0.6614379,0
35,0.6814576,775,0.6814576,16
36,0.7014773,814,0.7014773,27
37,0.721497,756,0.721497,16
38,0.7415167,790,0.7415167,15
39,0.7615364,708,0.7615364,17
40,0.7815561,793,0.7815561,24
41,0.8015758,777,0.8015758,20
42,0.8215955,716,0.8215955,35
43,0.8416152,723,0.8416152,50
44,0.8616349,771,0.8616349,61
45,0.8816546,742,0.8816546,67
46,0.9016743,750,0.9016743,61
47,0.921694,720,0.921694,59
48,0.9417137,714,0.9417137,88
49,0.9617334,714,0.9617334,63
50,0.9817531,649,0.9817531,47
51,1.001773,727,1.001773,31
52,1.021793,691,1.021793,29
53,1.041812,686,1.041812,23
54,1.061832,723,1.061832,43
55,1.081852,654,1.081852,54
56,1.101871,714,1.101871,47
57,1.121891,630,1.121891,54
58,1.141911,715,1.141911,33
59,1.16193,651,1.16193,28
60,1.18195,642,1.18195,42
61,1.20197,658,1.20197,37
62,1.22199,695,1.22199,52
63,1.242009,661,1.242009,49
64,1.262029,656,1.262029,49
65,1.282049,626,1.282049,36
66,1.302068,627,1.302068,22
67,1.322088,614,1.322088,31
68,1.342108,563,1.342108,22
69,1.362127,616,1.362127,24
70,1.382147,605,1.382147,27
71,1.402167,640,1.402167,30
72,1.422186,583,1.422186,43
73,1.442206,577,1.442206,50
74,1.462226,595,1.462226,69
75,1.482246,631,1.482246,82
76,1.502265,608,1.502265,95
77,1.522285,567,1.522285,106
78,1.542305,619,1.542305,122
79,1.562324,626,1.562324,139
80,1.582344,559,1.582344,128
81,1.602364,551,1.602364,92
82,1.622384,549,1.622384,56
83,1.642403,582,1.642403,46
84,1.662423,508,1.662423,74
85,1.682443,561,1.682443,196
86,1.702462,521,1.702462,299
87,1.722482,554,1.722482,462
88,1.742502,506,1.742502,499
89,1.762522,544,1.762522,389
90,1.782541,570,1.782541,277
91,1.802561,564,1.802561,145
92,1.822581,529,1.822581,110
93,1.8426,590,1.8426,100
94,1.86262,619,1.86262,94
95,1.88264,520,1.88264,103
96,1.902659,578,1.902659,152
97,1.922679,609,1.922679,225
98,1.942699,567,1.942699,280
99,1.962718,584,1.962718,346
100,1.982738,533,1.982738,396
101,2.002758,564,2.002758,453
102,2.022778,507,2.022778,371
103,2.042797,505,2.042797,302
104,2.062817,501,2.062817,176
105,2.082837,522,2.082837,126
106,2.102856,524,2.102856,80
107,2.122876,492,2.122876,96
108,2.142896,481,2.142896,63
109,2.162915,490,2.162915,99
110,2.182935,469,2.182935,125
111,2.202955,497,2.202955,153
112,2.222975,505,2.222975,363
113,2.242994,534,2.242994,731
114,2.263014,520,2.263014,1428
115,2.283034,591,2.283034,2158
116,2.303053,608,2.303053,2561
117,2.323073,503,2.323073,2383
118,2.343093,533,2.343093,1735
119,2.363112,493,2.363112,1018
120,2.383132,463,2.383132,544
121,2.403152,463,2.403152,333
122,2.423172,485,2.423172,279
123,2.443191,480,2.443191,297
124,2.463211,440,2.463211,321
125,2.483231,468,2.483231,312
126,2.50325,441,2.50325,274
127,2.52327,456,2.52327,341
128,2.54329,445,2.54329,516
129,2.563309,536,2.563309,940
130,2.583329,584,2.583329,1598
131,2.603349,682,2.603349,2372
132,2.623369,609,2.623369,3080
133,2.643388,667,2.643388,3394
134,2.663408,513,2.663408,3618
135,2.683428,529,2.683428,3796
136,2.703447,478,2.703447,3419
137,2.723467,382,2.723467,2890
138,2.743487,392,2.743487,2144
139,2.763506,432,2.763506,1562
140,2.783526,361,2.783526,1514
141,2.803546,414,2.803546,1650
142,2.823566,424,2.823566,1973
143,2.843585,429,2.843585,1942
144,2.863605,408,2.863605,1684
145,2.883625,416,2.883625,1504
146,2.903644,444,2.903644,1478
147,2.923664,492,2.923664,1480
148,2.943684,505,2.943684,1615
149,2.963703,519,2.963703,1603
150,2.983723,484,2.983723,1408
151,3.003743,493,3.003743,1094
152,3.023763,379,3.023763,730
153,3.043782,437,3.043782,536
154,3.063802,388,3.063802,376
155,3.083822,377,3.083822,320
156,3.103841,407,3.103841,309
157,3.123861,370,3.123861,330
158,3.143881,405,3.143881,355
159,3.163901,401,3.163901,389
160,3.18392,422,3.18392,495
161,3.20394,535,3.20394,764
162,3.22396,751,3.22396,1264
163,3.243979,1134,3.243979,2501
164,3.263999,1685,3.263999,4333
165,3.284019,2271,3.284019,6675
166,3.304039,2611,3.304039,8204
167,3.324058,2447,3.324058,8182
168,3.344078,2026,3.344078,6858
169,3.364098,1465,3.364098,4678
170,3.384117,974,3.384117,2737
171,3.404137,560,3.404137,1426
