Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\CW129PA0001-00022-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,02/08/2023 10:04:30 AM
TotalElapsedTimeInSeconds,60
TotalLiveTime,46.656
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name, 3
UserCustomField,ID, 3
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.4650158,0.4650158,0.2262822,0,0,False,False
13,Al,PercentWeight,0.03203967,0.03203967,0.0291145,0,0,False,False
14,Si,PercentWeight,0.3552234,0.3552234,0.01525414,0,0,False,False
15,P,PercentWeight,0.3573059,0.3048059,0.007045213,0,0,False,False
16,S,PercentWeight,0.2131609,0.1716609,0.003849051,0,0,False,False
17,Cl,PercentWeight,0.9902764,0.9902764,0.02173409,0,0,False,False
19,K,PercentWeight,2.538995,2.451495,0.00650483,0,0,False,False
20,Ca,PercentWeight,0.6920756,0.6920756,0.002965222,0,0,False,False
22,Ti,PercentWeight,0.0007285497,0.0007285497,0.0002040421,0,0,False,False
23,V,PercentWeight,9.323706E-05,9.323706E-05,2.993868E-05,0,0,False,False
24,Cr,PercentWeight,0.002372896,0.002372896,0.0001936037,0,0,False,False
25,Mn,PercentWeight,0.03032772,0.03032772,0.0006109028,0,0,False,False
26,Fe,PercentWeight,0.04344981,0.04344981,0.0007364305,0,0,False,False
28,Ni,PercentWeight,0,0,7.685262E-05,0,0,False,False
29,Cu,PercentWeight,0.001656852,0.001656852,7.952248E-05,0,0,False,False
30,Zn,PercentWeight,0.003242254,0.003242254,0.0001059294,0,0,False,False
33,As,PercentWeight,0,0,9.04256E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.090169E-05,0,0,False,False
35,Br,PercentWeight,0.003065037,0.003065037,0.000116089,0,0,False,False
37,Rb,PercentWeight,0.004800876,0.004800876,0.0001490467,0,0,False,False
38,Sr,PercentWeight,0.002098565,0.002098565,0.0001339469,0,0,False,False
42,Mo,PercentWeight,0,0,6.12381E-05,0,0,False,False
48,Cd,PercentWeight,0.0006355888,0.0006355888,0.0002017664,0,0,False,False
56,Ba,PercentWeight,0.002419229,0.002419229,0.003647948,0,0,False,False
80,Hg,PercentWeight,0,0,8.391892E-06,0,0,False,False
82,Pb,PercentWeight,0.0004318558,0.0004318558,0.000287949,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1675336,,484791,
ValidCounts,1468018,,433391,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007434216,,0.0007434216,
ZeroOffsetInKeV,-0.0007434216,,-0.0007434216,
StartingChannel,0.0371345,,0.0371345,
NumberOfChannels,2048,,2048,
CountsPerSecond,39242.39,,53285.45,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,02/08/2023 10:04:30 AM,,02/08/2023 10:04:30 AM,
LiveTimeInSeconds,38.649,,8.007001,
DeadTimeInSeconds,4.043001,,1.091,
ResetTimeInSeconds,4.158,,0.269,
DetectorTempInC,-27,,-27,
AmbientTempInF,92.7,,92.7,
NosePressureInMilliBars,788.5423,,788.5423,
NoseTemperatureInC,30,,30,
ActiveTimeInSeconds,42.692,,9.098001,
PacketTimeInSeconds,46.85,,9.367001,
CommunicationTimeInSeconds,3.149998,,0.6329994,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007434216,0,0.0007434216,0
2,0.02076312,0,0.02076312,0
3,0.04078282,0,0.04078282,0
4,0.06080252,0,0.06080252,0
5,0.08082222,0,0.08082222,0
6,0.1008419,0,0.1008419,0
7,0.1208616,0,0.1208616,0
8,0.1408813,0,0.1408813,0
9,0.160901,0,0.160901,0
10,0.1809207,0,0.1809207,0
11,0.2009404,0,0.2009404,0
12,0.2209601,0,0.2209601,0
13,0.2409798,0,0.2409798,0
14,0.2609995,0,0.2609995,0
15,0.2810192,0,0.2810192,0
16,0.301039,9,0.301039,2
17,0.3210586,114,0.3210586,25
18,0.3410783,1316,0.3410783,236
19,0.3610981,5911,0.3610981,1236
20,0.3811177,12435,0.3811177,2585
21,0.4011374,11982,0.4011374,2519
22,0.4211572,5411,0.4211572,1138
23,0.4411768,1114,0.4411768,240
24,0.4611965,125,0.4611965,21
25,0.4812163,10,0.4812163,2
26,0.501236,4,0.501236,0
27,0.5212557,3,0.5212557,0
28,0.5412753,5,0.5412753,0
29,0.561295,3,0.561295,0
30,0.5813147,4,0.5813147,0
31,0.6013345,1,0.6013345,0
32,0.6213542,3,0.6213542,0
33,0.6413739,0,0.6413739,0
34,0.6613936,4,0.6613936,0
35,0.6814132,746,0.6814132,17
36,0.7014329,705,0.7014329,23
37,0.7214527,667,0.7214527,20
38,0.7414724,671,0.7414724,21
39,0.7614921,694,0.7614921,26
40,0.7815118,667,0.7815118,26
41,0.8015314,672,0.8015314,38
42,0.8215511,637,0.8215511,71
43,0.8415709,653,0.8415709,86
44,0.8615906,659,0.8615906,134
45,0.8816103,676,0.8816103,138
46,0.90163,655,0.90163,92
47,0.9216497,620,0.9216497,92
48,0.9416693,597,0.9416693,89
49,0.9616891,619,0.9616891,81
50,0.9817088,647,0.9817088,52
51,1.001728,621,1.001728,35
52,1.021748,660,1.021748,23
53,1.041768,623,1.041768,52
54,1.061788,626,1.061788,48
55,1.081807,612,1.081807,54
56,1.101827,625,1.101827,50
57,1.121847,605,1.121847,47
58,1.141866,630,1.141866,33
59,1.161886,587,1.161886,37
60,1.181906,591,1.181906,46
61,1.201926,589,1.201926,46
62,1.221945,570,1.221945,53
63,1.241965,556,1.241965,44
64,1.261985,584,1.261985,40
65,1.282004,552,1.282004,40
66,1.302024,578,1.302024,29
67,1.322044,568,1.322044,23
68,1.342063,544,1.342063,23
69,1.362083,549,1.362083,24
70,1.382103,527,1.382103,19
71,1.402122,561,1.402122,30
72,1.422142,547,1.422142,33
73,1.442162,514,1.442162,65
74,1.462182,532,1.462182,65
75,1.482201,514,1.482201,83
76,1.502221,555,1.502221,136
77,1.522241,514,1.522241,173
78,1.54226,570,1.54226,242
79,1.56228,593,1.56228,268
80,1.5823,631,1.5823,252
81,1.602319,509,1.602319,196
82,1.622339,519,1.622339,103
83,1.642359,482,1.642359,54
84,1.662379,472,1.662379,73
85,1.682398,491,1.682398,116
86,1.702418,470,1.702418,190
87,1.722438,500,1.722438,306
88,1.742457,487,1.742457,283
89,1.762477,470,1.762477,239
90,1.782497,489,1.782497,182
91,1.802516,430,1.802516,127
92,1.822536,453,1.822536,87
93,1.842556,529,1.842556,82
94,1.862576,475,1.862576,79
95,1.882595,538,1.882595,109
96,1.902615,525,1.902615,98
97,1.922635,457,1.922635,198
98,1.942654,498,1.942654,337
99,1.962674,498,1.962674,566
100,1.982694,512,1.982694,780
101,2.002713,503,2.002713,847
102,2.022733,442,2.022733,872
103,2.042753,466,2.042753,620
104,2.062773,503,2.062773,378
105,2.082792,498,2.082792,227
106,2.102812,481,2.102812,149
107,2.122832,491,2.122832,123
108,2.142851,425,2.142851,112
109,2.162871,427,2.162871,105
110,2.182891,455,2.182891,106
111,2.20291,423,2.20291,141
112,2.22293,424,2.22293,273
113,2.24295,463,2.24295,452
114,2.26297,441,2.26297,908
115,2.282989,451,2.282989,1264
116,2.303009,502,2.303009,1586
117,2.323029,446,2.323029,1435
118,2.343048,474,2.343048,1080
119,2.363068,393,2.363068,644
120,2.383088,409,2.383088,424
121,2.403108,408,2.403108,277
122,2.423127,418,2.423127,229
123,2.443147,410,2.443147,242
124,2.463167,365,2.463167,257
125,2.483186,431,2.483186,276
126,2.503206,394,2.503206,330
127,2.523226,421,2.523226,586
128,2.543246,452,2.543246,1206
129,2.563265,631,2.563265,2397
130,2.583285,764,2.583285,3961
131,2.603305,840,2.603305,5759
132,2.623324,890,2.623324,6732
133,2.643344,851,2.643344,6772
134,2.663364,678,2.663364,6021
135,2.683383,540,2.683383,5040
136,2.703403,435,2.703403,4170
137,2.723423,431,2.723423,3166
138,2.743443,430,2.743443,2315
139,2.763462,427,2.763462,1791
140,2.783482,407,2.783482,1841
141,2.803502,445,2.803502,2132
142,2.823521,437,2.823521,2341
143,2.843541,404,2.843541,2307
144,2.863561,402,2.863561,2065
145,2.88358,440,2.88358,1669
146,2.9036,406,2.9036,1535
147,2.92362,452,2.92362,1499
148,2.94364,481,2.94364,1657
149,2.963659,469,2.963659,1623
150,2.983679,451,2.983679,1442
151,3.003699,425,3.003699,1127
152,3.023718,386,3.023718,749
153,3.043738,333,3.043738,516
154,3.063758,341,3.063758,402
155,3.083777,313,3.083777,293
156,3.103797,325,3.103797,337
157,3.123817,348,3.123817,345
158,3.143836,374,3.143836,374
159,3.163856,359,3.163856,471
160,3.183876,477,3.183876,692
161,3.203896,628,3.203896,1240
162,3.223915,1017,3.223915,2588
163,3.243935,1849,3.243935,5536
164,3.263955,3029,3.263955,9941
165,3.283974,4280,3.283974,15208
166,3.303994,5086,3.303994,18654
167,3.324014,5228,3.324014,19036
168,3.344033,4274,3.344033,15927
169,3.364053,2925,3.364053,10644
170,3.384073,1774,3.384073,6005
