Bruker AXS HMP Instrument Tools Complete CSV
FileType,PdzV25
FileName,C:\Users\ALPHA\Documents\DS-RL78 -XRF Plant Spectras for Modelling\FA616-274PA0001-00077-PlantsF1.pdz
SerialString,SK2-7218
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,03/08/2023 12:41:23 PM
TotalElapsedTimeInSeconds,60
TotalLiveTime,47.228
ApplicationName,PlantsF1
AnodeTakeOffAngle,45
SampleIncidenceAngle,45
BeThicknessInMicroMeters,125
SampleTakeOffAngle,65
DetectorModel:SDD
TubeType:NSI
SpotSizeUsed:5
SpotSizeRequested:5
CollimatorType:Fixed
NumberOfUserCustomFields,3
UserCustomFieldHeader,FieldName,FieldValue
UserCustomField,Operator,Supervisor
UserCustomField,Name,58
UserCustomField,ID,58
AnalysisMode,32
AnalysisType,1
UsedAutoCalSelect,False
ResultUnits,PercentWeight
ErrorMultiplier,2
CalFileName,PlantsF1
CalPackageName,
CalPackagePartNumber,
TypeStandardizationSetName,slope 1 offset difference
NumberOfElementsInCalculatedResults,26
CalculatedResults:AtomicNum,ElementSymbol,Units,Value,TypeStandardizedValue,Error,RangeMin,RangeMax,Tramp,Nominal
12,Mg,PercentWeight,0.01338229,0.01338229,0.1843685,0,0,False,False
13,Al,PercentWeight,0,0,0.02451517,0,0,False,False
14,Si,PercentWeight,0.07119692,0.07119692,0.01007018,0,0,False,False
15,P,PercentWeight,0.1382386,0.08573863,0.004807815,0,0,False,False
16,S,PercentWeight,0.2952541,0.253754,0.003949943,0,0,False,False
17,Cl,PercentWeight,0.02594039,0.02594039,0.01204216,0,0,False,False
19,K,PercentWeight,1.233647,1.146147,0.004864382,0,0,False,False
20,Ca,PercentWeight,0.2312244,0.2312244,0.001814519,0,0,False,False
22,Ti,PercentWeight,0.0004804273,0.0004804273,0.0002058117,0,0,False,False
23,V,PercentWeight,0,0,3.155885E-05,0,0,False,False
24,Cr,PercentWeight,0.002271895,0.002271895,0.0002043594,0,0,False,False
25,Mn,PercentWeight,0.04303443,0.04303443,0.0006508601,0,0,False,False
26,Fe,PercentWeight,0.01200249,0.01200249,0.0005902827,0,0,False,False
28,Ni,PercentWeight,0,0,7.679475E-05,0,0,False,False
29,Cu,PercentWeight,0.01360305,0.01360305,0.0001659584,0,0,False,False
30,Zn,PercentWeight,0.00862533,0.00862533,0.0001513197,0,0,False,False
33,As,PercentWeight,0,0,9.602348E-05,0,0,False,False
34,Se,PercentWeight,0,0,5.261229E-05,0,0,False,False
35,Br,PercentWeight,0.0009385234,0.0009385234,0.0001130676,0,0,False,False
37,Rb,PercentWeight,0.002042635,0.002042635,0.0001449576,0,0,False,False
38,Sr,PercentWeight,0.001509348,0.001509348,0.0001373137,0,0,False,False
42,Mo,PercentWeight,0,0,6.112447E-05,0,0,False,False
48,Cd,PercentWeight,0.0002650557,0.0002650557,0.000198326,0,0,False,False
56,Ba,PercentWeight,0.00132936,0.00132936,0.003656038,0,0,False,False
80,Hg,PercentWeight,0,0,8.6312E-06,0,0,False,False
82,Pb,PercentWeight,0,0,0.000298974,0,0,False,False
MatchSpreadThreshold,0.05
IsTrampEnabled,False
IsNominalEnabled,False
NumberOfGradeIDMatchResults,3
GradeIDMatchResultsHeader,GradeID,MatchConfidence
GradeIDMatchResult,,0
GradeIDMatchResult,,0
GradeIDMatchResult,,0
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
XrayVoltageInkV,50,,15,
XrayFilamentCurrentInMicroAmps,34.85,,43.4,
RawCounts,1620299,,376897,
ValidCounts,1423311,,345363,
eVPerChannel,20.0197,,20.0197,
StartingKeV,0.0007655746,,0.0007655746,
ZeroOffsetInKeV,-0.0007655746,,-0.0007655746,
StartingChannel,0.03824106,,0.03824106,
NumberOfChannels,2048,,2048,
CountsPerSecond,37794.75,,41281.16,
XilinxFirmwareVersion,0,,0,
IlluminationID,Plants_50,,Plants_15,
Filter1ElementAtomicNum,22,,0,
Filter1Thickness,25,,0,
Filter2ElementAtomicNum,13,,0,
Filter2Thickness,300,,0,
Filter3ElementAtomicNum,0,,0,
Filter3Thickness,0,,0,
AcquisitionDateTime,03/08/2023 12:41:23 PM,,03/08/2023 12:41:23 PM,
LiveTimeInSeconds,38.956,,8.272001,
DeadTimeInSeconds,3.915,,0.858,
ResetTimeInSeconds,4.034,,0.24,
DetectorTempInC,-27,,-27,
AmbientTempInF,98.1,,98.1,
NosePressureInMilliBars,788.64,,788.64,
NoseTemperatureInC,33,,33,
ActiveTimeInSeconds,42.871,,9.130001,
PacketTimeInSeconds,46.905,,9.370001,
CommunicationTimeInSeconds,3.094997,,0.6299992,
ElapsedClockTimeInSeconds,50,,10,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount,ChannelStartInKeV,ChannelCount
1,0.0007655746,0,0.0007655746,0
2,0.02078528,0,0.02078528,0
3,0.04080498,0,0.04080498,0
4,0.06082468,0,0.06082468,0
5,0.08084438,0,0.08084438,0
6,0.1008641,0,0.1008641,0
7,0.1208838,0,0.1208838,0
8,0.1409035,0,0.1409035,0
9,0.1609232,0,0.1609232,0
10,0.1809429,0,0.1809429,0
11,0.2009626,0,0.2009626,0
12,0.2209823,0,0.2209823,0
13,0.241002,0,0.241002,0
14,0.2610217,0,0.2610217,0
15,0.2810414,0,0.2810414,0
16,0.3010611,3,0.3010611,1
17,0.3210808,133,0.3210808,21
18,0.3411005,1270,0.3411005,250
19,0.3611202,5908,0.3611202,1215
20,0.3811399,12518,0.3811399,2643
21,0.4011596,12306,0.4011596,2664
22,0.4211793,5236,0.4211793,1120
23,0.441199,1117,0.441199,233
24,0.4612187,112,0.4612187,14
25,0.4812384,10,0.4812384,2
26,0.5012581,9,0.5012581,0
27,0.5212778,2,0.5212778,0
28,0.5412975,2,0.5412975,1
29,0.5613172,4,0.5613172,0
30,0.5813369,3,0.5813369,0
31,0.6013566,2,0.6013566,0
32,0.6213763,3,0.6213763,0
33,0.641396,1,0.641396,0
34,0.6614157,0,0.6614157,0
35,0.6814354,706,0.6814354,12
36,0.7014551,697,0.7014551,12
37,0.7214748,665,0.7214748,14
38,0.7414945,669,0.7414945,17
39,0.7615142,677,0.7615142,10
40,0.7815339,663,0.7815339,10
41,0.8015536,619,0.8015536,9
42,0.8215733,648,0.8215733,18
43,0.841593,640,0.841593,18
44,0.8616127,672,0.8616127,14
45,0.8816324,654,0.8816324,27
46,0.9016521,624,0.9016521,32
47,0.9216718,673,0.9216718,53
48,0.9416915,606,0.9416915,68
49,0.9617112,637,0.9617112,51
50,0.9817309,620,0.9817309,51
51,1.001751,616,1.001751,32
52,1.02177,637,1.02177,25
53,1.04179,573,1.04179,34
54,1.06181,583,1.06181,31
55,1.081829,623,1.081829,52
56,1.101849,604,1.101849,28
57,1.121869,592,1.121869,38
58,1.141888,560,1.141888,34
59,1.161908,573,1.161908,38
60,1.181928,584,1.181928,32
61,1.201948,574,1.201948,32
62,1.221967,573,1.221967,45
63,1.241987,547,1.241987,38
64,1.262007,508,1.262007,23
65,1.282026,538,1.282026,18
66,1.302046,538,1.302046,18
67,1.322066,547,1.322066,19
68,1.342086,501,1.342086,19
69,1.362105,507,1.362105,17
70,1.382125,553,1.382125,24
71,1.402145,524,1.402145,22
72,1.422164,503,1.422164,28
73,1.442184,522,1.442184,48
74,1.462204,498,1.462204,45
75,1.482223,535,1.482223,56
76,1.502243,521,1.502243,95
77,1.522263,542,1.522263,101
78,1.542283,517,1.542283,171
79,1.562302,550,1.562302,216
80,1.582322,480,1.582322,167
81,1.602342,524,1.602342,116
82,1.622361,482,1.622361,66
83,1.642381,467,1.642381,36
84,1.662401,448,1.662401,34
85,1.68242,460,1.68242,54
86,1.70244,457,1.70244,73
87,1.72246,490,1.72246,102
88,1.74248,469,1.74248,112
89,1.762499,438,1.762499,94
90,1.782519,455,1.782519,64
91,1.802539,471,1.802539,54
92,1.822558,420,1.822558,42
93,1.842578,425,1.842578,48
94,1.862598,501,1.862598,47
95,1.882617,478,1.882617,54
96,1.902637,495,1.902637,50
97,1.922657,456,1.922657,89
98,1.942677,479,1.942677,146
99,1.962696,445,1.962696,192
100,1.982716,460,1.982716,344
101,2.002736,458,2.002736,412
102,2.022755,437,2.022755,411
103,2.042775,473,2.042775,282
104,2.062795,496,2.062795,177
105,2.082814,441,2.082814,105
106,2.102834,430,2.102834,68
107,2.122854,446,2.122854,79
108,2.142874,453,2.142874,77
109,2.162893,418,2.162893,58
110,2.182913,378,2.182913,78
111,2.202933,404,2.202933,132
112,2.222952,403,2.222952,273
113,2.242972,468,2.242972,501
114,2.262992,498,2.262992,1028
115,2.283011,474,2.283011,1492
116,2.303031,512,2.303031,1791
117,2.323051,453,2.323051,1571
118,2.343071,484,2.343071,1221
119,2.36309,429,2.36309,731
120,2.38311,416,2.38311,398
121,2.40313,391,2.40313,265
122,2.423149,386,2.423149,238
123,2.443169,394,2.443169,223
124,2.463189,360,2.463189,241
125,2.483208,385,2.483208,241
126,2.503228,400,2.503228,202
127,2.523248,387,2.523248,205
128,2.543267,364,2.543267,190
129,2.563287,405,2.563287,273
130,2.583307,440,2.583307,403
131,2.603327,480,2.603327,639
132,2.623346,414,2.623346,1100
133,2.643366,436,2.643366,1749
134,2.663386,411,2.663386,2606
135,2.683405,365,2.683405,3110
136,2.703425,403,2.703425,3269
137,2.723445,362,2.723445,2771
138,2.743465,357,2.743465,2057
139,2.763484,328,2.763484,1560
140,2.783504,364,2.783504,1318
141,2.803524,361,2.803524,1559
142,2.823543,344,2.823543,1810
143,2.843563,375,2.843563,1880
144,2.863583,332,2.863583,1795
145,2.883603,409,2.883603,1528
146,2.903622,447,2.903622,1516
147,2.923642,454,2.923642,1566
148,2.943662,484,2.943662,1698
149,2.963681,472,2.963681,1683
150,2.983701,435,2.983701,1499
151,3.003721,374,3.003721,1142
152,3.023741,342,3.023741,809
153,3.04376,360,3.04376,546
154,3.06378,340,3.06378,365
155,3.0838,327,3.0838,309
156,3.103819,322,3.103819,277
157,3.123839,311,3.123839,309
158,3.143859,336,3.143859,413
159,3.163878,357,3.163878,430
160,3.183898,423,3.183898,503
161,3.203918,513,3.203918,944
162,3.223938,852,3.223938,1870
163,3.243957,1343,3.243957,3731
164,3.263977,2040,3.263977,6654
165,3.283997,2947,3.283997,10011
166,3.304016,3494,3.304016,12168
167,3.324036,3448,3.324036,12712
168,3.344056,2822,3.344056,10618
169,3.364075,1992,3.364075,7217
170,3.384095,1231,3.384095,4203
171,3.404115,733,3.404115,1956
172,3.424134,521,3.424134,832
